time,P
20050131:1407,504.59
20050131:1507,295.5
20050131:1607,20.3
20050131:1707,0
20050131:1807,0
20050131:1907,0
20050131:2007,0
20050131:2107,0
20050131:2207,0
20050131:2307,0
20050201:0007,0
20050201:0107,0
20050201:0207,0
20050201:0307,0
20050201:0407,0
20050201:0507,0
20050201:0607,185.84
20050201:0707,425.27
20050201:0807,607.61
20050201:0907,731.42
20050201:1007,808.44
20050201:1107,810.82
20050201:1207,773.53
20050201:1307,670.18
20050201:1407,506.98
20050201:1507,296.67
20050201:1607,18.91
20050201:1707,0
20050201:1807,0
20050201:1907,0
20050201:2007,0
20050201:2107,0
20050201:2207,0
20050201:2307,0
20050202:0007,0
20050202:0107,0
20050202:0207,0
20050202:0307,0
20050202:0407,0
20050202:0507,0
20050202:0607,163.17
20050202:0707,403.36
20050202:0807,602.35
20050202:0907,705.05
20050202:1007,761.78
20050202:1107,785.56
20050202:1207,680.4
20050202:1307,523.16
20050202:1407,327.64
20050202:1507,197.42
20050202:1607,20.9
20050202:1707,0
20050202:1807,0
20050202:1907,0
20050202:2007,0
20050202:2107,0
20050202:2207,0
20050202:2307,0
20050203:0007,0
20050203:0107,0
20050203:0207,0
20050203:0307,0
20050203:0407,0
20050203:0507,0
20050203:0607,188.66
20050203:0707,323.22
20050203:0807,646.42
20050203:0907,708.21
20050203:1007,782.07
20050203:1107,802.01
20050203:1207,744.77
20050203:1307,648.54
20050203:1407,510.63
20050203:1507,250.88
20050203:1607,21.71
20050203:1707,0
20050203:1807,0
20050203:1907,0
20050203:2007,0
20050203:2107,0
20050203:2207,0
20050203:2307,0
20050204:0007,0
20050204:0107,0
20050204:0207,0
20050204:0307,0
20050204:0407,0
20050204:0507,0
20050204:0607,178.12
20050204:0707,422.68
20050204:0807,610.1
20050204:0907,750.57
20050204:1007,814.77
20050204:1107,832.55
20050204:1207,802.37
20050204:1307,685.39
20050204:1407,517.76
20050204:1507,308.37
20050204:1607,19.03
20050204:1707,0
20050204:1807,0
20050204:1907,0
20050204:2007,0
20050204:2107,0
20050204:2207,0
20050204:2307,0
20050205:0007,0
20050205:0107,0
20050205:0207,0
20050205:0307,0
20050205:0407,0
20050205:0507,0
20050205:0607,181.57
20050205:0707,425.21
20050205:0807,592.58
20050205:0907,743.29
20050205:1007,804.01
20050205:1107,818.68
20050205:1207,760.03
20050205:1307,660.41
20050205:1407,509.4
20050205:1507,321.41
20050205:1607,23.95
20050205:1707,0
20050205:1807,0
20050205:1907,0
20050205:2007,0
20050205:2107,0
20050205:2207,0
20050205:2307,0
20050206:0007,0
20050206:0107,0
20050206:0207,0
20050206:0307,0
20050206:0407,0
20050206:0507,0
20050206:0607,182.45
20050206:0707,435.81
20050206:0807,611.66
20050206:0907,743.19
20050206:1007,817.78
20050206:1107,817.74
20050206:1207,768.68
20050206:1307,690.35
20050206:1407,527.83
20050206:1507,308.29
20050206:1607,18.89
