time,Value
20050127:1407,515.42
20050127:1507,312.2
20050127:1607,16.03
20050127:1707,0
20050127:1807,0
20050127:1907,0
20050127:2007,0
20050127:2107,0
20050127:2207,0
20050127:2307,0
20050128:0007,0
20050128:0107,0
20050128:0207,0
20050128:0307,0
20050128:0407,0
20050128:0507,0
20050128:0607,183.58
20050128:0707,437.81
20050128:0807,606.57
20050128:0907,738.99
20050128:1007,801.4
20050128:1107,814.36
20050128:1207,766.54
20050128:1307,655.89
20050128:1407,504.67
20050128:1507,318.54
20050128:1607,16.05
20050128:1707,0
20050128:1807,0
20050128:1907,0
20050128:2007,0
20050128:2107,0
20050128:2207,0
20050128:2307,0
20050129:0007,0
20050129:0107,0
20050129:0207,0
20050129:0307,0
20050129:0407,0
20050129:0507,0
20050129:0607,183.43
20050129:0707,419.59
20050129:0807,620.1
20050129:0907,734.94
20050129:1007,806.1
20050129:1107,795.62
20050129:1207,743.75
20050129:1307,659.05
20050129:1407,500.21
20050129:1507,273.41
20050129:1607,19.48
20050129:1707,0
20050129:1807,0
20050129:1907,0
20050129:2007,0
20050129:2107,0
20050129:2207,0
20050129:2307,0
20050130:0007,0
20050130:0107,0
20050130:0207,0
20050130:0307,0
20050130:0407,0
20050130:0507,0
20050130:0607,184.06
20050130:0707,430.89
20050130:0807,598.97
20050130:0907,712.42
20050130:1007,781.34
20050130:1107,789.68
20050130:1207,691.76
20050130:1307,200.57
20050130:1407,361.09
20050130:1507,238.6
20050130:1607,20.8
20050130:1707,0
20050130:1807,0
20050130:1907,0
20050130:2007,0
20050130:2107,0
20050130:2207,0
20050130:2307,0
20050131:0007,0
20050131:0107,0
20050131:0207,0
20050131:0307,0
20050131:0407,0
20050131:0507,0
20050131:0607,175.05
20050131:0707,400.56
20050131:0807,579.27
20050131:0907,719.69
20050131:1007,786.53
20050131:1107,790.53
20050131:1207,737.58
20050131:1307,653.42
20050131:1407,502.08
20050131:1507,292.77
20050131:1607,19.52
20050131:1707,0
20050131:1807,0
20050131:1907,0
20050131:2007,0
20050131:2107,0
20050131:2207,0
20050131:2307,0
20050201:0007,0
20050201:0107,0
20050201:0207,0
20050201:0307,0
20050201:0407,0
20050201:0507,0
20050201:0607,171.93
20050201:0707,400.33
20050201:0807,583.21
20050201:0907,721.28
20050201:1007,799.73
20050201:1107,814.25
20050201:1207,761.08
20050201:1307,678.15
20050201:1407,513.62
20050201:1507,311.41
20050201:1607,22.95
20050201:1707,0
20050201:1807,0
20050201:1907,0
20050201:2007,0
20050201:2107,0
20050201:2207,0
20050201:2307,0
20050202:0007,0
20050202:0107,0
20050202:0207,0
20050202:0307,0
20050202:0407,0
20050202:0507,0
20050202:0607,154.5
20050202:0707,381.67
20050202:0807,576.02
20050202:0907,664.69
20050202:1007,696.32
20050202:1107,696.22
20050202:1207,576.09
20050202:1307,529.04
20050202:1407,438.84
20050202:1507,143.16
20050202:1607,23.57
20050202:1707,0
20050202:1807,0
20050202:1907,0
20050202:2007,0
20050202:2107,0
20050202:2207,0
20050202:2307,0
20050203:0007,0
20050203:0107,0
20050203:0207,0
20050203:0307,0
20050203:0407,0
20050203:0507,0
20050203:0607,58.22
20050203:0707,313.56
20050203:0807,628.23
20050203:0907,708.7
20050203:1007,793.99
20050203:1107,806.55
20050203:1207,724.38
20050203:1307,659.44
20050203:1407,495.31
20050203:1507,280.95
20050203:1607,21.58
20050203:1707,0
20050203:1807,0
20050203:1907,0
20050203:2007,0
20050203:2107,0
20050203:2207,0
20050203:2307,0
20050204:0007,0
20050204:0107,0
20050204:0207,0
20050204:0307,0
20050204:0407,0
20050204:0507,0
20050204:0607,176.97
20050204:0707,417.91
20050204:0807,604.88
20050204:0907,729.92
20050204:1007,819.62
20050204:1107,824.35
20050204:1207,788.75
20050204:1307,701.58
20050204:1407,513.45
20050204:1507,308.69
20050204:1607,21.7
20050204:1707,0
20050204:1807,0
20050204:1907,0
20050204:2007,0
20050204:2107,0
20050204:2207,0
20050204:2307,0
20050205:0007,0
20050205:0107,0
20050205:0207,0
20050205:0307,0
20050205:0407,0
20050205:0507,0
20050205:0607,179.94
20050205:0707,399.23
20050205:0807,588.32
20050205:0907,717.35
20050205:1007,803.27
20050205:1107,801.71
20050205:1207,766.29
20050205:1307,665.95
20050205:1407,513.98
20050205:1507,285.82
20050205:1607,24.51
20050205:1707,0
20050205:1807,0
20050205:1907,0
20050205:2007,0
20050205:2107,0
20050205:2207,0
20050205:2307,0
20050206:0007,0
20050206:0107,0
20050206:0207,0
20050206:0307,0
20050206:0407,0
20050206:0507,0
20050206:0607,180.24
20050206:0707,421.44
20050206:0807,611.61
20050206:0907,728.27
20050206:1007,794.62
20050206:1107,817.18
20050206:1207,767.33
20050206:1307,680.66
20050206:1407,521.25
20050206:1507,320.39
20050206:1607,20.16
20050206:1707,0
20050206:1807,0
20050206:1907,0
20050206:2007,0
20050206:2107,0
20050206:2207,0
20050206:2307,0
20050207:0007,0
20050207:0107,0
20050207:0207,0
20050207:0307,0
20050207:0407,0
20050207:0507,0
20050207:0607,151.75
20050207:0707,419.28
20050207:0807,601.61
20050207:0907,739.18
20050207:1007,812.19
20050207:1107,820.9
20050207:1207,776.09
20050207:1307,691.58
20050207:1407,533.52
20050207:1507,310.22
20050207:1607,94.44
20050207:1707,0
20050207:1807,0
20050207:1907,0
20050207:2007,0
20050207:2107,0
20050207:2207,0
20050207:2307,0
20050208:0007,0
20050208:0107,0
20050208:0207,0
20050208:0307,0
20050208:0407,0
20050208:0507,0
20050208:0607,171.43
20050208:0707,391
20050208:0807,602.68
20050208:0907,723.48
20050208:1007,800.23
20050208:1107,814.11
20050208:1207,774.17
20050208:1307,657.47
20050208:1407,516.06
20050208:1507,312.89
20050208:1607,82.43
20050208:1707,0
20050208:1807,0
20050208:1907,0
20050208:2007,0
20050208:2107,0
20050208:2207,0
20050208:2307,0
20050209:0007,0
20050209:0107,0
20050209:0207,0
20050209:0307,0
20050209:0407,0
20050209:0507,0
20050209:0607,173.39
20050209:0707,413.9
20050209:0807,618.83
20050209:0907,746.38
20050209:1007,815.6
