time,P
20050121:0907,759.98
20050121:1007,815.75
20050121:1107,826.05
20050121:1207,773.21
20050121:1307,664.71
20050121:1407,498.57
20050121:1507,288.26
20050121:1607,0
20050121:1707,0
20050121:1807,0
20050121:1907,0
20050121:2007,0
20050121:2107,0
20050121:2207,0
20050121:2307,0
20050122:0007,0
20050122:0107,0
20050122:0207,0
20050122:0307,0
20050122:0407,0
20050122:0507,0
20050122:0607,200.21
20050122:0707,438.09
20050122:0807,613.98
20050122:0907,790.25
20050122:1007,865.88
20050122:1107,877.54
20050122:1207,833.21
20050122:1307,708.99
20050122:1407,536.79
20050122:1507,306.89
20050122:1607,0
20050122:1707,0
20050122:1807,0
20050122:1907,0
20050122:2007,0
20050122:2107,0
20050122:2207,0
20050122:2307,0
20050123:0007,0
20050123:0107,0
20050123:0207,0
20050123:0307,0
20050123:0407,0
20050123:0507,0
20050123:0607,230.52
20050123:0707,471.13
20050123:0807,666.01
20050123:0907,790.9
20050123:1007,862.86
20050123:1107,872.88
20050123:1207,797.72
20050123:1307,697.76
20050123:1407,513.77
20050123:1507,306.57
20050123:1607,0
20050123:1707,0
20050123:1807,0
20050123:1907,0
20050123:2007,0
20050123:2107,0
20050123:2207,0
20050123:2307,0
20050124:0007,0
20050124:0107,0
20050124:0207,0
20050124:0307,0
20050124:0407,0
20050124:0507,0
20050124:0607,216.63
20050124:0707,469.6
20050124:0807,655.93
20050124:0907,793.38
20050124:1007,849.53
20050124:1107,848.47
20050124:1207,783.13
20050124:1307,655.12
20050124:1407,471.68
20050124:1507,277.54
20050124:1607,0
20050124:1707,0
20050124:1807,0
20050124:1907,0
20050124:2007,0
20050124:2107,0
20050124:2207,0
20050124:2307,0
20050125:0007,0
20050125:0107,0
20050125:0207,0
20050125:0307,0
20050125:0407,0
20050125:0507,0
20050125:0607,227.91
20050125:0707,476.4
20050125:0807,631.11
20050125:0907,751.27
20050125:1007,807.36
20050125:1107,814.7
20050125:1207,746.31
20050125:1307,637.49
20050125:1407,446.96
20050125:1507,242.08
20050125:1607,0
20050125:1707,0
20050125:1807,0
20050125:1907,0
20050125:2007,0
20050125:2107,0
20050125:2207,0
20050125:2307,0
20050126:0007,0
20050126:0107,0
20050126:0207,0
20050126:0307,0
20050126:0407,0
20050126:0507,0
20050126:0607,214.21
20050126:0707,443.98
20050126:0807,612.23
20050126:0907,719.22
20050126:1007,775.8
20050126:1107,776.53
20050126:1207,713.31
20050126:1307,600.71
20050126:1407,434.87
20050126:1507,246.4
20050126:1607,0
20050126:1707,0
20050126:1807,0
20050126:1907,0
20050126:2007,0
20050126:2107,0
20050126:2207,0
20050126:2307,0
20050127:0007,0
20050127:0107,0
20050127:0207,0
20050127:0307,0
20050127:0407,0
20050127:0507,0
20050127:0607,225.12
20050127:0707,431.06
20050127:0807,607.25
20050127:0907,723
20050127:1007,779.57
20050127:1107,770.56
20050127:1207,722.69
20050127:1307,612.58
20050127:1407,424.76
20050127:1507,266.38
20050127:1607,0
20050127:1707,0
20050127:1807,0
20050127:1907,0
20050127:2007,0
20050127:2107,0
20050127:2207,0
20050127:2307,0
20050128:0007,0
20050128:0107,0
20050128:0207,0
20050128:0307,0
20050128:0407,0
20050128:0507,0
20050128:0607,212.17
20050128:0707,446.27
20050128:0807,613.75
20050128:0907,747.99
20050128:1007,800.93
20050128:1107,815.09
20050128:1207,756.24
20050128:1307,641.48
20050128:1407,476.98
20050128:1507,271.36
20050128:1607,0
20050128:1707,0
20050128:1807,0
20050128:1907,0
20050128:2007,0
20050128:2107,0
20050128:2207,0
20050128:2307,0
20050129:0007,0
20050129:0107,0
20050129:0207,0
20050129:0307,0
20050129:0407,0
20050129:0507,0
20050129:0607,227.47
20050129:0707,437.72
20050129:0807,629.48
20050129:0907,752
20050129:1007,793.11
20050129:1107,785.57
20050129:1207,722.25
20050129:1307,593.3
20050129:1407,423.43
20050129:1507,257.72
20050129:1607,0
20050129:1707,0
20050129:1807,0
20050129:1907,0
20050129:2007,0
20050129:2107,0
20050129:2207,0
20050129:2307,0
20050130:0007,0
20050130:0107,0
20050130:0207,0
20050130:0307,0
20050130:0407,0
20050130:0507,0
20050130:0607,203.34
20050130:0707,401.26
20050130:0807,570.8
20050130:0907,735.32
20050130:1007,744.94
20050130:1107,752.68
20050130:1207,617.85
20050130:1307,510.65
20050130:1407,398.36
20050130:1507,260.99
20050130:1607,0
20050130:1707,0
20050130:1807,0
20050130:1907,0
20050130:2007,0
20050130:2107,0
20050130:2207,0
20050130:2307,0
20050131:0007,0
20050131:0107,0
20050131:0207,0
20050131:0307,0
20050131:0407,0
20050131:0507,0
20050131:0607,215.08
20050131:0707,437.52
20050131:0807,607.09
20050131:0907,740.84
20050131:1007,792.54
20050131:1107,800.69
20050131:1207,737.91
20050131:1307,638.49
20050131:1407,472.02
20050131:1507,249.66
20050131:1607,0
20050131:1707,0
20050131:1807,0
20050131:1907,0
20050131:2007,0
20050131:2107,0
20050131:2207,0
20050131:2307,0
20050201:0007,0
20050201:0107,0
20050201:0207,0
20050201:0307,0
20050201:0407,0
20050201:0507,0
20050201:0607,211
20050201:0707,461.67
20050201:0807,635.87
20050201:0907,759.64
20050201:1007,799.5
20050201:1107,824.61
20050201:1207,778.26
20050201:1307,652.2
20050201:1407,487.64
20050201:1507,271.41
20050201:1607,0
20050201:1707,0
20050201:1807,0
20050201:1907,0
20050201:2007,0
20050201:2107,0
20050201:2207,0
20050201:2307,0
20050202:0007,0
20050202:0107,0
20050202:0207,0
20050202:0307,0
20050202:0407,0
20050202:0507,0
20050202:0607,201.76
20050202:0707,439.51
20050202:0807,617.77
20050202:0907,741.88
20050202:1007,803.43
20050202:1107,804.93
20050202:1207,753.63
20050202:1307,640.61
20050202:1407,513.33
20050202:1507,245.65
20050202:1607,0
20050202:1707,0
20050202:1807,0
20050202:1907,0
20050202:2007,0
20050202:2107,0
20050202:2207,0
20050202:2307,0
20050203:0007,0
20050203:0107,0
20050203:0207,0
20050203:0307,0
20050203:0407,0
20050203:0507,0
20050203:0607,135.26
20050203:0707,468.89
20050203:0807,447.03
20050203:0907,511.69
20050203:1007,872.3
20050203:1107,773.3
20050203:1207,729.61
20050203:1307,625.93
20050203:1407,481.3
20050203:1507,303.92
20050203:1607,0
20050203:1707,0
20050203:1807,0
20050203:1907,0
20050203:2007,0
20050203:2107,0
20050203:2207,0
20050203:2307,0
20050204:0007,0
20050204:0107,0
20050204:0207,0
20050204:0307,0
20050204:0407,0
20050204:0507,0
20050204:0607,216.67
20050204:0707,460.67
20050204:0807,673.17
20050204:0907,771.77
20050204:1007,812.67
20050204:1107,842.45
20050204:1207,785.73
20050204:1307,673.2
20050204:1407,489.6
20050204:1507,269.01
20050204:1607,0
20050204:1707,0
20050204:1807,0
20050204:1907,0
20050204:2007,0
20050204:2107,0
20050204:2207,0
20050204:2307,0
20050205:0007,0
20050205:0107,0
20050205:0207,0
20050205:0307,0
20050205:0407,0
20050205:0507,0
20050205:0607,221.94
20050205:0707,455.79
20050205:0807,646.09
20050205:0907,767.36
20050205:1007,820.52
20050205:1107,833.26
20050205:1207,765.16
20050205:1307,677.92
20050205:1407,504.61
20050205:1507,286.39
20050205:1607,0
20050205:1707,0
20050205:1807,0
20050205:1907,0
20050205:2007,0
20050205:2107,0
20050205:2207,0
20050205:2307,0
20050206:0007,0
20050206:0107,0
20050206:0207,0
20050206:0307,0
20050206:0407,0
20050206:0507,0
20050206:0607,220.61
20050206:0707,463.8
20050206:0807,649.5
20050206:0907,762.99
20050206:1007,835.11
20050206:1107,837.91
20050206:1207,789.63
20050206:1307,680.24
20050206:1407,514.89
20050206:1507,285.47
20050206:1607,0
20050206:1707,0
20050206:1807,0
20050206:1907,0
20050206:2007,0
20050206:2107,0
20050206:2207,0
20050206:2307,0
20050207:0007,0
20050207:0107,0
20050207:0207,0
20050207:0307,0
20050207:0407,0
20050207:0507,0
20050207:0607,222.07
20050207:0707,451.43
20050207:0807,630.69
20050207:0907,748.03
20050207:1007,826.54
20050207:1107,828.75
20050207:1207,771.53
20050207:1307,662.74
20050207:1407,492.41
20050207:1507,288.02
20050207:1607,0
20050207:1707,0
20050207:1807,0
20050207:1907,0
20050207:2007,0
20050207:2107,0
20050207:2207,0
20050207:2307,0
20050208:0007,0
20050208:0107,0
20050208:0207,0
20050208:0307,0
20050208:0407,0
20050208:0507,0
20050208:0607,212.64
20050208:0707,454.67
20050208:0807,647.87
