time,P
20050124:1307,679.8
20050124:1407,494.45
20050124:1507,283.78
20050124:1607,0
20050124:1707,0
20050124:1807,0
20050124:1907,0
20050124:2007,0
20050124:2107,0
20050124:2207,0
20050124:2307,0
20050125:0007,0
20050125:0107,0
20050125:0207,0
20050125:0307,0
20050125:0407,0
20050125:0507,0
20050125:0607,223.93
20050125:0707,466.56
20050125:0807,643.34
20050125:0907,773.62
20050125:1007,822.12
20050125:1107,823.37
20050125:1207,750.78
20050125:1307,642.82
20050125:1407,486.91
20050125:1507,254.16
20050125:1607,0
20050125:1707,0
20050125:1807,0
20050125:1907,0
20050125:2007,0
20050125:2107,0
20050125:2207,0
20050125:2307,0
20050126:0007,0
20050126:0107,0
20050126:0207,0
20050126:0307,0
20050126:0407,0
20050126:0507,0
20050126:0607,222.3
20050126:0707,440.26
20050126:0807,611.98
20050126:0907,718.22
20050126:1007,784.22
20050126:1107,779.98
20050126:1207,725.45
20050126:1307,614.28
20050126:1407,461.83
20050126:1507,228.4
20050126:1607,0
20050126:1707,0
20050126:1807,0
20050126:1907,0
20050126:2007,0
20050126:2107,0
20050126:2207,0
20050126:2307,0
20050127:0007,0
20050127:0107,0
20050127:0207,0
20050127:0307,0
20050127:0407,0
20050127:0507,0
20050127:0607,230.49
20050127:0707,438.22
20050127:0807,618.02
20050127:0907,731.11
20050127:1007,783.33
20050127:1107,778.41
20050127:1207,725.17
20050127:1307,618.99
20050127:1407,451.82
20050127:1507,244.94
20050127:1607,0
20050127:1707,0
20050127:1807,0
20050127:1907,0
20050127:2007,0
20050127:2107,0
20050127:2207,0
20050127:2307,0
20050128:0007,0
20050128:0107,0
20050128:0207,0
20050128:0307,0
20050128:0407,0
20050128:0507,0
20050128:0607,209.05
20050128:0707,452.32
20050128:0807,626.47
20050128:0907,747.48
20050128:1007,805.18
20050128:1107,813.06
20050128:1207,754.52
20050128:1307,641.73
20050128:1407,485.51
20050128:1507,277.71
20050128:1607,0
20050128:1707,0
20050128:1807,0
20050128:1907,0
20050128:2007,0
20050128:2107,0
20050128:2207,0
20050128:2307,0
20050129:0007,0
20050129:0107,0
20050129:0207,0
20050129:0307,0
20050129:0407,0
20050129:0507,0
20050129:0607,220.92
20050129:0707,445
20050129:0807,629.74
20050129:0907,742.65
20050129:1007,836.22
20050129:1107,815.49
20050129:1207,737.2
20050129:1307,599.69
20050129:1407,437.49
20050129:1507,267.6
20050129:1607,0
20050129:1707,0
20050129:1807,0
20050129:1907,0
20050129:2007,0
20050129:2107,0
20050129:2207,0
20050129:2307,0
20050130:0007,0
20050130:0107,0
20050130:0207,0
20050130:0307,0
20050130:0407,0
20050130:0507,0
20050130:0607,211.59
20050130:0707,422.3
20050130:0807,576.82
20050130:0907,717.73
20050130:1007,789.73
20050130:1107,766.56
20050130:1207,709.95
20050130:1307,642.69
20050130:1407,451.47
20050130:1507,242.81
20050130:1607,0
20050130:1707,0
20050130:1807,0
20050130:1907,0
20050130:2007,0
20050130:2107,0
20050130:2207,0
20050130:2307,0
20050131:0007,0
20050131:0107,0
20050131:0207,0
20050131:0307,0
20050131:0407,0
20050131:0507,0
20050131:0607,210.86
20050131:0707,444.51
20050131:0807,620.95
20050131:0907,746.38
20050131:1007,791.94
20050131:1107,789.36
20050131:1207,740.61
20050131:1307,626.14
20050131:1407,466.94
20050131:1507,256.94
20050131:1607,0
20050131:1707,0
20050131:1807,0
20050131:1907,0
20050131:2007,0
20050131:2107,0
20050131:2207,0
20050131:2307,0
20050201:0007,0
20050201:0107,0
20050201:0207,0
20050201:0307,0
20050201:0407,0
20050201:0507,0
20050201:0607,212.83
20050201:0707,441.54
20050201:0807,621.06
20050201:0907,741.61
20050201:1007,804.69
20050201:1107,813.71
20050201:1207,758.96
20050201:1307,653.47
20050201:1407,476.97
20050201:1507,268.6
20050201:1607,0
20050201:1707,0
20050201:1807,0
20050201:1907,0
20050201:2007,0
20050201:2107,0
20050201:2207,0
20050201:2307,0
20050202:0007,0
20050202:0107,0
20050202:0207,0
20050202:0307,0
20050202:0407,0
20050202:0507,0
20050202:0607,203.97
20050202:0707,434.79
20050202:0807,616.37
20050202:0907,735.55
20050202:1007,796.09
20050202:1107,792.11
20050202:1207,732.37
20050202:1307,634.53
20050202:1407,455.23
20050202:1507,297.67
