time,P
20050120:1107,733.18
20050120:1207,718.25
20050120:1307,526.44
20050120:1407,486.99
20050120:1507,262.11
20050120:1607,0
20050120:1707,0
20050120:1807,0
20050120:1907,0
20050120:2007,0
20050120:2107,0
20050120:2207,0
20050120:2307,0
20050121:0007,0
20050121:0107,0
20050121:0207,0
20050121:0307,0
20050121:0407,0
20050121:0507,8.96
20050121:0607,229.9
20050121:0707,437.06
20050121:0807,534.73
20050121:0907,736.29
20050121:1007,803.95
20050121:1107,802.69
20050121:1207,740.33
20050121:1307,639.03
20050121:1407,478.5
20050121:1507,273.66
20050121:1607,0
20050121:1707,0
20050121:1807,0
20050121:1907,0
20050121:2007,0
20050121:2107,0
20050121:2207,0
20050121:2307,0
20050122:0007,0
20050122:0107,0
20050122:0207,0
20050122:0307,0
20050122:0407,0
20050122:0507,8.18
20050122:0607,220.64
20050122:0707,431.8
20050122:0807,561.53
20050122:0907,699.71
20050122:1007,735.23
20050122:1107,755.69
20050122:1207,723.69
20050122:1307,643.64
20050122:1407,466.33
20050122:1507,259.22
20050122:1607,0
20050122:1707,0
20050122:1807,0
20050122:1907,0
20050122:2007,0
20050122:2107,0
20050122:2207,0
20050122:2307,0
20050123:0007,0
20050123:0107,0
20050123:0207,0
20050123:0307,0
20050123:0407,0
20050123:0507,8.38
20050123:0607,249.78
20050123:0707,471.25
20050123:0807,677.33
20050123:0907,798.1
20050123:1007,851.57
20050123:1107,848.88
20050123:1207,800.51
20050123:1307,679.2
20050123:1407,510.33
20050123:1507,278.66
20050123:1607,0
20050123:1707,0
20050123:1807,0
20050123:1907,0
20050123:2007,0
20050123:2107,0
20050123:2207,0
20050123:2307,0
20050124:0007,0
20050124:0107,0
20050124:0207,0
20050124:0307,0
20050124:0407,0
20050124:0507,8.3
20050124:0607,237.79
20050124:0707,492.27
20050124:0807,675.86
20050124:0907,795.98
20050124:1007,849.27
20050124:1107,859.66
20050124:1207,797.03
20050124:1307,675.86
20050124:1407,508.97
20050124:1507,291.79
20050124:1607,0
20050124:1707,0
20050124:1807,0
20050124:1907,0
20050124:2007,0
20050124:2107,0
20050124:2207,0
20050124:2307,0
20050125:0007,0
20050125:0107,0
20050125:0207,0
20050125:0307,0
20050125:0407,0
20050125:0507,8.2
20050125:0607,235.64
20050125:0707,476.91
20050125:0807,653.21
20050125:0907,780.3
20050125:1007,838.54
20050125:1107,829
20050125:1207,767.35
20050125:1307,663.45
20050125:1407,489.14
20050125:1507,262.97
20050125:1607,0
20050125:1707,0
20050125:1807,0
20050125:1907,0
20050125:2007,0
20050125:2107,0
20050125:2207,0
20050125:2307,0
20050126:0007,0
20050126:0107,0
20050126:0207,0
20050126:0307,0
20050126:0407,0
20050126:0507,8.73
20050126:0607,233.45
20050126:0707,469.5
20050126:0807,633.3
20050126:0907,747.63
20050126:1007,797.98
20050126:1107,800.74
20050126:1207,732.14
20050126:1307,630.07
20050126:1407,451.96
20050126:1507,235.02
20050126:1607,0
20050126:1707,0
20050126:1807,0
20050126:1907,0
20050126:2007,0
20050126:2107,0
20050126:2207,0
20050126:2307,0
20050127:0007,0
20050127:0107,0
20050127:0207,0
20050127:0307,0
20050127:0407,0
20050127:0507,4.49
20050127:0607,220.7
20050127:0707,459.1
20050127:0807,623.52
20050127:0907,737.14
20050127:1007,800.6
20050127:1107,789.56
20050127:1207,734.12
20050127:1307,628.98
20050127:1407,468.2
20050127:1507,251.4
20050127:1607,0
20050127:1707,0
20050127:1807,0
20050127:1907,0
20050127:2007,0
20050127:2107,0
20050127:2207,0
20050127:2307,0
20050128:0007,0
20050128:0107,0
20050128:0207,0
20050128:0307,0
20050128:0407,0
20050128:0507,8.49
20050128:0607,233.08
20050128:0707,469.7
20050128:0807,640.38
20050128:0907,757.86
20050128:1007,812.9
20050128:1107,817.81
20050128:1207,761.43
20050128:1307,638.04
20050128:1407,435.04
20050128:1507,271.54
20050128:1607,0
20050128:1707,0
20050128:1807,0
20050128:1907,0
20050128:2007,0
20050128:2107,0
20050128:2207,0
20050128:2307,0
20050129:0007,0
20050129:0107,0
20050129:0207,0
20050129:0307,0
20050129:0407,0
20050129:0507,9.35
20050129:0607,234.05
20050129:0707,461.8
20050129:0807,631.15
20050129:0907,749.14
20050129:1007,797.26
20050129:1107,801.58
20050129:1207,731.58
20050129:1307,643.42
20050129:1407,436.99
20050129:1507,274.27
20050129:1607,0
20050129:1707,0
20050129:1807,0
20050129:1907,0
20050129:2007,0
20050129:2107,0
20050129:2207,0
20050129:2307,0
20050130:0007,0
20050130:0107,0
20050130:0207,0
20050130:0307,0
20050130:0407,0
20050130:0507,9.38
20050130:0607,224.81
20050130:0707,452.25
20050130:0807,611.43
20050130:0907,736.15
20050130:1007,776.77
20050130:1107,779.9
20050130:1207,710.85
20050130:1307,592.55
20050130:1407,439.16
20050130:1507,233.97
20050130:1607,0
20050130:1707,0
20050130:1807,0
20050130:1907,0
20050130:2007,0
20050130:2107,0
20050130:2207,0
20050130:2307,0
20050131:0007,0
20050131:0107,0
20050131:0207,0
20050131:0307,0
20050131:0407,0
20050131:0507,9.22
20050131:0607,234.5
20050131:0707,460.99
20050131:0807,632.93
20050131:0907,740.62
20050131:1007,796.99
20050131:1107,795.97
20050131:1207,731.51
20050131:1307,632.5
20050131:1407,480.57
20050131:1507,250.78
20050131:1607,0
20050131:1707,0
20050131:1807,0
20050131:1907,0
20050131:2007,0
20050131:2107,0
20050131:2207,0
20050131:2307,0
20050201:0007,0
20050201:0107,0
20050201:0207,0
20050201:0307,0
20050201:0407,0
20050201:0507,6.21
20050201:0607,231.09
20050201:0707,457.64
20050201:0807,634.2
20050201:0907,742.37
20050201:1007,806.7
20050201:1107,797.72
20050201:1207,750.67
20050201:1307,647.69
20050201:1407,474.06
20050201:1507,256.89
20050201:1607,0
20050201:1707,0
20050201:1807,0
20050201:1907,0
20050201:2007,0
20050201:2107,0
20050201:2207,0
20050201:2307,0
20050202:0007,0
20050202:0107,0
20050202:0207,0
20050202:0307,0
20050202:0407,0
20050202:0507,6.2
20050202:0607,214.16
20050202:0707,443.03
20050202:0807,623.02
20050202:0907,737.36
20050202:1007,789.43
20050202:1107,787.6
20050202:1207,729.63
20050202:1307,625.89
20050202:1407,504.15
20050202:1507,106.89
20050202:1607,0
20050202:1707,0
20050202:1807,0
20050202:1907,0
20050202:2007,0
20050202:2107,0
20050202:2207,0
20050202:2307,0
20050203:0007,0
20050203:0107,0
20050203:0207,0
20050203:0307,0
20050203:0407,0
20050203:0507,7.04
20050203:0607,185.77
20050203:0707,445.96
20050203:0807,619.75
20050203:0907,734.81
20050203:1007,762.87
