time,P
20050129:0507,0
20050129:0607,169.7
20050129:0707,394.43
20050129:0807,576.45
20050129:0907,691.67
20050129:1007,769.21
20050129:1107,756.86
20050129:1207,719.6
20050129:1307,616.72
20050129:1407,435.5
20050129:1507,177.69
20050129:1607,23.39
20050129:1707,0
20050129:1807,0
20050129:1907,0
20050129:2007,0
20050129:2107,0
20050129:2207,0
20050129:2307,0
20050130:0007,0
20050130:0107,0
20050130:0207,0
20050130:0307,0
20050130:0407,0
20050130:0507,0
20050130:0607,92.88
20050130:0707,277.96
20050130:0807,108.12
20050130:0907,495.52
20050130:1007,352.9
20050130:1107,712.69
20050130:1207,647.35
20050130:1307,616.75
20050130:1407,440.79
20050130:1507,216.28
20050130:1607,24
20050130:1707,0
20050130:1807,0
20050130:1907,0
20050130:2007,0
20050130:2107,0
20050130:2207,0
20050130:2307,0
20050131:0007,0
20050131:0107,0
20050131:0207,0
20050131:0307,0
20050131:0407,0
20050131:0507,0
20050131:0607,161.07
20050131:0707,408.9
20050131:0807,586.08
20050131:0907,731.82
20050131:1007,797.95
20050131:1107,825.14
20050131:1207,772.8
20050131:1307,678.78
20050131:1407,534.97
20050131:1507,322.86
20050131:1607,23.43
20050131:1707,0
20050131:1807,0
20050131:1907,0
20050131:2007,0
20050131:2107,0
20050131:2207,0
20050131:2307,0
20050201:0007,0
20050201:0107,0
20050201:0207,0
20050201:0307,0
20050201:0407,0
20050201:0507,0
20050201:0607,166.83
20050201:0707,410.83
20050201:0807,607.51
20050201:0907,736.57
20050201:1007,814.38
20050201:1107,821.83
20050201:1207,784.51
20050201:1307,692.38
20050201:1407,533.22
20050201:1507,325.06
20050201:1607,23.46
20050201:1707,0
20050201:1807,0
20050201:1907,0
20050201:2007,0
20050201:2107,0
20050201:2207,0
20050201:2307,0
20050202:0007,0
20050202:0107,0
20050202:0207,0
20050202:0307,0
20050202:0407,0
20050202:0507,0
20050202:0607,158.62
20050202:0707,402.92
20050202:0807,597.7
20050202:0907,729.67
20050202:1007,783.43
20050202:1107,788.4
20050202:1207,750.82
20050202:1307,662.87
20050202:1407,549.11
20050202:1507,344.06
20050202:1607,20.62
20050202:1707,0
20050202:1807,0
20050202:1907,0
20050202:2007,0
20050202:2107,0
20050202:2207,0
20050202:2307,0
20050203:0007,0
20050203:0107,0
20050203:0207,0
20050203:0307,0
20050203:0407,0
20050203:0507,0
20050203:0607,178.41
20050203:0707,405.17
20050203:0807,599.45
20050203:0907,735.42
20050203:1007,796.53
20050203:1107,813.53
20050203:1207,767.61
20050203:1307,703.46
20050203:1407,487.95
20050203:1507,329.41
20050203:1607,23.47
20050203:1707,0
20050203:1807,0
20050203:1907,0
20050203:2007,0
20050203:2107,0
20050203:2207,0
20050203:2307,0
20050204:0007,0
20050204:0107,0
20050204:0207,0
20050204:0307,0
20050204:0407,0
20050204:0507,0
20050204:0607,161.5
20050204:0707,408.69
20050204:0807,601.49
20050204:0907,744.01
20050204:1007,812.91
20050204:1107,840.21
20050204:1207,801.61
20050204:1307,697.86
20050204:1407,533.61
20050204:1507,322.07
20050204:1607,24.28
20050204:1707,0
20050204:1807,0
20050204:1907,0
20050204:2007,0
20050204:2107,0
20050204:2207,0
20050204:2307,0
20050205:0007,0
20050205:0107,0
20050205:0207,0
20050205:0307,0
20050205:0407,0
20050205:0507,0
20050205:0607,162.79
20050205:0707,408.24
20050205:0807,605.17
20050205:0907,735.32
20050205:1007,811.55
20050205:1107,828.61
20050205:1207,772.34
20050205:1307,693.99
20050205:1407,521.28
20050205:1507,309.43
20050205:1607,24.94
20050205:1707,0
20050205:1807,0
20050205:1907,0
20050205:2007,0
20050205:2107,0
20050205:2207,0
20050205:2307,0
20050206:0007,0
20050206:0107,0
20050206:0207,0
20050206:0307,0
20050206:0407,0
20050206:0507,0
20050206:0607,173.91
20050206:0707,418.16
20050206:0807,601.02
20050206:0907,745.29
20050206:1007,812.96
20050206:1107,830.33
20050206:1207,793.55
20050206:1307,697.13
20050206:1407,549.9
20050206:1507,333
20050206:1607,20.64
20050206:1707,0
20050206:1807,0
20050206:1907,0
20050206:2007,0
20050206:2107,0
20050206:2207,0
20050206:2307,0
20050207:0007,0
20050207:0107,0
20050207:0207,0
20050207:0307,0
20050207:0407,0
20050207:0507,0
20050207:0607,164.04
20050207:0707,396.24
20050207:0807,601.05
20050207:0907,737.1
20050207:1007,817.35
20050207:1107,826.13
20050207:1207,790.15
20050207:1307,698.3
20050207:1407,551.2
20050207:1507,322.53
20050207:1607,21.18
20050207:1707,0
20050207:1807,0
20050207:1907,0
20050207:2007,0
20050207:2107,0
20050207:2207,0
20050207:2307,0
20050208:0007,0
20050208:0107,0
20050208:0207,0
20050208:0307,0
20050208:0407,0
20050208:0507,0
20050208:0607,165.65
20050208:0707,407.91
20050208:0807,613.32
20050208:0907,729.99
20050208:1007,801.44
20050208:1107,823.57
20050208:1207,778.1
20050208:1307,680.35
20050208:1407,522.85
20050208:1507,326.43
20050208:1607,24.69
20050208:1707,0
20050208:1807,0
20050208:1907,0
20050208:2007,0
20050208:2107,0
20050208:2207,0
20050208:2307,0
20050209:0007,0
20050209:0107,0
20050209:0207,0
20050209:0307,0
20050209:0407,0
20050209:0507,0
20050209:0607,177.12
20050209:0707,402.16
20050209:0807,599.12
20050209:0907,717.11
20050209:1007,791.99
20050209:1107,799.35
20050209:1207,763.55
20050209:1307,674.85
20050209:1407,518.07
20050209:1507,316.35
20050209:1607,28.3
20050209:1707,0
20050209:1807,0
20050209:1907,0
20050209:2007,0
20050209:2107,0
