timestamp,p,0,50,100,150,200,250,300,350,400,450,500,550
20130101:1207,-150723.2761,-150723.2761,828493.0254,631322.117,-32450.22606,1300106.646,661249.3928,-207243.5886,939230.6421,647468.5136,-278240.3101,1214240.667,167076.9676
20130101:1307,-179279.1517,-179279.1517,434070.661,556660.2356,-39562.47966,1205668.582,580325.3844,-136927.0875,747333.7135,683545.1611,-361985.5559,692974.482,203794.4894
20130101:1407,-133716.1921,-133716.1921,-583634.9839,308120.27,20600.28268,266926.4647,336146.5286,-62236.54391,-205499.6393,634234.6686,-252938.3755,-189249.2791,31480.39098
20130101:1507,-22316.5485,-22316.5485,-327701.6183,334767.7724,120370.2963,-267628.0286,386487.4176,10827.32146,-428053.8653,862787.7236,-168887.8839,89152.45685,-197112.2559
20130101:1607,140210.3838,140210.3838,-80315.04782,400884.406,194628.2138,22526.8067,407968.0735,135022.9811,-163458.3045,1085152.372,-157728.605,52806.55501,-270504.6789
20130101:1707,686974.1298,686974.1298,-63507.07493,460140.8268,460169.2057,301558.2736,410483.6585,491394.9275,16194.02908,1018963.616,216012.0593,-344739.2208,-214407.1061
20130101:1807,865196.7856,865196.7856,-163196.8106,404328.6457,555745.8396,75127.26071,464235.0606,557496.9571,-142856.0558,756844.1038,404402.7326,-410219.6217,-157751.0665
20130101:1907,1027428.016,1027428.016,-188101.1191,286949.1433,631567.1373,-191617.21,428125.8259,522322.0174,-293473.8444,514564.4011,418373.1837,-335806.2157,-136250.5672
20130101:2007,1215880.878,1215880.878,-136886.7057,175440.4161,708873.298,-325029.7332,239767.967,452361.9696,-333238.2793,339173.844,267215.1585,-204673.7112,-143890.4837
20130101:2107,1294412.919,1294412.919,-43309.00691,-197817.4352,772641.3577,-160002.4063,-385668.4016,567107.8752,-69763.61868,71085.58321,-97677.90452,-4478.568387,-188444.4863
20130101:2207,1135138.541,1135138.541,70217.95096,-301521.502,681486.508,-94708.12729,-403509.4577,742809.698,183449.9079,554449.7846,-151683.0232,36492.4622,-255423.3553
20130101:2307,1116320.854,1116320.854,230823.9051,-240761.4878,616692.7038,-134110.4689,-234279.7441,672936.915,375151.0174,1178055.565,-173380.183,71962.76982,-254104.9045
20130102:0007,1008632.347,1008632.347,496232.8951,-180590.9185,837643.0197,64546.90411,-114340.0832,945767.4096,815489.9941,1236784.033,861148.6833,244228.3945,-130566.4185
20130102:0107,940921.1476,940921.1476,478359.5901,-203883.6285,950003.9311,538038.3695,-181847.7657,1173136.651,890841.235,767242.2731,1353741.67,291726.3009,-75811.56494
20130102:0207,890026.1025,890026.1025,392712.2432,-234181,974033.5294,1214654.045,-258617.7875,1229847.383,875221.6745,284053.5898,1399738.459,307507.3532,-55865.76816
20130102:0307,845947.3701,845947.3701,327380.7079,-251099.8315,937203.7807,1786062.826,-296823.1536,1093276.617,821350.9824,1014.707632,1017470.203,305296.1381,-62747.25083
20130102:0407,463979.6858,463979.6858,347165.5069,-228966.2841,-1520.813489,1852652.135,-238297.12,114895.5943,401787.4093,236185.9168,-6728.2822,387396.4948,-73427.71713
20130102:0507,428386.1842,428386.1842,185170.9091,-175843.7025,-502311.9867,1376302.612,-111013.3642,-181126.1885,78748.35819,493289.9141,-84139.0745,521132.6285,-98315.80824
20130102:0607,603571.2389,603571.2389,78493.63985,-101981.9609,-330305.9657,1301375.946,8596.168039,50041.76788,130322.8363,393748.6344,13973.74589,645466.9954,-219491.0935
20130102:0707,628806.6133,628806.6133,174099.6951,121005.8551,-47044.50795,1576972.758,393417.9748,204184.9327,353534.4136,253585.8804,-173457.0521,373842.9147,-247316.2982
20130102:0807,455219.5514,455219.5514,318059.7161,159774.1451,-109515.9578,1629269.603,495322.8932,50148.54125,361862.8293,264379.1176,-327730.3269,73963.46629,-188456.6237
20130102:0907,297331.4253,297331.4253,431547.5061,162460.71,-233568.9599,1487132.949,518387.2292,-84458.29773,313057.5441,310289.4228,-364504.309,-175158.4228,-135682.3649
20130102:1007,254172.6389,254172.6389,326003.3615,177457.8249,-323115.1173,1199463.657,514810.5514,-89388.66002,249279.6605,374349.9025,-283818.458,-327409.7565,-104497.2116
20130102:1107,547237.3154,547237.3154,-291248.1942,171683.1953,-273075.2141,577891.0596,395587.4753,217500.417,-193805.0534,410097.0519,-24954.33349,-296924.686,-197051.6212
20130102:1207,680195.032,680195.032,-308244.1649,27432.07688,-186042.7452,578887.3162,340537.8926,326759.1594,-313500.3633,402936.243,-183493.8305,-147923.0494,-270597.6527
20130102:1307,685884.778,685884.778,-160890.036,-68737.84258,-202868.0126,601980.3891,420707.0197,309531.7334,-137441.5923,533714.2677,-311716.274,-102962.4437,-196841.2579
20130102:1407,795391.532,795391.532,-95870.38379,-132946.7995,-265057.0933,307160.5822,347184.6664,484052.3253,104404.0572,-75163.98796,-293562.1244,-42429.01777,601021.796
20130102:1507,853428.4884,853428.4884,-178820.861,-118678.7182,-265996.5358,222547.7825,231726.0795,625024.835,60191.94653,-438540.8195,-218943.6627,-42272.02784,871017.7845
20130102:1607,853747.7387,853747.7387,-256533.8587,-109902.2479,-219140.1518,217198.2235,128225.3934,742468.6813,6915.352799,-475801.7129,-180962.4224,-71983.69348,760630.7625
20130102:1707,790186.3634,790186.3634,-279048.57,-115531.166,-134317.2056,218372.7044,55694.50861,805891.949,17256.93881,-275867.5577,-190848.3369,-116475.9356,305600.9502
20130102:1807,703237.605,703237.605,-195632.8397,-242902.5244,22338.0508,76748.68393,-80882.65566,727802.4978,102713.3984,-4455.250089,-251628.1185,-134620.2567,-486155.1219
20130102:1907,776641.5236,776641.5236,49887.0555,-290431.2228,-24026.5959,-19297.92772,-262089.9192,707169.7211,103071.6304,-94518.89276,-73995.24853,-132217.4037,-263079.0275
20130102:2007,765610.7238,765610.7238,318765.8053,-256867.7497,-82268.60108,71655.50785,-294163.6216,774074.5082,82685.76062,-95953.87032,150519.1157,-109426.6814,-110990.9331
20130102:2107,614340.9994,614340.9994,821894.55,-215246.7314,-115940.4829,905958.14,-94863.70133,714990.5225,362142.4088,106618.0855,966430.2906,244553.8923,-40599.56112
20130102:2207,558688.1578,558688.1578,771592.6598,-226744.3618,-108791.1602,1255554.242,-10902.17892,604286.6565,514399.9511,211346.6096,1247130.693,334968.0488,-71012.16126
20130102:2307,538952.2613,538952.2613,553335.8324,-237418.106,-123336.3589,1419630.68,-29799.6892,518742.5067,632846.7159,264104.3517,1325132.946,163772.8409,273866.2833
20130103:0007,530908.3681,530908.3681,329925.6471,-230577.2608,-159705.8016,1452556.223,-124755.5525,461259.3151,732462.564,265129.0981,1227485.426,-192236.613,889948.0725
20130103:0107,96315.96418,96315.96418,268753.2725,-196041.2466,-261825.3566,1421855.668,-224299.3617,190359.038,623545.8005,265106.647,1230788.107,-495275.8573,466244.7977
20130103:0207,-125820.8228,-125820.8228,608604.4036,-204867.3536,-256970.0638,1477142.41,-10860.00334,240892.0171,388851.9845,304899.6129,945046.3464,-154473.8152,-771842.6613
20130103:0307,-43661.50083,-43661.50083,752835.6084,-192677.7824,-223084.7976,1476319.077,202070.0612,333847.9765,326851.3177,266172.8767,399986.1221,-5960.874445,-640256.1408
20130103:0407,69712.74286,69712.74286,872205.7377,-74776.89789,-166135.1627,1281519.029,388558.0897,238168.1956,689812.6636,375483.2326,-348721.9578,-32151.78402,674739.9596
20130103:0507,18512.9859,18512.9859,869301.889,-20603.44222,-167625.2411,1231036.421,377835.1215,150215.8102,819853.4925,523898.9707,-296459.1799,-134656.237,991370.7945
20130103:0607,-32820.76386,-32820.76386,861932.3671,41722.93996,-190965.641,1209165.358,483311.646,132059.3001,593705.931,684872.9018,-159377.8266,-208728.3459,783916.8262
20130103:0707,-18058.77149,-18058.77149,577942.8458,113502.6846,-223604.6583,1120959.883,710325.6662,177434.4897,52652.06808,804402.2669,-112430.1984,-222361.1902,303856.8384
20130103:0807,203871.792,203871.792,-475317.3218,-15962.53443,-264488.4168,299561.9777,877490.17,225476.2585,-655186.2381,503255.1078,-228247.4751,-110119.8722,-471186.0848
20130103:0907,297890.1644,297890.1644,-389619.1221,-236934.1176,-239492.6171,215116.1678,540859.7195,231276.6646,-238255.2366,154745.2669,-209834.8677,-127183.3932,-64533.38332
20130103:1007,372372.474,372372.474,-83967.36074,-261122.7632,-229484.7674,498748.1701,360348.048,312878.6176,-52017.21509,368550.2138,-121061.7296,-232467.3147,633486.753
20130103:1107,638617.3475,638617.3475,64263.84435,-212011.956,-75482.93786,576379.9966,462500.4056,537348.3478,-172750.2871,914034.056,-53769.67426,-290619.2835,759041.0987
20130103:1207,690482.0438,690482.0438,-73668.75316,-190262.562,5387.404074,375570.274,628889.3698,598781.0829,-290220.592,912198.7445,-117613.5616,-223662.3639,331513.0996
20130103:1307,685044.5897,685044.5897,-163661.9641,-62061.53756,110483.0212,155807.0791,665681.7027,691326.2009,-296019.606,719872.2056,-200119.5091,-157114.9728,34605.99844
20130103:1407,674541.7033,674541.7033,-96260.5237,247519.9219,265254.2321,18931.2421,523214.6029,816509.7727,-189829.9865,417400.2296,-236366.2957,-140793.8608,-3295.900662
20130103:1507,754792.4425,754792.4425,88041.33826,602411.3086,812515.2674,117669.9369,-211914.8511,657928.6173,12514.02058,13008.61066,-54154.734,-250927.1812,-44976.0455
20130103:1607,836965.1216,836965.1216,24771.28892,434787.6595,1024039.15,237473.2524,-394733.4695,320630.1698,-72230.69588,221605.6719,14786.93949,-236968.2204,-171683.6798
20130103:1707,850503.894,850503.894,172680.8774,453003.0141,938635.4053,203867.9134,-137267.0542,302841.4476,-131354.1718,279730.2078,-91997.4296,-142869.936,-229659.4894
20130103:1807,925176.581,925176.581,680263.0275,532958.0724,923021.3139,270737.804,141711.0287,994793.8397,-70367.67031,-106245.0093,-302205.6974,-120498.862,-250990.412
20130103:1907,924376.8185,924376.8185,727107.3083,541693.665,1010249.479,367282.8922,22112.48163,1264648.624,207.520558,-316950.2573,-316503.6754,-214745.2013,-214943.4912
20130103:2007,800340.2924,800340.2924,641857.2546,554534.3139,1151315.838,489620.5543,-127898.6005,1323874.331,30644.85321,-359989.2502,-201483.7772,-268958.1207,-195827.8516
20130103:2107,582984.1853,582984.1853,535592.4412,575822.9419,1311522.098,614913.3805,-184831.8452,1253112.543,3681.490638,-251534.5541,8068.901407,-209833.0996,-213294.9704
20130103:2207,-137051.1431,-137051.1431,520378.355,566146.5054,645316.6933,897535.0751,-44449.14506,261026.6031,-204544.1491,-79668.52228,396261.222,201435.0744,2213833.285
20130103:2307,-220920.2509,-220920.2509,616960.0549,544065.0638,118342.7552,934535.1045,33638.62113,-243820.7251,-275397.7989,-169236.3241,197064.2863,39773.72333,2321181.975
20130104:0007,-71883.49726,-71883.49726,578948.7836,528369.0406,440608.0322,796219.0041,45163.83951,-15680.8303,-244447.0118,-114087.1,-89662.04695,-207263.7838,1504544.636
20130104:0107,35352.96513,35352.96513,339649.6541,502278.3222,913924.4179,360434.699,265501.9652,216776.2938,89276.13118,455543.3836,-393670.6933,98258.19792,-871204.8297
20130104:0207,-54.36654265,-54.36654265,285612.6201,523426.0064,759647.0144,305531.9697,421778.1613,54161.40987,393191.061,669350.4207,-260627.3545,416155.6055,-1280333.77
20130104:0307,-18414.37337,-18414.37337,289182.7968,561575.387,453226.8821,372076.0634,557424.4624,-115911.0889,664843.2796,708055.2964,-52915.69865,691862.6317,-811895.2049
20130104:0407,4766.434161,4766.434161,121724.5092,580225.8184,178310.0783,447414.5514,645009.0835,-150814.7997,715658.7699,626937.0655,41825.19148,974612.4053,122881.9759
20130104:0507,130157.3232,130157.3232,-466725.2967,520120.0103,223689.2874,-77053.6747,412879.4881,-6238.246765,-262860.2236,455875.9595,-149762.6503,1163529.691,1142224.79
20130104:0607,139018.8888,139018.8888,-330248.4322,452706.4825,591644.1401,-300014.1433,197127.8455,-11809.35291,-501466.9059,655897.4542,-7784.106943,843835.7993,605170.7727
20130104:0707,180779.571,180779.571,-170265.8926,435493.7717,849993.0551,-182555.0835,314810.4265,37637.59439,-263820.2106,838413.9248,305143.6186,369215.6853,463579.9919
20130104:0807,381944.1163,381944.1163,-140262.1935,618380.2391,1641081.819,-133216.9294,621475.1829,375448.7578,-11591.55976,1248771.758,610000.1866,-476264.2745,204199.5969
20130104:0907,418844.7768,418844.7768,-221219.7313,672006.9841,1747259.022,-219162.9952,705484.2711,532455.7155,-77806.65657,1320308.981,512464.2017,-478379.3507,158454.5928
20130104:1007,395132.5133,395132.5133,-274118.1958,642496.5484,1587010.589,-290965.5264,791181.5192,626438.3959,-177751.6579,1223559.521,394202.7576,-296781.1534,156464.4582
20130104:1107,360063.6221,360063.6221,-208050.6343,568546.7799,1299123.873,-306988.0136,863072.992,663110.3134,-235223.0702,959897.9302,348172.5868,-134461.405,61530.35127
20130104:1207,408940.8072,408940.8072,175251.8499,37971.98222,1052687.377,-230640.2464,9631.033992,633616.1716,-158845.5962,83798.33301,372950.9044,-157133.1537,91850.92611
20130104:1307,478480.7454,478480.7454,424657.7011,-135641.3088,1257345.829,-201988.5661,-428742.0752,574945.808,-157926.3106,-11079.53911,223824.2101,-229701.4051,174500.4257
20130104:1407,432095.0492,432095.0492,356982.0945,736.0378554,1348246.943,-175925.1546,-258362.0258,547657.3819,-231061.1744,20765.0708,149673.4868,-134773.4224,-126773.537
20130104:1507,86277.53709,86277.53709,74778.61952,188761.5989,1298912.317,33161.82643,-54928.43016,516889.1916,-219319.9395,-76620.21103,-126875.3338,32282.20326,-302982.4902
20130104:1607,-47864.53453,-47864.53453,122853.7795,156357.4574,1219893.819,113718.744,-155040.1093,560267.8541,-166726.0447,-125349.3495,-310269.5001,-19912.66945,-103247.4812
20130104:1707,-60358.54863,-60358.54863,269235.7124,61406.37725,1162352.666,181345.9259,-258552.8689,634924.521,-153390.4205,-106452.1053,-329050.6483,-163821.6357,100602.3451
20130104:1807,33135.5625,33135.5625,407085.5661,-44360.3989,1104603.076,266863.4732,-271844.8703,683667.9457,-188532.9166,-26489.94983,-180351.3795,-291024.3303,583469.9924
20130104:1907,-79706.30921,-79706.30921,488774.1615,-109274.8431,630572.1375,365251.3019,-146862.635,-16973.79754,-146532.1232,28947.35357,216313.5243,-269057.8137,2130280.964
20130104:2007,-295884.1786,-295884.1786,574327.4641,215.6342137,295768.9653,281000.7626,-179061.2762,-441152.457,157643.4538,-93701.11896,406173.2431,-132625.6492,1218449.757
20130104:2107,-284898.1683,-284898.1683,435936.6973,110002.7365,293262.3003,307535.847,-253854.5604,-297316.2562,385069.1083,-30000.95299,190483.9874,-133054.6482,-250531.9467
20130104:2207,-202517.0552,-202517.0552,-187679.7354,311152.4278,232647.58,497649.1475,-279001.9519,-44739.68061,751558.4059,691327.9491,-427304.1842,-215141.5908,117484.6925
