Time,value,,,,,,,,,,,,
20130108:0807,456114.6012,,,,,,,,,,,,
20130108:0907,526167.1654,,,,,,,,,,,,
20130108:1007,505939.7093,,,,,,,,,,,,
20130108:1107,448621.3855,,,,,,,,,,,,
20130108:1207,382527.2229,,,,,,,,,,,,
20130108:1307,324735.8188,,,,,,,,,,,,
20130108:1407,290354.107,,,,,,,,,,,,
20130108:1507,309394.1951,,,,,,,,,,,,
20130108:1607,381360.3411,,,,,,,,,,,,
20130108:1707,650098.9905,,,,,,,,,,,,
20130108:1807,699986.0174,,,,,,,,,,,,
20130108:1907,666701.0298,,,,,,,,,,,,
20130108:2007,618272.4654,,,,,,,,,,,,
20130108:2107,560359.4618,,,,,,,,,,,,
20130108:2207,537691.017,,,,,,,,,,,,
20130108:2307,521131.3511,,,,,,,,,,,,
20130109:0007,799234.2467,,,,,,,,,,,,
20130109:0107,968619.853,,,,,,,,,,,,
20130109:0207,1002818.378,,,,,,,,,,,,
20130109:0307,894091.8237,,,,,,,,,,,,
20130109:0407,260010.2662,,,,,,,,,,,,
20130109:0507,367882.7911,,,,,,,,,,,,
20130109:0607,636994.4905,,,,,,,,,,,,
20130109:0707,583723.5522,,,,,,,,,,,,
20130109:0807,315373.4909,,,,,,,,,,,,
20130109:0907,102905.5115,,,,,,,,,,,,
20130109:1007,69555.24341,,,,,,,,,,,,
20130109:1107,485828.8896,,,,,,,,,,,,
20130109:1207,663848.7064,,,,,,,,,,,,
20130109:1307,620258.1083,,,,,,,,,,,,
20130109:1407,565063.7107,,,,,,,,,,,,
20130109:1507,556532.2725,,,,,,,,,,,,
20130109:1607,561658.1704,,,,,,,,,,,,
20130109:1707,587492.0224,,,,,,,,,,,,
20130109:1807,668221.9495,,,,,,,,,,,,
20130109:1907,742915.9527,,,,,,,,,,,,
20130109:2007,762285.4506,,,,,,,,,,,,
20130109:2107,814721.5707,,,,,,,,,,,,
20130109:2207,855942.3692,,,,,,,,,,,,
20130109:2307,801829.2629,,,,,,,,,,,,
20130110:0007,627425.0656,,,,,,,,,,,,
20130110:0107,382625.9798,,,,,,,,,,,,
20130110:0207,485927.4453,,,,,,,,,,,,
20130110:0307,444472.0379,,,,,,,,,,,,
20130110:0407,82812.26634,,,,,,,,,,,,
20130110:0507,-13836.51464,,,,,,,,,,,,
20130110:0607,1339.14318,,,,,,,,,,,,
20130110:0707,59248.04415,,,,,,,,,,,,
20130110:0807,108790.8462,,,,,,,,,,,,
20130110:0907,121401.3759,,,,,,,,,,,,
20130110:1007,227669.8664,,,,,,,,,,,,
20130110:1107,568925.2156,,,,,,,,,,,,
20130110:1207,651142.5132,,,,,,,,,,,,
20130110:1307,641362.6541,,,,,,,,,,,,
20130110:1407,579483.6025,,,,,,,,,,,,
20130110:1507,476993.3989,,,,,,,,,,,,
20130110:1607,500652.2635,,,,,,,,,,,,
20130110:1707,469415.132,,,,,,,,,,,,
20130110:1807,529593.8626,,,,,,,,,,,,
20130110:1907,587379.7183,,,,,,,,,,,,
20130110:2007,637153.9806,,,,,,,,,,,,
20130110:2107,680889.5056,,,,,,,,,,,,
20130110:2207,72241.63713,,,,,,,,,,,,
20130110:2307,-187312.2354,,,,,,,,,,,,
20130111:0007,-8674.481305,,,,,,,,,,,,
20130111:0107,128297.2681,,,,,,,,,,,,
20130111:0207,20797.8084,,,,,,,,,,,,
20130111:0307,-100528.371,,,,,,,,,,,,
20130111:0407,-163285.6883,,,,,,,,,,,,
20130111:0507,-60274.07879,,,,,,,,,,,,
20130111:0607,142137.8116,,,,,,,,,,,,
20130111:0707,316149.5333,,,,,,,,,,,,
20130111:0807,716855.4412,,,,,,,,,,,,
20130111:0907,759028.7987,,,,,,,,,,,,
20130111:1007,709499.8341,,,,,,,,,,,,
20130111:1107,656087.7972,,,,,,,,,,,,
20130111:1207,621717.5794,,,,,,,,,,,,
20130111:1307,540397.5227,,,,,,,,,,,,
20130111:1407,454457.1514,,,,,,,,,,,,
20130111:1507,577444.6073,,,,,,,,,,,,
20130111:1607,711181.1004,,,,,,,,,,,,
20130111:1707,732978.1984,,,,,,,,,,,,
20130111:1807,609841.3561,,,,,,,,,,,,
20130111:1907,16418.85899,,,,,,,,,,,,
20130111:2007,110260.4964,,,,,,,,,,,,
20130111:2107,274787.6958,,,,,,,,,,,,
20130111:2207,175141.6481,,,,,,,,,,,,
20130111:2307,25352.00851,,,,,,,,,,,,
20130112:0007,-47957.28765,,,,,,,,,,,,
20130112:0107,-19448.16774,,,,,,,,,,,,
20130112:0207,186336.5817,,,,,,,,,,,,
