Time,value
20130115:0307,1177418.198
20130115:0407,1176601.881
20130115:0507,1285958.057
20130115:0607,1287609.914
20130115:0707,1032459.766
20130115:0807,998563.4367
20130115:0907,352579.3792
20130115:1007,350493.9157
20130115:1107,-37183.08778
20130115:1207,-38067.82207
20130115:1307,-60737.51554
20130115:1407,-60459.35753
20130115:1507,-7699.976056
20130115:1607,-6616.335774
20130115:1707,280416.9095
20130115:1807,283772.1098
20130115:1907,1306800.693
20130115:2007,1309498.234
20130115:2107,1291462.555
20130115:2207,1289760.026
20130115:2307,1193032.538
20130116:0007,1205166.155
20130116:0107,1397391.565
20130116:0207,1396883.523
20130116:0307,1515977.93
20130116:0407,1517698.836
20130116:0507,1739739.549
20130116:0607,1739286.384
20130116:0707,680921.7161
20130116:0807,615701.3851
20130116:0907,-107318.0204
20130116:1007,-106885.4912
20130116:1107,-19140.75581
20130116:1207,-20076.55719
20130116:1307,-295590.2253
20130116:1407,-296042.5202
20130116:1507,-194912.5574
20130116:1607,-188130.3436
20130116:1707,63688.55297
20130116:1807,66103.38396
20130116:1907,1012753.682
20130116:2007,1016212.177
20130116:2107,1346403.754
20130116:2207,1346325.411
20130116:2307,1311473.787
20130117:0007,1314045.476
20130117:0107,1386372.432
20130117:0207,1386311.42
20130117:0307,1297828.832
20130117:0407,1297439.853
20130117:0507,1175769.579
20130117:0607,1174732.891
20130117:0707,175136.0877
20130117:0807,123934.3793
20130117:0907,-135588.4066
20130117:1007,-133875.8146
20130117:1107,38372.54127
20130117:1207,37329.39202
20130117:1307,-276031.7124
20130117:1407,-276542.1396
20130117:1507,-125351.8622
20130117:1607,1234508.203
20130117:1707,668736.2425
20130117:1807,716200.9184
20130117:1907,490112.5823
20130117:2007,490088.3986
20130117:2107,752121.1381
20130117:2207,754184.2888
20130117:2307,1185205.723
20130118:0007,1191834.208
20130118:0107,1179724.211
20130118:0207,1179597.721
20130118:0307,1331774.428
20130118:0407,1332940.292
20130118:0507,1579828.825
20130118:0607,1580345.911
20130118:0707,1100209.423
20130118:0807,1049466.999
20130118:0907,-272107.2608
20130118:1007,-275032.1579
20130118:1107,-247023.9704
20130118:1207,-245687.8146
20130118:1307,-130992.0207
20130118:1407,-131319.1654
20130118:1507,-117644.8151
20130118:1607,-111194.0644
20130118:1707,87754.88933
20130118:1807,88730.47354
20130118:1907,617248.5809
20130118:2007,619997.7678
20130118:2107,1152355.562
20130118:2207,1153973.503
20130118:2307,1231125.918
20130119:0007,1220982.713
20130119:0107,816352.4498
20130119:0207,814656.6081
20130119:0307,886917.3555
20130119:0407,888774.7722
20130119:0507,1178832.711
20130119:0607,1178746.717
20130119:0707,690886.9387
20130119:0807,650130.1487
20130119:0907,-280967.0595
20130119:1007,-282496.1462
20130119:1107,-107596.997
20130119:1207,-106264.9476
20130119:1307,-84530.34864
20130119:1407,-85554.97837
20130119:1507,-238636.3557
20130119:1607,-236278.4065
20130119:1707,-3943.532218
20130119:1807,-2345.739608
20130119:1907,766806.9205
20130119:2007,770455.9798
20130119:2107,1243678.608
20130119:2207,1243796.586
20130119:2307,1118728.013
20130120:0007,1115555.51
20130120:0107,1132303.802
20130120:0207,1132525.203
20130120:0307,1175251.319
20130120:0407,1175556.315
20130120:0507,1405716.031
20130120:0607,1406937.203
20130120:0707,1180758.532
20130120:0807,1138591.611
20130120:0907,-234040.4146
20130120:1007,-238154.2579
20130120:1107,-90579.61784
20130120:1207,-87244.31288
20130120:1307,240574.2069
20130120:1407,239438.2453
20130120:1507,-87050.10438
20130120:1607,-89340.32187
20130120:1707,261841.1766
20130120:1807,264792.8153
20130120:1907,1066108.711
20130120:2007,1068102.605
20130120:2107,1089659.343
20130120:2207,1089088.703
20130120:2307,1061080.082
20130121:0007,1065766.946
20130121:0107,1237960.59
20130121:0207,1238657.019
20130121:0307,1230721.45
20130121:0407,1230033.616
20130121:0507,1042716.849
20130121:0607,1042236.592
20130121:0707,599317.4932
20130121:0807,556959.5402
20130121:0907,-477042.7327
20130121:1007,-478851.8625
20130121:1107,-160901.9867
20130121:1207,-158518.2841
20130121:1307,5159.755951
20130121:1407,4193.531977
20130121:1507,-218307.1417
20130121:1607,-218585.698
20130121:1707,52622.6243
20130121:1807,54755.68083
20130121:1907,927502.1682
20130121:2007,930958.7649
20130121:2107,929542.91
20130121:2207,925999.1626
20130121:2307,247524.2636
20130122:0007,249402.9515
20130122:0107,971035.3197
20130122:0207,975192.6938
20130122:0307,1140360.324
20130122:0407,1136688.148
20130122:0507,966.0766002
20130122:0607,-1803.996687
20130122:0707,336758.5116
20130122:0807,344329.9874
20130122:0907,-28926.57811
20130122:1007,-30500.36073
20130122:1107,76408.42503
20130122:1207,77904.46478
20130122:1307,363165.8894
20130122:1407,364110.8705
20130122:1507,535854.3098
20130122:1607,542326.6477
20130122:1707,745336.4578
20130122:1807,746185.9295
20130122:1907,1258449.755
20130122:2007,1261177.706
20130122:2107,1382208.264
20130122:2207,1379984.835
20130122:2307,946797.8589
20130123:0007,945209.915
20130123:0107,1201569.901
20130123:0207,1203373.462
20130123:0307,1376032.839
20130123:0407,1375322.999
20130123:0507,1021273.543
20130123:0607,1019750.842
20130123:0707,679805.9889
20130123:0807,658102.9798
20130123:0907,-18359.31711
20130123:1007,-20024.62186
20130123:1107,177123.8651
20130123:1207,179382.4731
20130123:1307,740883.9113
20130123:1407,743098.7989
20130123:1507,1007948.382
20130123:1607,1005432.479
20130123:1707,762144.9433
20130123:1807,760745.3999
20130123:1907,969313.4661
20130123:2007,972366.1658
20130123:2107,1461915.764
20130123:2207,1461208.317
20130123:2307,1152393.648
20130124:0007,1149055.658
20130124:0107,1267483.32
20130124:0207,1268125.73
20130124:0307,1312040.048
20130124:0407,1312036.156
20130124:0507,1453504.935
20130124:0607,1454655.747
20130124:0707,1537896.86
20130124:0807,1514517.512
20130124:0907,380554.5896
20130124:1007,377013.6936
20130124:1107,662744.0901
20130124:1207,666166.5052
20130124:1307,653469.3505
20130124:1407,649417.6883
20130124:1507,-208234.4111
20130124:1607,-215037.3113
20130124:1707,213131.3221
20130124:1807,216106.2198
20130124:1907,1216803.722
20130124:2007,1220383.199
20130124:2107,1241364.114
20130124:2207,1238111.937
20130124:2307,305329.8974
20130125:0007,289295.8505
20130125:0107,949064.412
20130125:0207,983450.5136
20130125:0307,761512.5348
20130125:0407,761784.0203
20130125:0507,583422.8048
20130125:0607,583796.4559
20130125:0707,511866.966
20130125:0807,484640.2545
20130125:0907,-346460.8585
20130125:1007,-348221.3965
20130125:1107,-180861.4783
20130125:1207,-179246.116
20130125:1307,-124003.5068
20130125:1407,-125185.2441
20130125:1507,-334579.4298
20130125:1607,-333595.7204
20130125:1707,-117151.9113
20130125:1807,-115654.6805
20130125:1907,425413.1237
20130125:2007,427325.8011
20130125:2107,422759.7781
20130125:2207,421355.7346
20130125:2307,224126.9725
20130126:0007,226060.4325
20130126:0107,218899.0203
20130126:0207,217896.8899
20130126:0307,-116251.0495
20130126:0407,-116994.1402
20130126:0507,-38145.07626
