Time,value
20130209:1307,1013940.39
20130209:1407,1408276.38
20130209:1507,1595008.3
20130209:1607,1607714.944
20130209:1707,1477092.652
20130209:1807,110097.772
20130209:1907,-473823.4671
20130209:2007,-140427.7795
20130209:2107,225708.2413
20130209:2207,54968.34505
20130209:2307,-149308.9494
20130210:0007,-239528.1975
20130210:0107,-42752.41214
20130210:0207,117280.4272
20130210:0307,78015.09699
20130210:0407,634152.946
20130210:0507,1165436.328
20130210:0607,1710233.697
20130210:0707,2080912.929
20130210:0807,1999532.013
20130210:0907,1548639.299
20130210:1007,1408632.982
20130210:1107,1177784.961
20130210:1207,1110368.358
20130210:1307,1103680.056
20130210:1407,1123444.373
20130210:1507,744420.588
20130210:1607,196370.512
20130210:1707,-52334.17812
20130210:1807,-226530.8765
20130210:1907,-153139.7421
20130210:2007,-75129.51175
20130210:2107,-50377.19307
20130210:2207,-54028.20575
20130210:2307,42399.91704
20130211:0007,152844.6889
20130211:0107,819373.1614
20130211:0207,1166374.048
20130211:0307,1396853.104
20130211:0407,1501751.913
20130211:0507,1471419.067
20130211:0607,1507468.736
20130211:0707,1441353.731
20130211:0807,1001173.391
20130211:0907,875766.5961
20130211:1007,840102.3073
20130211:1107,784788.5264
20130211:1207,264424.487
20130211:1307,-29887.3255
20130211:1407,-33462.27449
20130211:1507,-117907.9998
20130211:1607,-187091.0298
20130211:1707,-218929.2034
20130211:1807,-204396.7584
20130211:1907,-104233.0985
20130211:2007,-53778.9401
20130211:2107,-21442.95581
20130211:2207,426797.3828
20130211:2307,738923.0399
20130212:0007,1223812.723
20130212:0107,1782174.336
20130212:0207,1838324.842
20130212:0307,1184408.368
20130212:0407,1042121.937
20130212:0507,1165898.684
20130212:0607,1248663.956
20130212:0707,1233887.59
20130212:0807,1102336.05
20130212:0907,35114.76692
20130212:1007,-312695.9158
20130212:1107,-37988.84906
20130212:1207,75491.62257
20130212:1307,-122137.0175
20130212:1407,-275674.1633
20130212:1507,-286570.6446
20130212:1607,-13352.72968
20130212:1707,106928.3461
20130212:1807,166280.1186
20130212:1907,984897.0451
20130212:2007,1436000.164
20130212:2107,1676053.25
20130212:2207,1698541.011
20130212:2307,1388204.793
20130213:0007,1349269.66
20130213:0107,1436692.828
20130213:0207,1338051.799
20130213:0307,1216000.484
20130213:0407,1049299.308
20130213:0507,846706.2613
20130213:0607,303075.2247
20130213:0707,248455.9642
20130213:0807,291743.6845
20130213:0907,252318.3065
20130213:1007,229661.0574
20130213:1107,272052.241
20130213:1207,368480.6414
20130213:1307,485246.5309
20130213:1407,483241.278
20130213:1507,552767.1794
20130213:1607,714574.2645
20130213:1707,735766.8992
20130213:1807,709079.6216
20130213:1907,653963.7137
20130213:2007,606256.5181
20130213:2107,152411.4379
20130213:2207,447753.8846
20130213:2307,509076.5753
20130214:0007,-99939.51971
20130214:0107,-355923.6895
20130214:0207,-361201.2064
20130214:0307,-177442.0459
20130214:0407,245404.2339
20130214:0507,275181.1735
20130214:0607,278636.1653
20130214:0707,480297.5006
20130214:0807,586892.8435
20130214:0907,660897.3077
20130214:1007,707535.3889
20130214:1107,752071.2032
20130214:1207,769186.392
20130214:1307,777881.4835
20130214:1407,1578863.978
20130214:1507,1900225.508
20130214:1607,1853281.857
20130214:1707,1508391.892
20130214:1807,-83865.82185
20130214:1907,-429689.7634
20130214:2007,-73312.08197
20130214:2107,101664.469
20130214:2207,-138618.2345
20130214:2307,-354880.3402
20130215:0007,-419748.1073
20130215:0107,-190784.8343
20130215:0207,-78453.9959
20130215:0307,-96005.89816
20130215:0407,-164879.7664
20130215:0507,-142130.7095
20130215:0607,86088.83965
20130215:0707,518543.444
20130215:0807,1441057.881
20130215:0907,1465508.657
20130215:1007,1296374.309
20130215:1107,1254828.051
20130215:1207,1408222.12
20130215:1307,1492890.748
20130215:1407,1423660.471
20130215:1507,223489.8815
20130215:1607,-350317.8848
20130215:1707,-54311.96329
20130215:1807,141254.8871
20130215:1907,-80475.27844
20130215:2007,-305121.7408
20130215:2107,-400182.6928
20130215:2207,-186459.7775
20130215:2307,1497.854208
20130216:0007,7631.422239
20130216:0107,-10694.35747
20130216:0207,70925.33707
20130216:0307,442389.9932
20130216:0407,1050549.81
20130216:0507,1833314.785
20130216:0607,1553116.518
20130216:0707,1356275.852
20130216:0807,1371179.26
20130216:0907,1491128.259
20130216:1007,1566636.586
20130216:1107,1533871.629
20130216:1207,578046.4143
20130216:1307,284940.6319
20130216:1407,767873.68
20130216:1507,815316.8994
20130216:1607,368430.0133
20130216:1707,6593.400254
20130216:1807,-47961.50581
20130216:1907,520120.959
20130216:2007,664436.0995
20130216:2107,596014.9373
