Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
32	33204.25	1729.3853	34536.0	30252.0	1000.0	171.88635	0.000980682	171.88647	171.85876	132000	-1.7404558e-08	8475284.0	-0.007206965	-29068.0	0.7722936	0.015318443	0.13375	10.0	8518.966184139252
33	32439.0	2745.9285	35154.0	28302.0	1000.0	177.09193	0.00048077587	177.09206	177.07991	136000	1.5497208e-07	8099524.0	-0.01877067	-27965.5	0.76924306	0.013923531	0.15825	79.0	8786.750660896301
34	32972.0	2138.5823	35000.0	29900.0	1000.0	182.22003	0.00049814594	182.22012	182.20837	140000	1.4400483e-07	8314905.0	-0.009284032	-28831.0	0.7539782	0.015847119	0.094	11.0	9056.851009130478
35	31891.5	2885.7737	35118.0	28838.0	1000.0	187.41652	0.00040723453	187.41661	187.4053	144000	2.9897691e-07	7738145.0	-0.017422836	-26893.0	0.751929	0.013774004	0.15725	79.0	9327.71615576744
36	33355.5	1822.9991	35176.0	31185.0	1000.0	192.45483	0.00058936945	192.45493	192.444	148000	8.249283e-08	8449789.0	-0.017486986	-29203.0	0.734143	0.0145411845	0.13275	79.0	9594.649502515793
37	33566.25	1439.7856	35175.0	31234.0	1000.0	197.68326	0.000337496	197.68332	197.67285	152000	1.9073487e-07	8541905.0	-0.017158912	-29560.0	0.7228197	0.01510014	0.1315	55.0	9861.15254688263
38	32992.5	1668.5587	34444.0	30372.0	1000.0	202.95256	8.479e-05	202.95262	202.95154	156000	-2.861023e-08	8353579.5	-0.01888997	-28921.5	0.7186016	0.0128991455	0.1605	79.0	10129.431345462799
39	35051.5	231.57343	35277.0	34666.0	1000.0	208.16747	0.0005415055	208.16756	208.1577	160000	2.2411347e-08	9183885.0	-0.016067237	-31820.0	0.71311325	0.0072128717	0.117	79.0	10396.81575703621
40	33643.25	1486.7506	35206.0	31295.0	1000.0	213.61182	0.00034052818	213.6119	213.60248	164000	-2.2792817e-07	8517166.0	-0.01762578	-29489.0	0.69650733	0.0143024735	0.1405	79.0	10664.073924064636
41	33438.75	1971.7596	35359.0	30725.0	1000.0	218.87389	0.0004904479	218.87395	218.86487	168000	-2.691746e-07	8337644.0	-0.015293969	-28743.5	0.68457776	0.011076283	0.097	79.0	10933.405608415604
42	33205.75	3235.8242	35401.0	27617.0	1000.0	224.05959	0.00043937424	224.05965	224.05095	172000	7.0333486e-09	8221024.5	-0.01052768	-28307.5	0.6954013	0.015043385	0.1435	11.0	11200.519468545914
43	34820.25	363.20612	35195.0	34387.0	1000.0	229.20645	0.00016731942	229.20648	229.20297	176000	-2.0122529e-07	9017613.0	-0.016524855	-31087.0	0.69498646	0.011587761	0.134	79.0	11465.93880200386
