Time,Month,Day,Time of the day,Wind power generation - hourly data
1/15/2018 11:00,1,15,11,1406
1/15/2018 12:00,1,15,12,1405
1/15/2018 13:00,1,15,13,1405
1/15/2018 14:00,1,15,14,1412
1/15/2018 15:00,1,15,15,1408
1/15/2018 16:00,1,15,16,1417
1/15/2018 17:00,1,15,17,1409
1/15/2018 18:00,1,15,18,1412
1/15/2018 19:00,1,15,19,1408
1/15/2018 20:00,1,15,20,1418
1/15/2018 21:00,1,15,21,1402
1/15/2018 22:00,1,15,22,1437
1/15/2018 23:00,1,15,23,1437
1/16/2018 0:00,1,16,0,1443
1/16/2018 1:00,1,16,1,1425
1/16/2018 2:00,1,16,2,1446
1/16/2018 3:00,1,16,3,1388
1/16/2018 4:00,1,16,4,1372
1/16/2018 5:00,1,16,5,1335
1/16/2018 6:00,1,16,6,1335
1/16/2018 7:00,1,16,7,1390
1/16/2018 8:00,1,16,8,1418
1/16/2018 9:00,1,16,9,1459
1/16/2018 10:00,1,16,10,1483
1/16/2018 11:00,1,16,11,1474
1/16/2018 12:00,1,16,12,1445
1/16/2018 13:00,1,16,13,1455
1/16/2018 14:00,1,16,14,1461
1/16/2018 15:00,1,16,15,1470
1/16/2018 16:00,1,16,16,1509
1/16/2018 17:00,1,16,17,1507
1/16/2018 18:00,1,16,18,1515
1/16/2018 19:00,1,16,19,1515
1/16/2018 20:00,1,16,20,1525
1/16/2018 21:00,1,16,21,1535
1/16/2018 22:00,1,16,22,1530
1/16/2018 23:00,1,16,23,1497
1/17/2018 0:00,1,17,0,1469
1/17/2018 1:00,1,17,1,1496
1/17/2018 2:00,1,17,2,1520
1/17/2018 3:00,1,17,3,1517
1/17/2018 4:00,1,17,4,1501
1/17/2018 5:00,1,17,5,1522
1/17/2018 6:00,1,17,6,1538
1/17/2018 7:00,1,17,7,1535
1/17/2018 8:00,1,17,8,1524
1/17/2018 9:00,1,17,9,1474
1/17/2018 10:00,1,17,10,1397
1/17/2018 11:00,1,17,11,1297
1/17/2018 12:00,1,17,12,1205
1/17/2018 13:00,1,17,13,1107
1/17/2018 14:00,1,17,14,1015
1/17/2018 15:00,1,17,15,906
1/17/2018 16:00,1,17,16,867
1/17/2018 17:00,1,17,17,883
1/17/2018 18:00,1,17,18,866
1/17/2018 19:00,1,17,19,886
1/17/2018 20:00,1,17,20,945
1/17/2018 21:00,1,17,21,931
1/17/2018 22:00,1,17,22,913
1/17/2018 23:00,1,17,23,955
1/18/2018 0:00,1,18,0,978
1/18/2018 1:00,1,18,1,954
1/18/2018 2:00,1,18,2,926
1/18/2018 3:00,1,18,3,912
1/18/2018 4:00,1,18,4,924
1/18/2018 5:00,1,18,5,911
1/18/2018 6:00,1,18,6,868
1/18/2018 7:00,1,18,7,867
1/18/2018 8:00,1,18,8,861
1/18/2018 9:00,1,18,9,834
1/18/2018 10:00,1,18,10,816
1/18/2018 11:00,1,18,11,777
1/18/2018 12:00,1,18,12,745
1/18/2018 13:00,1,18,13,707
1/18/2018 14:00,1,18,14,641
1/18/2018 15:00,1,18,15,540
1/18/2018 16:00,1,18,16,531
1/18/2018 17:00,1,18,17,569
1/18/2018 18:00,1,18,18,600
1/18/2018 19:00,1,18,19,595
1/18/2018 20:00,1,18,20,568
1/18/2018 21:00,1,18,21,551
1/18/2018 22:00,1,18,22,514
1/18/2018 23:00,1,18,23,493
1/19/2018 0:00,1,19,0,453
1/19/2018 1:00,1,19,1,405
1/19/2018 2:00,1,19,2,376
1/19/2018 3:00,1,19,3,374
1/19/2018 4:00,1,19,4,330
1/19/2018 5:00,1,19,5,311
1/19/2018 6:00,1,19,6,270
1/19/2018 7:00,1,19,7,243
1/19/2018 8:00,1,19,8,200
1/19/2018 9:00,1,19,9,175
1/19/2018 10:00,1,19,10,154
1/19/2018 11:00,1,19,11,157
1/19/2018 12:00,1,19,12,162
1/19/2018 13:00,1,19,13,163
1/19/2018 14:00,1,19,14,155
1/19/2018 15:00,1,19,15,142
1/19/2018 16:00,1,19,16,130
1/19/2018 17:00,1,19,17,171
1/19/2018 18:00,1,19,18,239
1/19/2018 19:00,1,19,19,278
1/19/2018 20:00,1,19,20,264
1/19/2018 21:00,1,19,21,259
1/19/2018 22:00,1,19,22,237
1/19/2018 23:00,1,19,23,189
1/20/2018 0:00,1,20,0,184
1/20/2018 1:00,1,20,1,193
1/20/2018 2:00,1,20,2,199
1/20/2018 3:00,1,20,3,166
1/20/2018 4:00,1,20,4,174
1/20/2018 5:00,1,20,5,176
1/20/2018 6:00,1,20,6,172
1/20/2018 7:00,1,20,7,162
1/20/2018 8:00,1,20,8,148
