Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
39	61876.5	4739.6597	64933.0	53692.0	1000.0	206.95029	0.00015572527	206.9504	206.94899	160000	8.3684924e-08	32893068.0	-0.018202972	-57842.0	0.91382784	0.015433467	0.1265	31.0	31435.871159791946
40	55257.5	4234.6646	59464.0	50096.0	1000.0	212.25179	0.00016954208	212.25189	212.25081	164000	-1.4305115e-08	25710136.0	-0.010624883	-45300.0	0.9123986	0.015489341	0.124	14.0	31902.306213617325
41	60611.0	4704.2354	64814.0	53147.0	1000.0	216.984	0.00015219352	216.98407	216.98294	168000	-1.2469292e-07	31705792.0	-0.013496298	-55826.0	0.9127591	0.015491082	0.07825	18.0	32398.599814414978
42	61581.25	4214.3057	64905.0	54577.0	1000.0	222.174	0.00013035284	222.17409	222.17336	172000	2.961159e-07	32129696.0	-0.013732607	-56414.0	0.9130797	0.01527801	0.1125	19.0	32858.369020462036
43	55457.0	9858.14	72206.0	48111.0	1000.0	227.42163	0.00012736382	227.42174	227.42105	176000	-9.536744e-09	25512678.0	-0.011439893	-45552.0	0.913795	0.015076534	0.11675	23.0	33348.57792067528
44	58164.75	7304.212	64893.0	45908.0	1000.0	232.17738	0.0001180418	232.17744	232.17677	180000	-1.4257432e-07	28250932.0	-0.017672021	-49484.0	0.91129446	0.015070933	0.1275	71.0	33845.456778764725
45	59463.5	6020.4463	66042.0	52104.0	1000.0	237.10193	0.00010182798	237.10197	237.10136	184000	2.7340653e-07	30073852.0	-0.017728986	-52820.0	0.9075091	0.012404869	0.13625	79.0	34325.676451683044
46	60608.25	2576.8186	64719.0	57756.0	1000.0	242.20105	0.000105968145	242.20108	242.20042	188000	-1.7786027e-07	30709556.0	-0.019662686	-54624.0	0.9012157	0.015075516	0.1165	45.0	34868.11979484558
47	61100.25	6614.903	65147.0	49646.0	1000.0	247.39235	9.1705515e-05	247.39243	247.39178	192000	-3.8146975e-08	31489382.0	-0.010151929	-56264.0	0.905924	0.016097255	0.1075	12.0	35368.43766617775
48	53398.0	7458.7793	65009.0	45483.0	1000.0	252.6595	8.9215e-05	252.65956	252.65904	196000	1.9931794e-07	23711792.0	-0.020096516	-42826.0	0.9087432	0.014499882	0.14875	79.0	35889.097443819046
49	56240.5	8424.683	66286.0	46703.0	1000.0	257.30908	9.078018e-05	257.30917	257.3087	200000	-2.0849706e-07	25907074.0	-0.014552069	-46018.0	0.9019926	0.015822915	0.163	19.0	36414.802431344986
