TimeStamp,wSpeed100
88.7501,5.3
89,5.61
89.01,6.12
89.25,6.77
89.2501,7.63
89.5,8.58
89.501,9.77
89.75,10.43
89.7501,11.15
90,11.16
90.01,10.78
90.25,11.02
90.2501,10.84
90.5,10.47
90.501,10.44
90.75,10.36
90.7501,10.49
91,11.35
91.01,10.91
91.25,10.3
91.2501,9.83
91.5,9.33
91.501,9.35
91.75,9.14
91.7501,9.18
92,8.98
92.01,8.69
92.25,9.59
92.2501,10.55
92.5,10.98
92.501,10.99
92.75,10.98
92.7501,10.69
93,10.18
93.01,10.33
93.25,10.62
93.2501,10.03
93.5,10.12
93.501,9.93
93.75,9.63
93.7501,9.33
94,10.03
94.01,9.68
94.25,9.57
94.2501,9.15
94.5,9.12
94.501,9.21
94.75,9.17
94.7501,8.92
95,8.98
95.01,8.97
95.25,8.98
95.2501,9.07
95.5,9
95.501,9.21
95.75,9.57
95.7501,9.67
96,9.36
96.01,8.99
96.25,8.81
96.2501,8.54
96.5,8.47
96.501,8.65
96.75,8.75
96.7501,8.12
97,9.48
97.01,8.76
97.25,8.21
97.2501,7.68
97.5,7.52
97.501,7.37
97.75,7.43
97.7501,7.68
98,7.97
98.01,8.6
98.25,9.56
98.2501,9.8
98.5,9.85
98.501,10.14
98.75,10.37
98.7501,10.44
99,10.1
99.01,9.62
99.25,9.61
99.2501,11.21
99.5,10.89
99.501,10.73
99.75,10.45
99.7501,8.05
100,8.37
100.01,8.62
100.25,7.82
100.2501,6.8
100.5,5.97
100.501,6.01
100.75,6.4
100.7501,6.96
101,7.02
101.01,7.62
101.25,8.65
101.2501,9.27
101.5,9.55
101.501,9.67
101.75,9.58
101.7501,9.42
102,9.52
102.01,9.73
102.25,9.77
102.2501,9.64
102.5,8.98
102.501,8.29
102.75,7.75
102.7501,5.34
103,5.15
103.01,5.01
103.25,4.8
103.2501,4.58
103.5,4.42
103.501,4.58
103.75,5.14
103.7501,5.71
104,6.07
104.01,7.02
104.25,8.04
104.2501,8.73
104.5,8.97
104.501,8.74
104.75,8.28
104.7501,8.22
105,8.4
105.01,8.68
105.25,8.86
105.2501,8.4
105.5,8.48
105.501,8.23
105.75,8.03
105.7501,6.16
106,5.34
106.01,5.02
106.25,4.52
106.2501,4.3
106.5,4.52
106.501,5.06
106.75,5.21
106.7501,5.89
107,6.96
107.01,7.77
107.25,8.11
107.2501,8.82
107.5,9.34
107.501,9.18
107.75,8.86
107.7501,8.37
108,7.77
108.01,7.41
108.25,7.11
108.2501,6.79
108.5,6.51
108.501,6.5
108.75,6.65
108.7501,5.54
109,6.79
109.01,8.38
109.25,9.17
109.2501,8.86
109.5,8.39
109.501,7.9
109.75,8.22
109.7501,8.56
110,9.13
110.01,9.57
110.25,9.76
110.2501,9.73
110.5,9.02
110.501,8.46
110.75,8.37
110.7501,8.39
111,8.38
111.01,8.25
111.25,8.23
111.2501,9.39
111.5,9.52
111.501,9.48
111.75,8.64
111.7501,7.43
112,7.44
112.01,7.2
112.25,6.9
112.2501,6.63
112.5,6.65
112.501,6.68
112.75,6.93
112.7501,7.35
113,7.47
113.01,7.63
113.25,7.9
113.2501,8.19
113.5,8.56
113.501,8.72
113.75,8.65
113.7501,8.53
114,8.7
114.01,8.72
114.25,8.81
114.2501,8.61
114.5,8.34
114.501,7.62
114.75,6.83
114.7501,4.67
115,4.04
115.01,3.88
115.25,3.71
115.2501,3.51
115.5,3.96
115.501,4.32
115.75,5.41
115.7501,6.32
116,6.81
116.01,7.51
116.25,8.81
116.2501,9.78
116.5,10.17
116.501,10.13
116.75,10.03
116.7501,9.94
117,9.66
117.01,8.78
117.25,8.74
117.2501,11.26
117.5,11.04
117.501,10.96
117.75,10.54
117.7501,8.97
118,8.85
118.01,8.45
118.25,7.83
118.2501,7.17
118.5,7.22
118.501,7.06
118.75,7.01
118.7501,7.42
119,7.91
119.01,8.31
119.25,9.49
119.2501,9.35
119.5,9.92
119.501,9.63
119.75,9.59
119.7501,9.45
120,9.46
120.01,9.17
120.25,9.09
120.2501,8.99
120.5,8.94
120.501,8.68
120.75,8.12
120.7501,6.5
121,6.34
121.01,5.32
121.25,5.35
121.2501,5.47
121.5,5.77
121.501,6.05
121.75,6.37
121.7501,6.94
122,7.18
122.01,7.67
122.25,8.77
122.2501,9.37
122.5,9.84
122.501,10
122.75,10.26
122.7501,10.12
123,9.98
123.01,9.95
123.25,9.8
123.2501,11.04
123.5,10.78
123.501,10.27
123.75,9.54
123.7501,7.16
124,7.22
124.01,7.41
124.25,7.44
124.2501,7.11
124.5,6.75
124.501,6.66
124.75,7.09
124.7501,8.03
125,8.84
125.01,9.24
125.25,9.79
125.2501,10.05
125.5,10.14
125.501,10.13
125.75,10.07
125.7501,9.96
126,9.89
126.01,9.67
126.25,9.55
126.2501,9.47
126.5,9.22
126.501,9.12
126.75,8.64
126.7501,7.52
127,7.44
127.01,7.4
127.25,7.08
127.2501,6.98
127.5,7.08
127.501,7
127.75,6.89
127.7501,7.04
128,7.41
128.01,8.01
128.25,9.25
128.2501,9.74
128.5,9.72
128.501,9.35
128.75,9.13
128.7501,9.16
129,9.54
129.01,9.71
129.25,9.64
129.2501,11.22
129.5,11.28
129.501,11.3
129.75,10.79
129.7501,8.09
130,7.86
130.01,8.42
130.25,7.76
130.2501,7.02
130.5,6.68
130.501,6.61
130.75,6.59
130.7501,6.59
131,6.87
131.01,7.35
131.25,8.54
131.2501,9.32
131.5,9.99
131.501,10.12
131.75,10.09
131.7501,10.13
132,10.09
132.01,9.75
132.25,9.26
132.2501,8.8
132.5,8.87
132.501,9.1
132.75,8.9
132.7501,6.43
133,6.1
133.01,5.71
133.25,5.52
133.2501,5.51
133.5,5.71
133.501,5.96
133.75,5.97
133.7501,6.24
134,6.56
134.01,7.48
134.25,8.86
134.2501,9.26
134.5,9.6
134.501,10.06
134.75,10.61
134.7501,10.77
135,10.72
135.01,10.94
135.25,10.71
135.2501,11.98
135.5,12.02
135.501,12.23
135.75,11.69
135.7501,8.48
136,7.87
136.01,7.61
136.25,7.69
136.2501,7.03
136.5,6.83
136.501,7.02
136.75,6.81
136.7501,7.02
137,7.4
137.01,7.35
137.25,7.49
137.2501,8.99
137.5,11.25
137.501,12.69
137.75,13.7
137.7501,13.78
138,13.57
138.01,13.52
138.25,12.96
138.2501,12.11
138.5,11.77
138.501,11.72
138.75,10.97
138.7501,9.85
139,9.25
139.01,8.42
139.25,7.27
139.2501,6.96
139.5,6.76
139.501,6.6
139.75,6.67
139.7501,6.95
140,7.27
140.01,7.76
140.25,8.07
140.2501,9.5
140.5,10.94
140.501,11.6
140.75,11.92
140.7501,12.28
141,12.27
141.01,11.99
141.25,11.89
141.2501,10.92
141.5,10.95
141.501,10.58
141.75,9.85
141.7501,8.78
142,8.37
142.01,7.8
142.25,7.39
142.2501,6.64
142.5,6.3
142.501,6.15
142.75,6.33
142.7501,6.47
143,6.71
143.01,6.98
143.25,7.33
143.2501,8.42
143.5,9.85
143.501,11.98
143.75,13.08
143.7501,12.53
144,12.19
144.01,11.89
144.25,11.68
144.2501,11.33
144.5,11.37
144.501,11.26
144.75,10.65
144.7501,8.18
145,7.78
145.01,7.9
145.25,7.53
145.2501,6.58
145.5,6.3
145.501,6.27
145.75,6.63
145.7501,6.94
146,7.13
146.01,7.58
146.25,8.35
146.2501,10.01
146.5,11.57
146.501,12.1
146.75,12.3
146.7501,12.2
147,12.18
147.01,12.24
147.25,12.15
147.2501,11.64
147.5,11.38
147.501,11
147.75,10.17
147.7501,9.05
148,9.07
148.01,8.67
148.25,8.38
148.2501,8.29
148.5,8.45
148.501,8.73
148.75,8.92
148.7501,8.94
149,9.07
149.01,9.29
149.25,9.65
149.2501,9.68
149.5,9.84
149.501,9.81
149.75,9.68
149.7501,9.74
150,9.66
150.01,9.58
150.25,9.57
150.2501,9.62
150.5,9.61
150.501,9.41
150.75,8.49
150.7501,6.72
151,7
151.01,6.99
151.25,7.07
151.2501,6.68
151.5,6.54
151.501,6.43
151.75,6.55
151.7501,6.62
152,7.08
152.01,8.19
152.25,9.06
152.2501,9.82
152.5,10.02
152.501,9.74
152.75,9.77
152.7501,10.03
153,10.14
153.01,9.84
153.25,9.39
153.2501,11.43
153.5,11.12
153.501,10.54
153.75,9.53
153.7501,7.2
154,7.25
154.01,7.31
154.25,6.46
154.2501,5.5
154.5,4.87
154.501,4.44
154.75,4.38
154.7501,4.48
155,4.71
155.01,5.84
155.25,5.83
155.2501,5.37
155.5,5.42
155.501,5.37
155.75,5.51
155.7501,6.4
156,7.46
156.01,8.26
156.25,9.22
156.2501,9.18
156.5,9.06
156.501,9.08
156.75,8.9
156.7501,6.57
157,4.68
157.01,4.61
157.25,4.04
157.2501,3.55
157.5,3.25
157.501,3.52
157.75,4.35
157.7501,5.31
158,5.68
158.01,6.14
158.25,6.55
158.2501,7.18
158.5,7.83
158.501,8.5
158.75,7.75
158.7501,7.85
159,9.84
159.01,11.33
159.25,12.08
159.2501,11.47
159.5,11.69
159.501,12.38
159.75,12.46
159.7501,9.62
160,9.8
160.01,10.41
160.25,10.25
160.2501,9.84
160.5,9.39
160.501,8.76
160.75,8.46
160.7501,8.65
161,8.85
161.01,8.73
161.25,9.52
161.2501,11.63
161.5,13.3
161.501,12.85
161.75,12.67
161.7501,12.54
162,12.58
162.01,12.5
162.25,12.29
162.2501,11.8
162.5,11.42
162.501,11.39
162.75,10.56
162.7501,9.42
163,9.34
163.01,8.73
163.25,9.04
163.2501,8.68
163.5,8.21
163.501,7.87
163.75,7.65
163.7501,7.47
164,7.65
164.01,7.39
164.25,8.49
164.2501,10.25
164.5,11.81
164.501,12.31
164.75,11.65
164.7501,12.06
165,11.89
165.01,12.05
165.25,11.9
165.2501,12.03
165.5,11.9
165.501,12.1
165.75,10.73
165.7501,8.05
166,7.8
166.01,7.24
166.25,6.49
166.2501,5.95
166.5,5.69
166.501,5.33
166.75,5.37
166.7501,5.99
167,7.1
167.01,7.89
167.25,9.44
167.2501,9.82
167.5,10.27
167.501,10.51
167.75,10.4
167.7501,10.37
168,10.06
168.01,9.65
168.25,9.52
168.2501,9.11
168.5,8.6
168.501,8.46
168.75,7.78
168.7501,5.46
169,5.82
169.01,5.25
169.25,4.56
169.2501,3.79
169.5,3.45
169.501,3.59
169.75,4.28
169.7501,5.3
170,6.39
170.01,7.51
170.25,7.88
170.2501,7.56
170.5,7.98
170.501,8.43
170.75,8.29
170.7501,8.73
171,9.59
171.01,9.23
171.25,8.94
171.2501,10.12
171.5,10.44
171.501,11.1
171.75,11.11
171.7501,7.96
172,7.52
172.01,6.47
172.25,6.16
172.2501,5.7
172.5,5.49
172.501,5.72
172.75,6.58
172.7501,7.36
173,8.12
173.01,8.94
173.25,9.57
173.2501,9.84
173.5,10.1
173.501,10.19
173.75,10.16
173.7501,9.7
174,9.05
174.01,8.95
174.25,9.75
174.2501,10.62
174.5,10.91
174.501,10.49
174.75,8.89
174.7501,6.89
175,7.01
175.01,6.73
175.25,6.55
175.2501,6.78
175.5,6.96
175.501,6.99
175.75,7.06
175.7501,7.56
176,8.03
176.01,8.35
176.25,8.73
176.2501,9.02
176.5,9.37
176.501,9.62
176.75,9.83
176.7501,9.93
177,10.05
177.01,9.97
177.25,10.19
177.2501,12.28
177.5,12.58
177.501,12.36
177.75,11.2
177.7501,8.29
178,8.01
178.01,7.65
178.25,7.27
178.2501,6.52
178.5,5.77
178.501,5.36
178.75,5.35
178.7501,5.7
179,5.95
179.01,6.65
179.25,6.5
179.2501,6.27
179.5,6.83
179.501,8.37
179.75,9.86
179.7501,11.02
180,11.59
180.01,11.76
180.25,11.75
180.2501,11.81
180.5,12.14
180.501,11.95
180.75,11.45
180.7501,8.65
181,8.15
181.01,8.3
181.25,7.79
181.2501,6.87
181.5,6.26
181.501,5.69
181.75,5.53
181.7501,5.9
182,6.49
182.01,7.11
182.25,6.99
182.2501,7.03
182.5,7.99
182.501,9.9
182.75,11.25
182.7501,12.12
183,12.25
183.01,12.17
183.25,12.46
183.2501,11.87
183.5,12.51
183.501,12.73
183.75,12.27
183.7501,9.1
184,9.23
184.01,10.55
184.25,10.46
184.2501,9.17
184.5,8.13
184.501,8.32
184.75,8.68
184.7501,9.07
185,9.12
185.01,9.07
185.25,9.89
185.2501,10.15
185.5,10.15
185.501,10.45
185.75,10.3
185.7501,10.38
186,10.43
186.01,10.57
186.25,10.83
186.2501,11.17
186.5,11.44
186.501,11.6
186.75,10.82
186.7501,7.55
187,8.95
187.01,9.35
187.25,9.27
187.2501,9.16
187.5,8.72
187.501,8.16
187.75,8.03
187.7501,8.41
188,8.77
188.01,8.9
188.25,9.82
188.2501,10.19
188.5,10.9
188.501,11.23
188.75,10.63
188.7501,10.2
189,9.99
189.01,9.86
189.25,9.71
189.2501,11.3
189.5,10.63
189.501,10.08
189.75,9.65
189.7501,8.43
190,8.39
190.01,10.31
190.25,10.04
190.2501,10.03
190.5,10.3
190.501,10.4
190.75,10.43
190.7501,10.99
191,10.73
191.01,10
191.25,9.77
191.2501,9.77
191.5,9.9
191.501,9.55
191.75,9.65
191.7501,10.48
192,11.27
192.01,11.55
192.25,11.68
192.2501,11.69
192.5,11.28
192.501,10.59
192.75,9.21
192.7501,8.06
193,8.05
193.01,8.14
193.25,8.58
193.2501,9.02
193.5,9.77
193.501,10.12
193.75,10.23
193.7501,10.2
194,10.07
194.01,9.63
194.25,9.51
194.2501,9.56
194.5,10.2
194.501,10.57
194.75,10.48
194.7501,9.98
195,9.72
195.01,9.93
195.25,10.41
195.2501,11.42
195.5,11.07
195.501,11.17
195.75,10.52
195.7501,8.24
196,8.14
196.01,7.97
196.25,7.81
196.2501,7.17
196.5,6.67
196.501,5.95
196.75,6.15
196.7501,6.98
197,7.37
197.01,8.01
197.25,8.57
197.2501,8.58
197.5,8.76
197.501,9.15
197.75,9.67
197.7501,10.05
198,10.5
198.01,10.29
198.25,9.87
198.2501,9.09
198.5,8.72
198.501,8.35
198.75,7.79
198.7501,5.54
199,5.96
199.01,4.98
199.25,4.17
199.2501,3.85
199.5,3.53
199.501,3.45
199.75,4.11
199.7501,5.02
200,5.66
200.01,6.82
200.25,8.52
200.2501,8.65
200.5,9.08
200.501,9.74
200.75,10.2
200.7501,10.28
201,10.28
201.01,10.36
201.25,10.4
201.2501,12.08
201.5,12.1
201.501,12.26
201.75,11.62
201.7501,8.54
202,8.94
202.01,9.19
202.25,8.74
202.2501,7.72
202.5,6.66
202.501,5.74
202.75,5.28
202.7501,5.53
203,5.9
203.01,6.53
203.25,6.1
203.2501,5.7
203.5,6.87
203.501,9.36
203.75,11.17
203.7501,12.99
204,13.76
204.01,13.44
204.25,13.26
204.2501,12.7
204.5,12.59
204.501,12.54
204.75,11.74
204.7501,10.67
205,10.95
205.01,10.98
205.25,10.12
205.2501,8.68
205.5,8.14
205.501,7.65
205.75,7.58
205.7501,7.38
206,7.33
206.01,7.52
206.25,8.3
206.2501,8.74
206.5,10.15
206.501,11.66
206.75,12.18
206.7501,12.66
207,13.14
207.01,13.08
207.25,12.99
207.2501,11.8
207.5,12.05
207.501,11.85
207.75,10.8
207.7501,8.69
208,9.35
208.01,9.6
208.25,9.19
208.2501,8.1
208.5,7.35
208.501,7.16
208.75,7.07
208.7501,7.13
209,7.64
209.01,8.26
209.25,8.83
209.2501,9.7
209.5,9.97
209.501,9.84
209.75,9.82
209.7501,10.2
210,10.72
210.01,10.74
210.25,10.24
210.2501,9.91
210.5,10.15
210.501,9.76
210.75,8.43
210.7501,5.89
211,5.97
211.01,5.58
211.25,5.13
211.2501,4.13
211.5,3.35
211.501,2.66
211.75,3.12
211.7501,3.6
212,4.76
212.01,6.77
212.25,8.57
212.2501,8.81
212.5,9.36
212.501,9.64
212.75,9.97
212.7501,9.98
213,10.16
213.01,9.57
213.25,9.51
213.2501,9.09
213.5,9.61
213.501,10.12
213.75,9.84
213.7501,6.67
214,6.68
214.01,6.07
214.25,4.74
214.2501,3.64
214.5,3.43
214.501,3.19
214.75,2.92
214.7501,3.22
215,4.15
215.01,6.06
215.25,5.86
215.2501,5.86
215.5,5.48
215.501,4.86
215.75,4.19
215.7501,4.11
216,4.46
216.01,5.78
216.25,7.21
216.2501,8.01
216.5,7.84
216.501,7.83
216.75,6.91
216.7501,4.3
217,4.69
217.01,4.72
217.25,3.74
217.2501,2.91
217.5,2.6
217.501,1.86
217.75,1.52
217.7501,1.49
218,1.49
218.01,2.57
218.25,5.46
218.2501,6.46
