time,p:1,q :1,timeStamp
0.248,1225832.457,-2314220.442,31.01
0.249,1307286.335,-2296212.906,31.25
0.25,1378343.178,-2257258.808,31.251
0.251,1430671.894,-2202797.291,31.5
0.252,1458608.727,-2140190.119,31.501
0.253,1459839.553,-2077702.097,31.75
0.254,1435623.905,-2023386.609,31.751
0.255,1390542.295,-1984025.885,32
0.256,1331811.698,-1964264.804,32.01
0.257,1268269.927,-1966048.072,32.25
0.258,1209170.848,-1988427.902,32.251
0.259,1162953.916,-2027758.722,32.5
0.26,1136150.899,-2078243.863,32.501
0.261,1132570.664,-2132753.53,32.75
0.262,1152862.787,-2183799.358,32.751
0.263,1194508.37,-2224532.973,33
0.264,1252228.921,-2249635.928,33.01
0.265,1318749.264,-2255985.964,33.25
0.266,1385805.291,-2243016.894,33.251
0.267,1445257.73,-2212731.906,33.5
0.268,1490162.469,-2169376.885,33.501
0.269,1515657.361,-2118825.141,33.75
0.27,1519552.975,-2067761.854,33.751
0.271,1502556.581,-2022780.843,34
0.272,1468108.689,-1989515.192,34.01
0.273,1421863.112,-1971915.791,34.25
0.274,1370887.723,-1971769.586,34.251
0.275,1322698.103,-1988515.438,34.5
0.276,1284255.542,-2019374.746,34.501
0.277,1261062.416,-2059772.012,34.75
0.278,1256471.866,-2103982.763,34.751
0.279,1271297.635,-2145917.739,35
0.28,1303768.239,-2179936.403,35.01
0.281,1349823.186,-2201581.55,35.25
0.282,1403703.881,-2208139.812,35.251
0.283,1458754.168,-2198958.173,35.5
0.284,1508319.846,-2175480.566,35.501
0.285,1546626.147,-2141006.46,35.75
0.286,1569517.973,-2100210.07,35.751
0.287,1574968.618,-2058489.51,36
0.288,1563295.469,-2021235.998,36.01
0.289,1537061.357,-1993121.613,36.25
0.29,1500682.171,-1977499.256,36.251
0.291,1459799.605,-1975991.383,36.5
0.292,1420507.438,-1988317.303,36.501
0.293,1388536.95,-2012376.086,36.75
0.294,1368509.861,-2044567.981,36.751
0.295,1363355.71,-2080306.11,37
0.296,1373966.494,-2114646.257,37.01
0.297,1399128.384,-2142948.673,37.25
0.298,1435732.808,-2161483.697,37.251
0.299,1479232.293,-2167902.514,37.5
0.3,1524275.02,-2161514.112,37.501
0.301,1565430.506,-2143336.746,37.75
0.302,1597907.308,-2115921.923,37.751
0.303,1618169.042,-2082980.139,38
0.304,1624370.736,-2048862.927,38.01
0.305,1616561.166,-2017972.523,38.25
0.306,1596630.526,-1994179.089,38.251
0.307,1568016.546,-1980322.296,38.5
0.308,1535213.629,-1977861.044,38.501
0.309,1503154.55,-1986714.029,38.75
0.31,1476549.3,-2005307.585,38.751
0.311,1459269.347,-2030819.491,39
0.312,1453857.392,-2059581.82,39.01
0.313,1461224.238,-2087585.758,39.25
0.314,1480568.212,-2111019.283,39.251
0.315,1509522.372,-2126765.855,39.5
0.316,1544504.579,-2132799.229,39.501
0.317,1581219.342,-2128424.721,39.75
