TimeStamp,wSpeed100,,,,w250,w300,w350,w400
22.501,10.01,,,,9.22,10.01,8.51,9.73
22.75,9.93,,,,8.92,9.93,8.57,8.64
22.7501,9.73,,,,7.4,9.73,8.82,6.22
23,9.55,,,,5.97,9.55,8.87,5.58
23.01,9.21,,,,5.31,9.21,9.06,5.33
23.25,9.36,,,,4.96,9.36,9.62,4.62
23.2501,1.79,,,,4.33,1.79,10.27,4.18
23.5,2.15,,,,3.86,2.15,10.71,4.35
23.501,2.75,,,,4.77,2.75,11.25,4.31
23.75,3.13,,,,5.99,3.13,11.67,4.13
23.7501,3.42,,,,7.68,3.42,11.46,4.38
24,3.23,,,,8.48,3.23,11.37,5.11
24.01,4.14,,,,9.49,4.14,11.32,6.5
24.25,5.51,,,,10.55,5.51,11.23,8.58
24.2501,5.55,,,,11.36,5.55,10.96,9.61
24.5,5.09,,,,12.21,5.09,11.04,9.89
24.501,5.07,,,,12.82,5.07,11.06,9.91
24.75,5.95,,,,12.41,5.95,10.06,10.35
24.7501,7.55,,,,12.32,7.55,8.97,9.69
25,8.95,,,,12.49,8.95,8.53,9.4
25.01,9.79,,,,12.71,9.79,8.35,8.7
25.25,10.77,,,,12.58,10.77,7.67,8.46
25.2501,10.89,,,,13.72,10.89,7.33,10.91
25.5,10.59,,,,13.84,10.59,7.6,6.86
25.501,10.27,,,,13.57,10.27,7.54,3.93
25.75,9.73,,,,13.43,9.73,7.57,4.42
25.7501,9.54,,,,13.08,9.54,7.74,3.61
26,9.15,,,,12.55,9.15,8.01,2.81
26.01,8.89,,,,11.56,8.89,8.32,2.2
26.25,9.02,,,,10.71,9.02,9.56,1.99
26.2501,9.14,,,,9.96,9.14,10.17,2.81
26.5,9.06,,,,9.29,9.06,10.91,4.07
26.501,8.76,,,,9.04,8.76,11.43,4.68
26.75,8.54,,,,9.33,8.54,11.51,4.81
26.7501,6.68,,,,9.47,6.68,11.11,5.12
27,5.11,,,,9.74,5.11,11.02,5.52
27.01,4.93,,,,10,4.93,11.41,6.35
27.25,5.77,,,,10.2,5.77,11.65,8.16
27.2501,6.66,,,,10.64,6.66,11.31,9.6
27.5,6.54,,,,11.28,6.54,11.15,10.11
27.501,5.76,,,,10.93,5.76,11.13,10.47
27.75,5.51,,,,10.44,5.51,10.83,10.38
27.7501,5.63,,,,9.69,5.63,9.37,10.45
28,6.89,,,,9.41,6.89,8.02,10.63
28.01,8.65,,,,9.64,8.65,8.02,10.71
28.25,10.14,,,,10.32,10.14,7.93,9.96
28.2501,10.6,,,,10.79,10.6,8.29,9.62
28.5,10.39,,,,10.57,10.39,9.21,4.68
28.501,10.08,,,,10.5,10.08,9.8,6.93
28.75,10.17,,,,10.64,10.17,9.9,6.25
28.7501,9.86,,,,10.72,9.86,9.75,4
29,9.11,,,,10.43,9.11,9.62,2.47
29.01,8.84,,,,9.98,8.84,9.82,1.23
29.25,8.45,,,,9.85,8.45,10.96,0.98
29.2501,5.88,,,,9.41,5.88,11.47,1.7
29.5,5.46,,,,8.13,5.46,11.78,3.06
29.501,5.3,,,,6.69,5.3,11.4,4.62
29.75,5.36,,,,6.3,5.36,11.93,5.1
29.7501,4.64,,,,6.52,4.64,12.08,5.36
30,3.73,,,,6.57,3.73,12.2,5.52
30.01,4.11,,,,6.53,4.11,12.01,5.88
30.25,5.93,,,,7.33,5.93,11.94,7.14
30.2501,6.41,,,,8.1,6.41,11.71,8.36
30.5,6.22,,,,8.78,6.22,11.34,8.78
30.501,6.57,,,,8.95,6.57,11.04,8.53
30.75,7.66,,,,9.35,7.66,10.38,8.3
30.7501,7.91,,,,9.68,7.91,8.6,7.68
31,8.23,,,,9.42,8.23,7.99,7.18
31.01,9.07,,,,9.1,9.07,8.29,6.52
31.25,11.03,,,,9.38,11.03,8.67,6.29
31.2501,12.28,,,,11.07,12.28,9.48,8.13
31.5,13.06,,,,11.34,13.06,9.93,7.38
31.501,13.06,,,,11.18,13.06,9.72,6.58
31.75,12.18,,,,10.7,12.18,9.51,7.19
31.7501,11.11,,,,8.71,11.11,9.41,3.47
32,10.6,,,,7.5,10.6,8.96,2.18
32.01,10.85,,,,7.32,10.85,8.56,1.59
32.25,11.2,,,,6.88,11.2,9.68,1.13
32.2501,11.43,,,,6.46,11.43,10.24,2.13
32.5,12.43,,,,6.23,12.43,10.29,4.37
32.501,12.16,,,,6.12,12.16,10.19,5.07
32.75,10.81,,,,6.31,10.81,10.99,4.35
32.7501,9.4,,,,6.57,9.4,11.23,3.78
33,9.01,,,,6.92,9.01,11.31,4
33.01,8.72,,,,7.28,8.72,11.24,4.58
