time,p:1,q :1,timeStamp,CorrectP
0.058,-1350230.239,-425151.904,7.251,340687.4334
0.059,-654086.4249,-4531845.195,7.5,311420.0273
0.06,119277.3004,-4603584.711,7.501,310808.4562
0.061,866524.7638,-4459770.372,7.75,173671.9615
0.062,1490274.002,-4123431.011,7.751,173471.6252
0.063,1911793.057,-3642544.762,8,343041.0059
0.064,2080929.285,-3083139.884,8.01,352781.3642
0.065,1982029.923,-2520160.312,8.25,590040.0555
0.066,1635170.349,-2027354.19,8.251,592066.8775
0.067,1092641.706,-1667544.965,8.5,1288783.143
0.068,431275.8332,-1484563.699,8.501,1290798.989
0.069,-258279.6668,-1497873.026,8.75,1303637.573
0.07,-883848.2332,-1700534.178,8.751,1302893.375
0.071,-1363915.131,-2060711.854,9,1405328.88
0.072,-1638117.176,-2526439.437,9.01,1416818.051
0.073,-1674689.525,-3032941.894,9.25,1468459.061
0.074,-1473961.388,-3511490.829,9.251,1467763.474
0.075,-1067535.427,-3898586.009,9.5,1554035.177
0.076,-513363.5714,-4144241.01,9.501,1555202.965
0.077,112532.1584,-4218296.186,9.75,1511484.479
0.078,726520.9731,-4113967.137,9.751,1509816.831
0.079,1248574.608,-3848220.457,10,557709.2558
0.08,1612732.18,-3458997.768,10.01,513295.4082
0.081,1775456.824,-2999725.972,10.25,137228.3481
0.082,1720833.261,-2531901.133,10.251,137426.2157
0.083,1461997.439,-2116770.769,10.5,88403.73345
0.084,1038700.956,-1807235.589,10.501,87586.16585
0.085,511425.0301,-1641037.383,10.75,1514.177021
0.086,-47096.33316,-1636105.588,10.751,2044.929769
0.087,-561763.4781,-1788629.801,11,215705.7811
0.088,-965070.7278,-2074052.187,11.01,221298.1326
0.089,-1205823.523,-2450783.076,11.25,330652.9168
0.09,-1255493.785,-2866087.176,11.251,331937.0023
0.091,-1111432.717,-3263312.855,11.5,1017334.769
0.092,-796593.5283,-3589477.604,11.501,1022873.478
0.093,-355885.1212,-3802197.585,11.75,1219083.066
0.094,150280.9227,-3875058.518,11.751,1218329.454
0.095,654331.2779,-3800751.761,12,1310982.162
0.096,1090614.238,-3591610.59,12.01,1323033.894
0.097,1404009.835,-3277534.259,12.25,1377371.884
0.098,1556942.847,-2901633.735,12.251,1376138.436
0.099,1533912.613,-2514227.163,12.5,991628.5295
0.1,1343002.456,-2166017.38,12.501,990643.0036
0.101,1014243.316,-1901373.201,12.75,990355.2621
0.102,595122.0331,-1752601.188,12.751,990809.7442
0.103,143896.6312,-1735943.597,13,100209.5771
0.104,-278345.815,-1849793.172,13.01,38561.9055
0.105,-615812.5725,-2075310.654,13.25,-462414.7262
0.106,-825233.861,-2379309.035,13.251,-460778.908
0.107,-881265.2142,-2718971.607,13.5,-28034.22903
0.108,-779395.4769,-3047737.87,13.501,-27764.31464
0.109,-536037.3838,-3321551.711,13.75,-262526.6095
0.11,-185856.9697,-3504636.374,13.751,-263607.4167
0.111,223239.2314,-3574042.196,14,-247830.3399
0.112,636741.5478,-3522392.662,14.01,-239065.0414
0.113,1000884.588,-3358506.031,14.25,93718.82092
0.114,1269718.705,-3105858.586,14.251,96322.4293
0.115,1410979.72,-2799142.302,14.5,864402.6795
0.116,1410012,-2479416.334,14.501,866631.0291
0.117,1271274.679,-2188526.521,14.75,1062586.786
0.118,1017290.898,-1963548.468,14.751,1062708.332
0.119,685240.526,-1831989.278,15,895010.1982
0.12,321702.698,-1808365.676,15.01,883775.5305
0.121,-23713.77663,-1892579.93,15.25,850594.3551
0.122,-304985.3066,-2070267.44,15.251,851949.8614
0.123,-485655.5336,-2315024.971,15.5,1438561.24
0.124,-543411.0071,-2592181.643,15.501,1440410.061
0.125,-472681.2186,-2863578.269,15.75,1337186.427
0.126,-284967.9759,-3092699.205,15.751,1335108.064
0.127,-6915.63652,-3249469.065,16,237895.5226
0.128,323568.6775,-3314086.681,16.01,189504.561
0.129,662586.1122,-3279410.539,16.25,-75764.51151
0.13,966179.6542,-3151612.979,16.251,-74606.94206
0.131,1196131.793,-2949056.342,16.5,-8725.061663
0.132,1324865.052,-2699580.904,16.501,-9693.56202
0.133,1338820.889,-2436600.487,16.75,-164805.0216
0.134,1239908.208,-2194550.321,16.751,-164382.7379
0.135,1044877.204,-2004304.878,17,230110.0859
0.136,782751.3092,-1889173.009,17.01,249300.7341
0.137,490702.8936,-1861987.183,17.25,637266.5942
0.138,208954.2315,-1923646.863,17.251,639113.6534
0.139,-24600.28035,-2063275.254,17.5,1083765.001
0.14,-179334.7795,-2259931.51,17.501,1084952.03
0.141,-235754.5628,-2485615.848,17.75,1144886.123
0.142,-187797.4368,-2709139.929,17.751,1144584.28
0.143,-43308.11608,-2900330.027,18,1175176.883
0.144,177332.6779,-3033998.658,18.01,1181263.608
0.145,444199.002,-3093163.959,18.25,1213533.047
0.146,721996.7931,-3071107.777,18.251,1212998.2
0.147,974847.7758,-2972026.771,18.5,989246.191
0.148,1171034.657,-2810222.976,18.501,988411.006
0.149,1287082.809,-2607975.055,18.75,898868.1383
0.15,1310656.242,-2392402.937,18.751,898895.6057
0.151,1241914.671,-2191764.544,19,567614.3677
0.152,1093189.96,-2031688.237,19.01,549217.9865
0.153,887065.2761,-1931841.261,19.25,592744.3194
0.154,653148.9178,-1903465.089,19.251,594110.7177
0.155,423999.841,-1948083.701,19.5,615589.8399
0.156,230762.7001,-2057528.476,19.501,614170.2694
0.157,99095.02806,-2215245.766,19.75,239608.8874
0.158,45916.55046,-2398684.19,19.751,238891.8326
0.159,77389.38844,-2582420.451,20,497797.8422
0.16,188365.7071,-2741592.548,20.01,517776.0759
0.161,363340.1397,-2855178.525,20.25,826596.6919
0.162,578744.9912,-2908690.085,20.251,827342.6641
0.163,806253.073,-2895937.942,20.5,1195134.447
0.164,1016628.258,-2819656.791,20.501,1196912.786
0.165,1183602.732,-2690933.879,20.75,1274440.159
0.166,1287269.002,-2527544.967,20.751,1273252.272
0.167,1316551.094,-2351443.771,21,1067273.721
0.168,1270451.332,-2185757.295,21.01,1063604.771
0.169,1157937.917,-2051696.505,21.25,1165650.094
0.17,996521.019,-1965793.366,21.251,1165745.135
0.171,809736.8976,-1937822.308,21.5,1365139.664
0.172,623898.247,-1969665.183,21.501,1365917.295
0.173,464557.0602,-2055247.789,21.75,1205897.994
0.174,353153.4075,-2181531.201,21.751,1203988.057
0.175,304287.551,-2330401.914,22,333948.2488
0.176,323960.0318,-2481189.426,22.01,300138.7067
0.177,408988.3867,-2613463.169,22.25,165300.3876
0.178,547648.9393,-2709731.805,22.251,165814.0473
0.179,721429.3984,-2757689.685,22.5,66993.49337
0.18,907634.2725,-2751723.625,22.501,65853.56118
0.181,1082478.894,-2693497.87,22.75,-70295.92686
0.182,1224252.214,-2591561.62,22.751,-69993.65502
0.183,1316129.618,-2460054.227,23,167027.361
0.184,1348273.294,-2316700.965,23.01,176310.3275
0.185,1318960.405,-2180381.573,23.25,426717.4806
0.186,1234613.809,-2068603.637,23.251,428952.4263
0.187,1108757.844,-1995217.547,23.5,1109493.089
0.188,960062.8901,-1968669.753,23.501,1111268.534
0.189,809758.6311,-1991012.788,23.75,1067661.999
0.19,678772.4209,-2057785.138,23.751,1066542.762
0.191,584976.7705,-2158756.295,24,1022404.476
0.192,540906.2955,-2279417.854,24.01,1030193.61
0.193,552233.832,-2403005.613,24.25,1145703.96
0.194,617188.3068,-2512772.356,24.251,1145326.089
0.195,726968.3413,-2594204.437,24.5,990458.424
0.196,867072.9561,-2636889.966,24.501,990313.4973
0.197,1019351.705,-2635799.501,24.75,1147983.383
0.198,1164486.474,-2591823.624,24.751,1148810.765
0.199,1284567.213,-2511513.946,25,718888.8708
0.2,1365419.661,-2406080.868,25.01,691335.0109
0.201,1398384.846,-2289798.832,25.25,730468.5152
0.202,1381326.778,-2178043.528,25.251,732160.7744
0.203,1318755.501,-2085230.28,25.5,711850.9739
0.204,1221072.142,-2022929.298,25.501,709957.7348
0.205,1103054.614,-1998402.216,25.75,329272.9329
0.206,981802.7716,-2013743.834,25.751,329006.118
0.207,874427.1006,-2065728.204,26,552363.4573
0.208,795791.9421,-2146362.62,26.01,563757.0458
0.209,756609.5421,-2244059.332,26.25,680355.9853
0.21,762127.7837,-2345255.117,26.251,680470.2983
0.211,811570.2857,-2436253.66,26.5,879448.1912
0.212,898384.5019,-2505041.492,26.501,881044.6229
0.213,1011245.549,-2542837.715,26.75,1321856.95
0.214,1135665.098,-2545178.714,26.751,1323325.986
0.215,1255978.524,-2512405.38,27,1344855.095
0.216,1357439.083,-2449502.719,27.01,1336771.071
0.217,1428140.377,-2365328.629,27.25,1278228.505
0.218,1460517.711,-2271348.63,27.251,1278656.268
0.219,1452240.551,-2180055.925,27.5,1419278.505
0.22,1406393.106,-2103293.432,27.501,1419840.455
0.221,1330936.474,-2050702.216,27.75,1545635.63
0.222,1237540.646,-2028498.582,27.751,1545860.833
0.223,1139955.67,-2038733.744,28,910091.5947
0.224,1052147.93,-2079122.427,28.01,871425.8092
0.225,986453.0014,-2143449.432,28.25,625599.6153
0.226,951988.2844,-2222486.48,28.251,626460.6144
0.227,953528.4569,-2305285.745,28.5,619410.7314
0.228,990980.848,-2380669.85,28.501,617978.3224
0.229,1059515.399,-2438716.379,28.75,218078.7238
0.23,1150316.236,-2472040.573,28.751,217268.1641
0.231,1251840.688,-2476711.29,29,598356.3626
0.232,1351407.447,-2452687.845,29.01,626058.586
0.233,1436896.446,-2403731.504,29.25,1073779
0.234,1498333.589,-2336816.027,29.251,1075113.181
0.235,1529154.11,-2261127.41,29.5,1412407.679
0.236,1526985.743,-2186795.1,29.501,1413500.398
0.237,1493860.033,-2123529.067,29.75,1375296.592
0.238,1435837.76,-2079345.309,29.751,1373735.08
0.239,1362112.068,-2059546.271,30,1007341.697
0.24,1283720.211,-2066084.862,30.01,1002943.089
0.241,1212043.291,-2097386.965,30.25,1137093.447
0.242,1157296.959,-2148644.825,30.251,1137920.023
0.243,1127212.362,-2212531.134,30.5,1227946.586
0.244,1126076.658,-2280229.19,30.501,1227917.667
0.245,1154250.954,-2342635.196,30.75,1098107.656
0.246,1208217.671,-2391569.453,30.751,1096641.922
0.247,1281138.276,-2420835.989,31,810548.1931
0.248,1363835.484,-2426994.088,31.01,810612.5741
0.249,1446060.112,-2409746.625,31.25,841825.2719
0.25,1517868.642,-2371903.134,31.251,840776.3768
0.251,1570927.111,-2318932.827,31.5,293138.0705
0.252,1599571.188,-2258176.657,31.501,291023.2409
0.253,1601488.508,-2197830.943,31.75,177550.931
0.254,1577942.435,-2145842.547,31.751,178150.6822
0.255,1533518.845,-2108863.852,32,328012.2889
0.256,1475440.862,-2091404.312,32.01,330758.637
0.257,1412552.4,-2095286,32.25,459075.5662
0.258,1354112.548,-2119467.763,32.251,460695.9975
0.259,1308564.408,-2160252.311,32.5,1126871.335
0.26,1282441.345,-2211839.561,32.501,1129210.064
0.261,1279551.57,-2267144.642,32.75,1227760.491
0.262,1300541.862,-2318765.971,32.751,1226668.326
0.263,1342888.775,-2359971.691,33,1076615.55
0.264,1401308.154,-2385573.577,33.01,1081066.16
0.265,1468518.81,-2392575.543,33.25,1247575.203
0.266,1536251.083,-2380516.488,33.251,1247839.89
0.267,1596361.352,-2351469.554,33.5,1367565.062
0.268,1641902.928,-2309706.309,33.501,1368346.241
0.269,1668013.184,-2261078.404,33.75,1459156.07
0.27,1672504.347,-2212205.373,33.751,1458926.257
0.271,1656087.23,-2169580.696,34,486281.0351
0.272,1622207.283,-2138716.289,34.01,427739.4441
0.273,1576523.965,-2123437.614,34.25,-24852.32311
0.274,1526110.743,-2125418.894,34.251,-23659.99686
0.275,1478487.985,-2144014.058,34.5,81330.16981
0.276,1440620.329,-2176398.557,34.501,80175.86836
0.277,1418011.63,-2217995.724,34.75,-208360.4122
0.278,1414014.46,-2263124.405,34.751,-208671.5553
0.279,1429440.049,-2305776.839,35,-30888.11054
0.28,1462512.819,-2340420.758,35.01,-19096.09905
0.281,1509167.169,-2362719.096,35.25,407519.5764
0.282,1563639.076,-2370074.127,35.251,410638.1568
0.283,1619267.377,-2361928.418,35.5,1149648.551
0.284,1669393.955,-2339788.721,35.501,1151155.12
0.285,1708241.727,-2306976.42,35.75,1228525.585
0.286,1731655.181,-2268144.223,35.751,1228655.632
0.287,1737609.122,-2228628.674,36,1310285.653
0.288,1726424.158,-2193728.096,36.01,1311316.087
0.289,1700667.592,-2168003.206,36.25,1284570.825
0.29,1664760.432,-2154692.282,36.251,1284843.013
0.291,1624349.436,-2155315.375,36.5,1458168.512
0.292,1585532.73,-2169515.255,36.501,1458679.171
0.293,1554044.643,-2195150.328,36.75,1295108.608
0.294,1534508.27,-2228621.116,36.751,1293446.938
0.295,1529852.679,-2265381.434,37,578971.4527
0.296,1540967.655,-2300562.217,37.01,551522.0542
0.297,1566635.731,-2329622.787,37.25,403703.6843
0.298,1603743.789,-2348942.833,37.251,403804.7404
0.299,1647739.523,-2356278.306,37.5,218820.3538
0.3,1693266.652,-2351024.303,37.501,217510.4566
0.301,1734893.739,-2334256.779,37.75,75697.28839
0.302,1767829.843,-2308547.519,37.751,73745.55354
0.303,1788538.154,-2277586.269,38,314101.1683
0.304,1795174.873,-2245667.784,38.01,326796.0493
0.305,1787791.363,-2217109.561,38.25,609500.6011
0.306,1768281.466,-2195680.787,38.251,611093.0217
0.307,1740087.11,-2184117.684,38.5,1081845.299
0.308,1707706.884,-2183787.157,38.501,1083210.391
0.309,1676077.167,-2194539.562,38.75,1132264.363
0.31,1649910.51,-2214765.434,38.751,1132045.954
0.311,1633079.566,-2241643.691,39,1145415.511
0.312,1628126.705,-2271543.853,39.01,1148585.219
0.313,1635960.954,-2300525.381,39.25,1258319.984
0.314,1655777.671,-2324865.776,39.251,1258869.022
0.315,1685206.18,-2341546.979,39.5,1524708.578
0.316,1720660.349,-2348636.828,39.501,1525926.944
0.317,1757840.973,-2345517.736,39.75,1584041.583
0.318,1792320.035,-2332936.119,39.751,1583364.531
0.319,1820127.795,-2312870.444,40,852727.4761
0.32,1838265.224,-2288239.751,40.01,812413.1492
0.321,1845076.005,-2262495.064,40.25,463433.1191
0.322,1840432.45,-2239150.522,40.251,463975.1959
0.323,1825715.308,-2221317.64,40.5,279857.1146
0.324,1803595.137,-2211304.122,40.501,277761.4342
0.325,1777648.872,-2210328.649,40.75,-15928.47223
0.326,1751866.143,-2218386.457,40.751,-15725.659
0.327,1730113.139,-2234279.794,41,279892.2965
0.328,1715625.725,-2255805.191,41.01,292574.204
0.329,1710597.985,-2280068.986,41.25,583927.4619
0.33,1715918.106,-2303886.298,41.251,586063.0111
0.331,1731082.897,-2324208.719,41.5,1306491
0.332,1754297.866,-2338523.524,41.501,1308638.327
0.333,1782745.174,-2345172.396,41.75,1342352.989
0.334,1812980.054,-2343549.509,41.751,1341628.769
0.335,1841400.311,-2334155.792,42,1370505.184
0.336,1864725.205,-2318505.707,42.01,1378897.942
0.337,1880420.335,-2298902.469,42.25,1445857.156
0.338,1887013.814,-2278114.609,42.251,1445167.762
0.339,1884264.644,-2258999.004,42.5,1177418.198
0.34,1873164.691,-2244121.446,42.501,1176601.881
0.341,1855778.024,-2235424.925,42.75,1285958.057
0.342,1834942.734,-2233988.245,42.751,1287609.914
0.343,1813877.916,-2239904.635,43,1032459.766
0.344,1795749.912,-2252293.457,43.01,998563.4367
0.345,1783256.033,-2269440.208,43.25,352579.3792
0.346,1778280.218,-2289043.204,43.251,350493.9157
0.347,1781664.307,-2308531.764,43.5,-37183.08778
0.348,1793122.284,-2325412.14,43.501,-38067.82207
0.349,1811305.346,-2337594.845,43.75,-60737.51554
0.35,1834005.549,-2343660.613,43.751,-60459.35753
0.351,1858467.829,-2343031.382,44,-7699.976056
0.352,1881766.612,-2336026.04,44.01,-6616.335774
0.353,1901195.792,-2323796.41,44.25,280416.9095
0.354,1914620.304,-2308154.829,44.251,283772.1098
0.355,1920743.885,-2291318.754,44.5,1306800.693
0.356,1919259.712,-2275608.126,44.501,1309498.234
0.357,1910866.909,-2263136.593,44.75,1291462.555
0.358,1897153.99,-2255537.503,44.751,1289760.026
0.359,1880367.835,-2253759.983,45,1193032.538
0.36,1863101.437,-2257960.312,45.01,1205166.155
0.361,1847943.574,-2267500.589,45.25,1397391.565
0.362,1837137.527,-2281052.267,45.251,1396883.523
0.363,1832293.63,-2296788.322,45.5,1515977.93
0.364,1834192.261,-2312636.528,45.501,1517698.836
0.365,1842701.064,-2326558.917,45.75,1739739.549
0.366,1856814.541,-2336819.912,45.751,1739286.384
0.367,1874807.839,-2342207.992,46,680921.7161
0.368,1894481.682,-2342182.8,46.01,615701.3851
0.369,1913463.92,-2336930.068,46.25,-107318.0204
0.37,1929526.586,-2327319.386,46.251,-106885.4912
0.371,1940876.241,-2314772.744,46.5,-19140.75581
0.372,1946379.987,-2301063.375,46.501,-20076.55719
0.373,1945698.879,-2288073.163,46.75,-295590.2253
0.374,1939313.412,-2277541.614,46.751,-296042.5202
0.375,1928440.314,-2270839.741,47,-194912.5574
0.376,1914854.262,-2268798.089,47.01,-188130.3436
0.377,1900640.347,-2271610.267,47.25,63688.55297
0.378,1887911.591,-2278822.881,47.251,66103.38396
0.379,1878529.63,-2289411.091,47.5,1012753.682
0.38,1873865.325,-2301927.733,47.501,1016212.177
0.381,1874629.893,-2314704.543,47.75,1346403.754
0.382,1880797.123,-2326077.654,47.751,1346325.411
0.383,1891624.733,-2334607.019,48,1311473.787
0.384,1905769.636,-2339260.964,48.01,1314045.476
0.385,1921479.659,-2339542.362,48.25,1386372.432
0.386,1936834.546,-2335541.201,48.251,1386311.42
0.387,1950003.304,-2327908.408,48.5,1297828.832
0.388,1959483.53,-2317756.297,48.501,1297439.853
0.389,1964291.602,-2306500.573,48.75,1175769.579
0.39,1964079.849,-2295666.142,48.751,1174732.891
0.391,1959167.01,-2286683.25,49,175136.0877
0.392,1950480.073,-2280701.062,49.01,123934.3793
0.393,1939417.3,-2278442.863,49.25,-135588.4066
0.394,1927652.436,-2280120.968,49.251,-133875.8146
0.395,1916907.32,-2285421.104,49.5,38372.54127
0.396,1908723.676,-2293556.652,49.501,37329.39202
0.397,1904264.181,-2303383.88,49.75,-276031.7124
0.398,1904168.352,-2313561.493,49.751,-276542.1396
0.399,1908480.907,-2322732.363,50,-125351.8622
0.4,1916660.32,-2329702.939,,1916660.32
0.401,1927664.633,-2333596.844,,1927664.633
0.402,1940100.886,-2333962.647,,1940100.886
0.403,1952417.198,-2330822.983,,1952417.198
0.404,1963111.458,-2324660.176,,1963111.458
0.405,1970928.242,-2316341.443,,1970928.242
0.406,197518.415,-2306995.145,,197518.415
0.407,1975041.288,-2297855.594,,1975041.288
0.408,1971197.248,-2290097.656,,1971197.248
0.409,1964188.235,-2284683.203,,1964188.235
0.41,1955113.041,-2282239.396,,1955113.041
0.411,1945312.806,-2282984.058,,1945312.806
0.412,1936188.299,-2286706.855,,1936188.299
0.413,1929013.771,-2292807.412,,1929013.771
0.414,1924772.003,-2300383.94,,1924772.003
0.415,1924031.785,-2308359.48,,1924031.785
0.416,1926882.97,-2315628.184,,1926882.97
0.417,1932936.258,-2321201.867,,1932936.258
0.418,1941386.176,-2324337.484,,1941386.176
0.419,1951127.415,-2324629.188,,1951127.415
0.42,1960907.883,-2322053.681,,1960907.883
0.421,1969497.416,-2316964.022,,1969497.416
0.422,1975849.493,-2310033.934,,1975849.493
0.423,1979234.818,-2302161.185,,1979234.818
0.424,1979329.836,-2294343.753,,1979329.836
0.425,1976249.581,-2287545.778,,1976249.581
0.426,1970521.897,-2282571.217,,1970521.897
0.427,1963007.845,-2279961.692,,1963007.845
0.428,1954780.089,-2279931.395,,1954780.089
0.429,1946976.333,-2282346.753,,1946976.333
0.43,1940647.73,-2286752.453,,1940647.73
0.431,1936622.381,-2292439.253,,1936622.381
0.432,1935401.558,-2298543.653,,1935401.558
0.433,1937101.546,-2304165.492,,1937101.546
0.434,1941447.663,-2308487.535,,1941447.663
0.435,1947819.989,-2310881.242,,1947819.989
0.436,1955343.506,-2310985.085,,1955343.506
0.437,1963009.704,-2308745.777,,1963009.704
0.438,1969812.83,-2304417.844,,1969812.83
0.439,1974882.487,-2298522.628,,1974882.487
0.44,1977595.149,-2291773.096,,1977595.149
0.441,1977650.428,-2284975.196,,1977650.428
0.442,1975102.873,-2278919.334,,1975102.873
0.443,1970346.192,-2274276.527,,1970346.192
0.444,1964053.129,-2271512.8,,1964053.129
0.445,1957079.998,-2270832.681,,1957079.998
0.446,1950349.329,-2272158.54,,1950349.329
0.447,1944726.624,-2275147.629,,1944726.624
0.448,1940907.618,-2279243.667,,1940907.618
0.449,1939330.674,-2283755.342,,1939330.674
0.45,1940125.225,-2287950.713,,1940125.225
0.451,1943102.225,-2291154.704,,1943102.225
0.452,1947786.814,-2292836.742,,1947786.814
0.453,1953487.9,-2292677.233,,1953487.9
0.454,1959394.548,-2290604.619,,1959394.548
0.455,1964685.859,-2286798.837,,1964685.859
0.456,1968639.479,-2281661.539,,1968639.479
0.457,1970724.491,-2275757.797,,1970724.491
0.458,1970666.809,-2269737.669,,1970666.809
0.459,1968479.11,-2264248.446,,1968479.11
0.46,1964452.231,-2259849.383,,1964452.231
0.461,1959110.084,-2256940.084,,1959110.084
0.462,1953134.937,-2255711.666,,1953134.937
0.463,1947273.614,-2256126.579,,1947273.614
0.464,1942237.466,-2257929.062,,1942237.466
0.465,1938609.435,-2260684.115,,1938609.435
0.466,1936770.315,-2263839.161,,1936770.315
0.467,1936853.454,-2266799.731,,1936853.454
0.468,1938733.184,-2269008.844,,1938733.184
0.469,1942047.7,-2270019.543,,1942047.7
0.47,1946252.508,-2269551.177,,1946252.508
0.471,1950696.682,-2267522.411,,1950696.682
0.472,1954711.303,-2264057.16,,1954711.303
0.473,1957698.121,-2259463.326,,1957698.121
0.474,1959206.758,-2254187.797,,1959206.758
0.475,1958990.526,-2248754.194,,1958990.526
0.476,1957034.038,-2243692.013,,1957034.038
0.477,1953549.646,-2239466.679,,1953549.646
0.478,1948943.927,-2236419.743,,1948943.927
0.479,1943759.374,-2234726.829,,1943759.374
0.48,1938599.578,-2234378.478,,1938599.578
0.481,1934048.158,-2235185.837,,1934048.158
0.482,1930592.305,-2236809.87,,1930592.305
0.483,1928560.882,-2238809.658,,1928560.882
0.484,1928084.915,-2240702.974,,1928084.915
0.485,1929085.127,-2242030.849,,1929085.127
0.486,1931287.507,-2242417.523,,1931287.507
0.487,1934264.184,-2241617.991,,1934264.184
0.488,1937493.595,-2239547.168,,1937493.595
0.489,1940431.558,-2236287.283,,1940431.558
0.49,1942583.593,-2232073.035,,1942583.593
0.491,1943568.943,-2227257.006,,1943568.943
0.492,1943168.04,-2222260.375,,1943168.04
0.493,1941347.567,-2217515.758,,1941347.567
0.494,1938260.346,-2213409.922,,1938260.346
0.495,1934220.689,-2210233.907,,1934220.689
0.496,1929659.04,-2208146.967,,1929659.04
0.497,1925062.413,-2207158.74,,1925062.413
0.498,1920908.81,-2207131.572,,1920908.81
0.499,1917604.413,-2207802.194,,1917604.413
0.5,1915431.781,-2208819.441,,1915431.781
0.501,1914515.767,-2209792.773,,1914515.767
0.502,1914810.755,-2210344.588,,1914810.755
0.503,1916110.661,-2210159.588,,1916110.661
0.504,1918080.18,-2209024.987,,1918080.18
0.505,1920302.15,-2206856.115,,1920302.15
0.506,1922334.563,-2203704.519,,1922334.563
0.507,1923769.469,-2199747.924,,1923769.469
0.508,1924285.96,-2195263.8,,1924285.96
0.509,1923690.385,-2190590.415,,1923690.385
0.51,1921938.822,-2186080.804,,1921938.822
0.511,1919139.241,-2182055.898,,1919139.241
0.512,1915533.6,-2178763,,1915533.6
0.513,1911462.696,-2176344.96,,1911462.696
0.514,1907318.84,-2174823.853,,1907318.84
0.515,1903492.881,-2174100.969,,1903492.881
0.516,1900322.714,-2173972.715,,1900322.714
0.517,1898050.016,-2174159.968,,1898050.016
0.518,1896790.718,-2174346.674,,1896790.718
0.519,1896522.783,-2174222.403,,1896522.783
0.52,1897092.465,-2173523.136,,1897092.465
0.521,1898237.791,-2172064.966,,1898237.791
0.522,1899625.746,-2169766.434,,1899625.746
0.523,1900897.919,-2166656.833,,1900897.919
0.524,1901718.394,-2162869.714,,1901718.394
0.525,1901817.516,-2158622.805,,1901817.516
0.526,1901025.853,-2154187.321,,1901025.853
0.527,1899294.115,-2149850.955,,1899294.115
0.528,1896696.756,-2145879.575,,1896696.756
0.529,1893419.16,-2142482.722,,1893419.16
0.53,1889730.514,-2139787.344,,1889730.514
0.531,1885946.289,-2137823.053,,1885946.289
