time,p:1,q :1,timeStamp
0.294,674716.6585,-1603044.365,36.751
0.295,666344.1677,-1636657.649,37
0.296,673704.9865,-1669620.247,37.01
0.297,695595.2581,-1697042.738,37.25
0.298,728920.3012,-1714883.118,37.251
0.299,769148.5433,-1720460.199,37.5
0.3,810943.9311,-1712775.285,37.501
0.301,848891.3432,-1692604.682,37.75
0.302,878210.6556,-1662354.784,37.751
0.303,895369.685,-1625705.712,38
0.304,898521.8984,-1587096.133,38.01
0.305,887709.0323,-1551119.644,38.25
0.306,864809.7922,-1521914.974,38.251
0.307,833247.5556,-1502630.63,38.5
0.308,797501.4678,-1495032.85,38.501
0.309,762490.1703,-1499305.203,38.75
0.31,732912.5185,-1514061.739,38.751
0.311,712633.2707,-1536566.921,39
0.312,704193.6675,-1563128.415,39.01
0.313,708508.411,-1589606.854,39.25
0.314,724784.4846,-1611972.534,39.251
0.315,750667.1361,-1626834.493,39.5
0.316,782588.2683,-1631872.81,39.501
0.317,816266.3834,-1626119.367,39.75
0.318,847288.4801,-1610053.619,39.751
0.319,871695.182,-1585505.105,40
0.32,886491.8557,-1555380.141,40.01
0.321,890020.1135,-1523252.922,40.25
0.322,882144.0956,-1492878.189,40.251
0.323,864231.4586,-1467691.615,40.5
0.324,838936.5559,-1450364.1,40.501
0.325,809819.2003,-1442467.518,40.75
0.326,780853.2697,-1444293.339,40.751
0.327,755892.629,-1454844.454,41
0.328,738165.8314,-1471997.178,41.01
0.329,729865.5349,-1492808.025,41.25
0.33,731884.4815,-1513921.38,41.251
0.331,743729.2984,-1532021.887,41.5
0.332,763619.1783,-1544270.833,41.501
0.333,788751.9395,-1548669.324,41.75
0.334,815698.3227,-1544302.086,41.751
0.335,840869.4175,-1531432.553,42
0.336,860993.8059,-1511440.213,42.01
0.337,873541.2653,-1486612.228,42.25
0.338,877038.4539,-1459820.253,42.251
0.339,871237.5674,-1434127.825,42.5
0.34,857119.293,-1412381.741,42.501
0.341,836733.6907,-1396841.702,42.75
0.342,812903.9149,-1388896.17,42.751
0.343,788835.1751,-1388899.863,43
0.344,767682.8005,-1396151.437,43.01
0.345,752137.3593,-1409010.987,43.25
0.346,744081.1304,-1425138.539,43.251
0.347,744359.4976,-1441819.241,43.5
0.348,752694.6243,-1456330.289,43.501
0.349,767749.3418,-1466300.212,43.75
0.35,787329.1826,-1470013.314,43.751
0.351,808692.5657,-1466620.419,44
0.352,828925.606,-1456230.334,44.01
0.353,845330.5543,-1439872.804,44.25
0.354,855776.3133,-1419340.887,44.251
0.355,858965.7266,-1396936.406,44.5
0.356,854586.411,-1375154.329,44.501
0.357,843328.0688,-1356349.179,44.75
0.358,826767.2331,-1342427.859,44.751
0.359,807137.8633,-1334608.801,45
0.36,787020.8101,-1333277.601,45.01
0.361,768995.0702,-1337955.908,45.25
0.362,755297.7449,-1347384.97,45.251
0.363,747537.335,-1359710.107,45.5
0.364,746496.885,-1372739.398,45.501
0.365,752050.7558,-1384240.701,45.75
0.366,763203.2454,-1392236.945,45.751
0.367,778241.0094,-1395260.78,46
0.368,794976.4184,-1392535.983,46.01
0.369,811047.5578,-1384063.427,46.25
0.37,824233.9321,-1370602.54,46.251
0.371,832745.8615,-1353553.185,46.5
0.372,835450.0467,-1334755.896,46.501
0.373,832003.1033,-1316238.752,46.75
0.374,822877.6902,-1299945.523,46.751
0.375,809280.3921,-1287481.391,47
0.376,792974.8114,-1279909.343,47.01
0.377,776035.4969,-1277622.877,47.25
0.378,760566.8396,-1280310.003,47.251
0.379,748424.8524,-1287011.104,47.5
0.38,740978.455,-1296260.814,47.501
0.381,738940.7831,-1306293.208,47.75
0.382,742291.0704,-1315281.746,47.751
0.383,750295.2052,-1321581.529,48
0.384,761619.8583,-1323941.847,48.01
0.385,774522.8621,-1321661.723,48.25
0.386,787092.8832,-1314669.287,48.251
0.387,797505.5897,-1303516.33,48.5
0.388,804262.1298,-1289290.756,48.501
0.389,806378.9033,-1273460.448,48.75
0.39,803504.7817,-1257670.74,48.751
0.391,795952.0803,-1243523.302,49
0.392,784639.2894,-1232366.043,49.01
0.393,770955.2586,-1225121.443,49.25
0.394,756564.6498,-1222175.048,49.251
0.395,743181.7401,-1223337.394,49.5
0.396,732343.1694,-1227882.63,49.501
0.397,725209.6289,-1234656.932,49.75
0.398,722421.9378,-1242240.762,49.751
0.399,724029.1683,-1249142.293,50
0.4,729496.5498,-1253995.786,
0.401,737789.5833,-1255738.523,
0.402,747523.1137,-1253743.83,
0.403,757153.0406,-1247893.392,
0.404,765183.2394,-1238580.666,
0.405,770361.7098,-1226646.873,
0.406,771839.7722,-1213259.478,
0.407,769274.2153,-1199750.571,
0.408,762860.3077,-1187437.374,
0.409,753292.9991,-1177448.984,
0.41,741663.1694,-1170582.021,
0.411,729304.1842,-1167203.536,
0.412,717610.1971,-1167212.836,
0.413,707850.8448,-1170065.872,
0.414,701006.8607,-1174857.478,
0.415,697647.7743,-1180449.253,
0.416,697866.8058,-1185625.147,
0.417,701280.1516,-1189253.584,
0.418,707089.1935,-1190434.594,
0.419,714195.9003,-1188612.935,
0.42,721354.9128,-1183643.083,
0.421,727341.3671,-1175798.679,
0.422,731111.9425,-1165726.512,
0.423,731938.0609,-1154352.412,
0.424,729494.3483,-1142752.608,
0.425,723891.7788,-1132008.321,
0.426,715652.4725,-1123063.16,
0.427,705630.8867,-1116602.042,
0.428,694893.094,-1112967.083,
0.429,684571.0851,-1112120.665,
0.43,675711.914,-1113659.427,
0.431,669141.706,-1116876.117,
0.432,665362.1002,-1120860.025,
0.433,664491.9962,-1124621.839,
0.434,666261.1864,-1127225.895,
0.435,670055.456,-1127912.203,
0.436,675005.9527,-1126192.432,
0.437,680109.9673,-1121907.807,
0.438,684366.435,-1115242.199,
0.439,686907.9314,-1106689.756,
0.44,687111.8418,-1096982.408,
0.441,684676.5492,-1086987.772,
0.442,679653.4427,-1077591.595,
0.443,672431.5979,-1069580.616,
0.444,663678.298,-1063541.256,
0.445,654244.3106,-1059787.112,
0.446,645047.2679,-1058324.134,
0.447,636949.0597,-1058857.161,
0.448,630643.5532,-1060835.985,
0.449,626569.1956,-1063533.922,
0.45,624857.4209,-1066147.769,
0.451,625322.795,-1067905.464,
0.452,627495.1868,-1068167.084,
0.453,630688.701,-1066506.028,
0.454,634097.3918,-1062760.153,
0.455,636904.4853,-1057046.856,
0.456,638390.3776,-1049740.953,
0.457,638025.1992,-1041419.178,
0.458,635534.1111,-1032779.382,
0.459,630927.3857,-1024545.715,
0.46,624492.1586,-1017372.587,
0.461,616747.8713,-1011760.107,
0.462,608372.1598,-1007991.875,
0.463,600107.6822,-1006102.768,
0.464,592662.6317,-1005880.277,
0.465,586618.2113,-1006898.396,
0.466,582355.0994,-1008578.845,
0.467,580008.1451,-1010270.887,
0.468,579454.5806,-1011338.799,
0.469,580336.4923,-1011245.279,
0.47,582113.7561,-1009619.9,
0.471,584139.7158,-1006303.944,
0.472,585749.0738,-1001366.28,
0.473,586346.1062,-995088.8729,
0.474,585481.5623,-987924.5644,
0.475,582908.3818,-980433.3438,
0.476,578609.3963,-973206.0224,
0.477,572794.042,-966785.6643,
0.478,565865.2697,-961597.181,
0.479,558361.739,-957894.1692,
0.48,550883.5191,-955729.5868,
0.481,544011.4955,-954953.5608,
0.482,538231.2627,-955237.9705,
0.483,533871.431,-956123.9282,
0.484,531064.132,-957085.3571,
0.485,529732.3939,-957599.9058,
0.486,529605.3976,-957217.6817,
0.487,530258.9258,-955618.8008,
0.488,531175.0591,-952652.4363,
0.489,531812.7804,-948352.6646,
0.49,531679.9101,-942929.5725,
0.491,530396.8565,-936737.3871,
0.492,527743.9702,-930224.3771,
0.493,523686.6575,-923871.5571,
0.494,518375.4808,-918128.5412,
0.495,512121.8389,-913355.0619,
0.496,505353.0288,-909775.7254,
0.497,498553.1137,-907453.6473,
0.498,492197.741,-906285.9931,
0.499,486691.6528,-906021.4866,
0.5,482317.0631,-906297.0573,
0.501,479198.7995,-906688.2823,
0.502,477292.2578,-906766.86,
0.503,476394.0002,-906157.1583,
0.504,476171.8354,-904584.3675,
