time,p:1,timeStamp
0.945,111860.7969,
0.946,113654.3913,
0.947,115435.6898,
0.948,117203.709,
0.949,118956.9421,
0.95,120693.5599,
0.951,122411.6495,
0.952,124109.458,
0.953,125785.61,
0.954,127439.2704,
0.955,129070.2313,
0.956,130678.9156,
0.957,132266.2964,
0.958,133833.7467,
0.959,135382.8402,
0.96,136915.1301,
0.961,138431.9374,
0.962,139934.1737,
0.963,141422.2237,
0.964,142895.8998,
0.965,144354.4736,
0.966,145796.778,
0.967,147221.365,
0.968,148626.6975,
0.969,150011.3475,
0.97,151374.1757,
0.971,152714.4695,
0.972,154032.0207,
0.973,155327.1355,
0.974,156600.5767,
0.975,157853.4469,
0.976,159087.0306,
0.977,160302.6159,
0.978,161501.3201,
0.979,162683.943,
0.98,163850.8651,
0.981,165002.0043,
0.982,166136.8348,
0.983,167254.4637,
0.984,168353.7557,
0.985,169433.4853,
0.986,170492.4988,
0.987,171529.8625,
0.988,172544.9784,
0.989,173537.6535,
0.99,174508.114,
0.991,175456.9636,
0.992,176385.0946,
0.993,177293.5614,
0.994,178183.4378,
0.995,179055.674,
0.996,179910.9745,
0.997,180749.711,
0.998,181571.8819,
0.999,182377.1219,
1,183164.76,
1.001,183934.6881,
1.002,184686.6832,
1.003,185419.7623,
1.004,186133.0916,
1.005,186826.0938,
1.006,187498.5197,
1.007,188150.474,
1.008,188782.3949,
1.009,189394.9902,
1.01,189989.139,
1.011,190565.7742,
1.012,191125.7605,
1.013,191669.7846,
1.014,192198.2718,
1.015,192711.3392,
1.016,193208.7909,
1.017,193690.1549,
1.018,194154.7555,
1.019,194601.8111,
1.02,195030.5437,
1.021,195440.2856,
1.022,195830.5692,
1.023,196201.1879,
1.024,196552.2221,
1.025,196884.0259,
1.026,197197.1793,
1.027,197492.4112,
1.028,197770.5047,
1.029,198032.1984,
1.03,198278.0958,
1.031,198508.5945,
1.032,198723.845,
1.033,198923.7429,
1.034,199107.9555,
1.035,199275.9774,
1.036,199427.2084,
1.037,199561.0415,
1.038,199676.9501,
1.039,199774.5631,
1.04,199853.7169,
1.041,199914.4799,
1.042,199957.1451,
1.043,199982.1942,
1.044,199990.2371,
1.045,199981.9367,
1.046,199957.9286,
1.047,199918.7459,
1.048,199864.7606,
1.049,199796.1466,
1.05,199712.8706,
1.051,199614.711,
1.052,199501.3001,
1.053,199372.186,
1.054,199226.9036,
1.055,199065.0457,
1.056,198886.3251,
1.057,198690.6195,
1.058,198477.9936,
1.059,198248.6961,
1.06,198003.133,
1.061,197741.8202,
1.062,197465.3237,
1.063,197174.1943,
1.064,196868.9062,
1.065,196549.8071,
1.066,196217.0865,
1.067,195870.7661,
1.068,195510.7117,
1.069,195136.6665,
1.07,194748.2996,
1.071,194345.2627,
1.072,193927.2486,
1.073,193494.0425,
1.074,193045.5601,
1.075,192581.8676,
1.076,192103.1817,
1.077,191609.8496,
1.078,191102.3129,
1.079,190581.0588,
1.08,190046.5683,
1.081,189499.2654,
1.082,188939.475,
1.083,188367.3963,
1.084,187783.092,
1.085,187186.4966,
1.086,186577.4418,
1.087,185955.6943,
1.088,185321.0016,
1.089,184673.1394,
1.09,184011.9543,
1.091,183337.3959,
1.092,182649.5346,
1.093,181948.5638,
1.094,181234.785,
1.095,180508.5798,
1.096,179770.3715,
1.097,179020.5828,
1.098,178259.5943,
1.099,177487.7098,
1.1,176705.1325,
1.101,175919.5395,
1.102,175138.2224,
1.103,174360.4861,
1.104,173585.4101,
1.105,172811.9833,
1.106,172039.2477,
1.107,171266.4313,
1.108,170493.0529,
1.109,169718.9863,
1.11,168944.4762,
1.111,168170.1047,
1.112,167396.7135,
1.113,166625.2942,
1.114,165856.8619,
1.115,165092.3274,
1.116,164332.3875,
1.117,163577.4456,
1.118,162827.5726,
1.119,162082.513,
1.12,161341.7336,
1.121,160604.5076,
1.122,159870.0225,
1.123,159137.4958,
1.124,158406.2846,
1.125,157675.9741,
1.126,156946.4332,
1.127,156217.8318,
1.128,155490.6176,
1.129,154765.4574,
1.13,154043.1497,
1.131,153324.5234,
