time,p:1,q :1,timeStamp
0.308,561809.3221,-1415068.513,38.501
0.309,525803.2021,-1418455.962,38.75
0.31,495244.9491,-1432492.742,38.751
0.311,473997.3591,-1454488.738,39
0.312,464601.4474,-1480769.256,39.01
0.313,467973.4332,-1507182.889,39.25
0.314,483323.3321,-1529660.312,39.251
0.315,508300.5175,-1544749.101,39.5
0.316,539341.5481,-1550054.579,39.501
0.317,572169.4917,-1544530.766,39.75
0.318,602375.2226,-1528586.56,39.751
0.319,626002.0528,-1503997.514,40
0.32,640056.5194,-1473639.412,40.01
0.321,642879.7637,-1441083.008,40.25
0.322,634333.9091,-1410106.655,40.251
0.323,615783.3486,-1384193.049,40.5
0.324,589878.3836,-1366076.84,40.501
0.325,560174.5398,-1357401.586,40.75
0.326,530641.7479,-1358528.701,40.751
0.327,505130.7826,-1368520.029,41
0.328,486868.3579,-1385292.224,41.01
0.329,478046.7647,-1405918.544,41.25
0.33,479559.87,-1427034.763,41.251
0.331,490916.7415,-1445293.225,41.5
0.332,510339.9784,-1457803.989,41.501
0.333,535031.3023,-1462505.209,41.75
0.334,561565.3278,-1458415.534,41.751
0.335,586356.4763,-1445738.037,42
0.336,606135.6906,-1425805.455,42.01
0.337,618373.8449,-1400877.725,42.25
0.338,621597.3111,-1373821.995,42.251
0.339,615556.6826,-1347720.115,42.5
0.34,601229.9672,-1325457.077,42.501
0.341,580663.8451,-1309345.158,42.75
0.342,556677.8516,-1300832.474,42.751
0.343,532473.8209,-1300332.403,43
0.344,511204.3898,-1307193.509,43.01
0.345,495558.4567,-1319810.623,43.25
0.346,487417.8501,-1335859.08,43.251
0.347,487628.7521,-1352618.328,43.5
0.348,495915.2378,-1367340.1,43.501
0.349,510942.8831,-1377611.543,43.75
0.35,530520.4126,-1381665.528,43.751
0.351,551909.4494,-1378598.449,44
0.352,572198.8967,-1368468.977,44.01
0.353,588693.0151,-1352267.557,44.25
0.354,599261.6868,-1331763.724,44.251
0.355,602607.5946,-1309254.272,44.5
0.356,598417.0989,-1287247.852,44.501
0.357,587377.7368,-1268129.075,44.75
0.358,571063.2714,-1253846.947,44.751
0.359,551704.6634,-1245668.118,45
0.36,531879.9332,-1244025.976,45.01
0.361,514165.7806,-1248483.209,45.25
0.362,500797.8293,-1257810.086,45.251
0.363,493384.0917,-1270165.399,45.5
0.364,492708.1473,-1283353.774,45.501
0.365,498645.814,-1295123.593,45.75
0.366,510203.547,-1303465.289,45.751
0.367,525670.5491,-1306870.655,46
0.368,542861.776,-1304519.878,46.01
0.369,559417.585,-1296373.357,46.25
0.37,573119.14,-1283158.434,46.251
0.371,582177.5968,-1266255.287,46.5
0.372,585459.5706,-1247499.419,46.501
0.373,582620.6974,-1228928.786,46.75
0.374,574131.9077,-1212510.206,46.751
0.375,561197.5484,-1199881.646,47
0.376,545578.7757,-1192143.99,47.01
0.377,529347.8049,-1189728.579,47.25
0.378,514607.1026,-1192356.192,47.251
0.379,503211.4018,-1199090.715,47.5
0.38,496529.1291,-1208478.174,47.501
0.381,495273.7501,-1218750.768,47.75
0.382,499425.5748,-1228067.453,47.751
0.383,508252.1429,-1234758.491,48
0.384,520422.1077,-1237541.591,48.01
0.385,534195.3325,-1235681.839,48.25
0.386,547662.2843,-1229075.627,48.251
0.387,558999.9572,-1218249.337,48.5
0.388,566710.1786,-1204274.958,48.501
0.389,569809.297,-1188615.754,48.75
0.39,567945.4186,-1172923.988,48.751
0.391,561429.4886,-1158818.519,49
0.392,551178.2094,-1147672.091,49.01
0.393,538578.4614,-1140436.133,49.25
0.394,525293.01,-1137525.277,49.251
0.395,513034.5444,-1138775.421,49.5
0.396,503338.6154,-1143479.106,49.501
0.397,497365.4399,-1150491.722,49.75
0.398,495756.0106,-1158392.837,49.751
0.399,498560.1662,-1165680.074,50
0.4,505244.3637,-1170969.197,
0.401,514778.2723,-1173174.087,
0.402,525780.8912,-1171642.569,
0.403,536709.3328,-1166231.983,
0.404,546068.252,-1157316.189,
0.405,552605.8878,-1145723.981,
0.406,555473.2287,-1132618.969,
0.407,554326.2046,-1119338.151,
0.408,549358.8124,-1107211.461,
0.409,541264.4819,-1097386.536,
0.41,531132.5183,-1090681.693,
0.411,520294.8513,-1087485.827,
0.412,510144.5075,-1087717.333,
0.413,501950.429,-1090846.049,
0.414,496693.148,-1095973.834,
0.415,494942.4808,-1101961.766,
0.416,496792.3508,-1107586.068,
0.417,501859.9496,-1111701.519,
0.418,509347.786,-1113390.623,
0.419,518158.9142,-1112079.185,
0.42,527048.8575,-1107603.876,
0.421,534793.3003,-1100223.989,
0.422,540349.0546,-1090577.184,
0.423,542987.2349,-1079586.38,
0.424,542381.7553,-1068331.244,
0.425,538642.5608,-1057902.063,
0.426,532290.5527,-1049255.695,
0.427,524178.9281,-1043092.546,
0.428,515372.6066,-1039770.3,
0.429,507002.6626,-1039264.901,
0.43,500115.5641,-1041182.807,
0.431,495537.2265,-1044821.691,
0.432,493769.4494,-1049270.407,
0.433,494931.6076,-1053534.135,
0.434,498754.1874,-1056667.562,
0.435,504623.7646,-1057898.378,
0.436,511672.2421,-1056725.01,
0.437,518897.5087,-1052976.314,
0.438,525298.8425,-1046826.275,
0.439,530008.8466,-1038762.833,
0.44,532404.6023,-1029516.042,
0.441,532183.8856,-1019956.018,
0.442,529397.2437,-1010974.836,
0.443,524432.7727,-1003368.35,
0.444,517956.7502,-997733.5254,
0.445,510819.0243,-994394.439,
0.446,503936.489,-993366.0427,
0.447,498170.5457,-994359.5554,
0.448,494214.8548,-996827.7855,
0.449,492507.9308,-1000043.455,
0.45,493181.5056,-1003199.407,
0.451,496050.5992,-1005516.959,
0.452,500645.5988,-1006347.919,
0.453,506281.094,-1005256.959,
0.454,512151.5002,-1002073.947,
0.455,517440.2103,-996910.0542,
0.456,521427.5514,-990136.3835,
0.457,523583.3408,-982328.8157,
0.458,523632.2058,-974187.1704,
0.459,521583.7184,-966439.9465,
0.46,517724.2206,-959747.5543,
0.461,512572.3503,-954616.8367,
0.462,506805.0115,-951337.884,
0.463,501164.2706,-949950.9438,
0.464,496357.9165,-950247.0719,
0.465,492966.9548,-951801.6331,
0.466,491372.0646,-954035.4497,
0.467,491708.2575,-956294.8731,
0.468,493853.0335,-957939.7659,
0.469,497448.7835,-958427.6028,
0.47,501955.6526,-957382.6885,
0.471,506727.1545,-954641.7211,
0.472,511098.0139,-950270.2537,
0.473,514472.3548,-944548.5791,
0.474,516400.5982,-937929.6299,
0.475,516635.2014,-930975.1138,
0.476,515158.4009,-924278.8284,
0.477,512178.9817,-918387.5749,
0.478,508099.2479,-913730.1609,
0.479,503457.2749,-910563.6599,
0.48,498852.6577,-908943.6058,
0.481,494865.9476,-908721.4804,
0.482,491982.5546,-909569.1728,
0.483,490531.0431,-911026.5419,
0.484,490643.6071,-912565.2548,
0.485,492243.402,-913660.0947,
0.486,495059.7493,-913858.1535,
0.487,498668.5348,-912836.8336,
0.488,502551.8604,-910443.2775,
0.489,506168.6172,-906710.4658,
0.49,509026.4067,-901848.4216,
0.491,510745.294,-896212.273,
0.492,511105.1834,-890251.942,
0.493,510070.9651,-884450.5331,
0.494,507792.6581,-879259.8195,
0.495,504581.1351,-875041.4034,
0.496,500863.2235,-872021.1776,
0.497,497122.6047,-870262.7742,
0.498,493834.6495,-869663.0492,
0.499,491403.9295,-869969.672,
0.5,490112.5823,-870817.9705,
0.501,490088.3986,-871781.9265,
0.502,491289.6857,-872431.499,
0.503,493512.8231,-872389.334,
0.504,496425.3201,-871379.5585,
0.505,499612.788,-869261.7349,
0.506,502635.5715,-866046.1398,
0.507,505087.3398,-861888.7987,
0.508,506647.8602,-857067.4157,
0.509,507123.1384,-851941.8309,
0.51,506467.9363,-846904.5895,
0.511,504788.1271,-842328.3813,
0.512,502323.0647,-838517.3563,
0.513,499410.7784,-835668.6455,
0.514,496440.9989,-833848.9185,
0.515,493802.5056,-832988.7089,
0.516,491831.8767,-832894.8325,
0.517,490770.3668,-833278.8246,
0.518,490734.4005,-833797.2654,
0.519,491703.2447,-834098.3878,
0.52,493525.0674,-833868.6703,
0.521,495940.1372,-832873.2704,
0.522,498617.6907,-830985.112,
0.523,501201.2717,-828199.0614,
0.524,503356.3592,-824629.6808,
0.525,504813.9473,-820493.2466,
0.526,505404.4275,-816076.7826,
0.527,505077.5418,-811698.5036,
0.528,503906.1112,-807665.0922,
0.529,502073.4438,-804231.5198,
0.53,499846.4767,-801568.652,
0.531,497538.5411,-799742.7223,
0.532,495466.913,-798709.0996,
0.533,493910.872,-798320.8281,
0.534,493075.7901,-798350.4589,
0.535,493067.8364,-798521.9761,
0.536,493882.3789,-798548.3641,
0.537,495407.2797,-798169.7246,
0.538,497440.2867,-797186.9051,
0.539,499717.888,-795486.307,
0.54,501951.5449,-793052.8152,
0.541,503866.3461,-789969.4273,
0.542,505236.9268,-786403.95,
0.543,505915.9833,-782584.8281,
0.544,505851.8005,-778769.5536,
0.545,505092.7486,-775210.0022,
0.546,503778.4722,-772119.3404,
0.547,502119.2559,-769644.8334,
0.548,500366.5745,-767849.9963,
0.549,498778.9255,-766708.2219,
0.55,497587.5652,-766108.4477,
0.551,496966.6668,-765871.8279,
0.552,497011.732,-765776.9462,
0.553,497728.8995,-765590.0395,
0.554,499036.2992,-765096.1249,
0.555,500776.9785,-764126.9033,
0.556,502741.4173,-762581.8352,
0.557,504696.429,-760439.7734,
0.558,506416.4814,-757759.8437,
0.559,507713.2485,-754671.7161,
0.56,508459.5384,-751356.8037,
0.561,508604.579,-748023.088,
0.562,508178.8546,-744877.0431,
0.563,507288.1094,-742096.433,
0.564,506097.5713,-739807.5486,
0.565,504808.7143,-738069.7809,
0.566,503631.8039,-736869.3894,
0.567,502757.9494,-736123.0663,
0.568,502334.3605,-735690.592,
0.569,502445.993,-735394.6944,
0.57,503105.85,-735045.3181,
0.571,504255.0071,-734464.9983,
0.572,505772.1219,-733511.9641,
0.573,507490.9452,-732097.9787,
0.574,509223.3293,-730198.6898,
0.575,510784.5652,-727855.3041,
0.576,512017.6528,-725167.5739,
0.577,512813.3276,-722279.2287,
0.578,513123.3062,-719357.9563,
0.579,512965.1691,-716572.704,
0.58,512418.4381,-714071.3586,
0.581,511612.5812,-711961.741,
0.582,510708.721,-710298.3428,
0.583,509877.6127,-709076.4151,
0.584,509276.8856,-708234.0157,
0.585,509030.5678,-707661.5497,
0.586,509213.5388,-707217.3684,
0.587,509842.841,-706747.221,
0.588,510876.8286,-706104.9014,
0.589,512222.0779,-705171.3377,
0.59,513746.9568,-703869.6442,
0.591,515299.9055,-702174.2459,
0.592,516729.9005,-700113.0156,
0.593,517906.352,-697762.3089,
0.594,518735.8238,-695235.7236,
0.595,519173.448,-692668.2152,
0.596,519227.6574,-690197.7781,
0.597,518957.7741,-687947.1657,
0.598,518464.9456,-686008.0602,
0.599,517877.7846,-684429.7225,
0.6,517334.7353,-683213.5099,
0.601,516975.9562,-682314.7643,
0.602,516915.7148,-681648.3752,
0.603,517218.7706,-681100.5671,
0.604,517903.208,-680545.8387,
0.605,518939.1691,-679863.7985,
0.606,520253.939,-678954.9198,
0.607,521742.5602,-677753.1671,
0.608,523282.4407,-676233.8993,
0.609,524749.9335,-674416.1225,
0.61,526036.653,-672358.9313,
0.611,527063.3823,-670152.7458,
0.612,527789.797,-667906.627,
0.613,528218.8234,-665733.4377,
0.614,528395.187,-663734.8588,
0.615,528398.4844,-661988.2397,
0.616,528331.8232,-660536.9766,
0.617,528307.6377,-659385.5996,
0.618,528432.618,-658500.1073,
0.619,528793.7623,-657813.3756,
0.62,529447.3639,-657234.8074,
0.621,530412.3149,-656662.8466,
