Time,value
20130225:1007,298336.5
20130225:1107,291522
20130225:1207,264253.5
20130225:1307,218627.5
20130225:1407,151935
20130225:1507,67557
20130225:1607,0
20130225:1707,0
20130225:1807,0
20130225:1907,0
20130225:2007,0
20130225:2107,0
20130225:2207,0
20130225:2307,0
20130226:0007,0
20130226:0107,0
20130226:0207,0
20130226:0307,0
20130226:0407,0
20130226:0507,29750
20130226:0607,116931.5
20130226:0707,194001.5
20130226:0807,249522
20130226:0907,280168
20130226:1007,286188
20130226:1107,281368.5
20130226:1207,254922.5
20130226:1307,213129
20130226:1407,149247
20130226:1507,67490.5
20130226:1607,0
20130226:1707,0
20130226:1807,0
20130226:1907,0
20130226:2007,0
20130226:2107,0
20130226:2207,0
20130226:2307,0
20130227:0007,0
20130227:0107,0
20130227:0207,0
20130227:0307,0
20130227:0407,0
20130227:0507,26915
20130227:0607,113582
20130227:0707,189574
20130227:0807,244517
20130227:0907,277130
20130227:1007,289957.5
20130227:1107,282488.5
20130227:1207,256721.5
20130227:1307,213832.5
20130227:1407,149054.5
20130227:1507,66871
20130227:1607,0
20130227:1707,0
20130227:1807,0
20130227:1907,0
20130227:2007,0
20130227:2107,0
20130227:2207,0
20130227:2307,0
20130228:0007,0
20130228:0107,0
20130228:0207,0
20130228:0307,0
20130228:0407,0
20130228:0507,28560
20130228:0607,114509.5
20130228:0707,191926
20130228:0807,247751
20130228:0907,282457
20130228:1007,297248
20130228:1107,287812
20130228:1207,257838
20130228:1307,212142
20130228:1407,148081.5
20130228:1507,65152.5
20130228:1607,0
20130228:1707,0
20130228:1807,0
20130228:1907,0
20130228:2007,0
20130228:2107,0
20130228:2207,0
