Time,value
20130131:1007,426360
20130131:1107,417980
20130131:1207,381445
20130131:1307,317380
20130131:1407,220360
20130131:1507,92100
20130131:1607,0
20130131:1707,0
20130131:1807,0
20130131:1907,0
20130131:2007,0
20130131:2107,0
20130131:2207,0
20130131:2307,0
20130201:0007,0
20130201:0107,0
20130201:0207,0
20130201:0307,0
20130201:0407,0
20130201:0507,35605
20130201:0607,145665
20130201:0707,273505
20130201:0807,357355
20130201:0907,402955
20130201:1007,426105
20130201:1107,415620
20130201:1207,386010
20130201:1307,314285
20130201:1407,213850
20130201:1507,93695
20130201:1607,0
20130201:1707,0
20130201:1807,0
20130201:1907,0
20130201:2007,0
20130201:2107,0
20130201:2207,0
20130201:2307,0
20130202:0007,0
20130202:0107,0
20130202:0207,0
20130202:0307,0
20130202:0407,0
20130202:0507,35970
20130202:0607,162885
20130202:0707,277230
20130202:0807,359875
20130202:0907,410905
20130202:1007,430760
20130202:1107,418925
20130202:1207,381250
20130202:1307,312490
20130202:1407,214305
20130202:1507,90015
20130202:1607,0
20130202:1707,0
20130202:1807,0
20130202:1907,0
20130202:2007,0
20130202:2107,0
20130202:2207,0
20130202:2307,0
20130203:0007,0
20130203:0107,0
20130203:0207,0
20130203:0307,0
20130203:0407,0
20130203:0507,32525
20130203:0607,156985
20130203:0707,271290
20130203:0807,350735
20130203:0907,400965
20130203:1007,419980
20130203:1107,408545
20130203:1207,370160
20130203:1307,303645
20130203:1407,207365
20130203:1507,90155
20130203:1607,0
20130203:1707,0
20130203:1807,0
20130203:1907,0
20130203:2007,0
20130203:2107,0
20130203:2207,0
20130203:2307,0
20130204:0007,0
20130204:0107,0
20130204:0207,0
20130204:0307,0
20130204:0407,0
20130204:0507,33865
20130204:0607,157690
20130204:0707,267140
20130204:0807,345595
20130204:0907,390245
20130204:1007,406085
20130204:1107,399520
20130204:1207,362725
20130204:1307,297290
20130204:1407,200425
20130204:1507,86840
20130204:1607,0
20130204:1707,0
20130204:1807,0
20130204:1907,0
20130204:2007,0
20130204:2107,0
20130204:2207,0
20130204:2307,0
20130205:0007,0
20130205:0107,0
20130205:0207,0
20130205:0307,0
20130205:0407,0
20130205:0507,32585
20130205:0607,155220
20130205:0707,263710
20130205:0807,337925
20130205:0907,385275
20130205:1007,405315
20130205:1107,397215
20130205:1207,363685
20130205:1307,300935
20130205:1407,210865
20130205:1507,92200
20130205:1607,0
20130205:1707,0
20130205:1807,0
20130205:1907,0
20130205:2007,0
20130205:2107,0
20130205:2207,0
20130205:2307,0
20130206:0007,0
20130206:0107,0
20130206:0207,0
20130206:0307,0
20130206:0407,0
20130206:0507,33150
20130206:0607,150930
20130206:0707,252455
20130206:0807,324605
20130206:0907,369030
20130206:1007,394590
20130206:1107,395895
20130206:1207,369430
20130206:1307,306200
20130206:1407,207275
20130206:1507,93045
20130206:1607,0
20130206:1707,0
20130206:1807,0
20130206:1907,0
20130206:2007,0
