Time,value
20130215:0007,0
20130215:0107,0
20130215:0207,0
20130215:0307,0
20130215:0407,0
20130215:0507,24852
20130215:0607,104490
20130215:0707,164013
20130215:0807,213036
20130215:0907,232719
20130215:1007,243060
20130215:1107,234990
20130215:1207,211461
20130215:1307,173121
20130215:1407,117057
20130215:1507,48900
20130215:1607,0
20130215:1707,0
20130215:1807,0
20130215:1907,0
20130215:2007,0
20130215:2107,0
20130215:2207,0
20130215:2307,0
20130216:0007,0
20130216:0107,0
20130216:0207,0
20130216:0307,0
20130216:0407,0
20130216:0507,24264
20130216:0607,94938
20130216:0707,160344
20130216:0807,206232
20130216:0907,233757
20130216:1007,244008
20130216:1107,236496
20130216:1207,216171
20130216:1307,176529
20130216:1407,119436
20130216:1507,49299
20130216:1607,0
20130216:1707,0
20130216:1807,0
20130216:1907,0
20130216:2007,0
20130216:2107,0
20130216:2207,0
20130216:2307,0
20130217:0007,0
20130217:0107,0
20130217:0207,0
20130217:0307,0
20130217:0407,0
20130217:0507,26919
20130217:0607,98994
20130217:0707,160626
20130217:0807,215532
20130217:0907,233004
20130217:1007,244311
20130217:1107,238296
20130217:1207,212631
20130217:1307,174024
20130217:1407,120495
20130217:1507,38562
20130217:1607,0
20130217:1707,0
20130217:1807,0
20130217:1907,0
20130217:2007,0
20130217:2107,0
20130217:2207,0
20130217:2307,0
20130218:0007,0
20130218:0107,0
20130218:0207,0
20130218:0307,0
20130218:0407,0
20130218:0507,26922
20130218:0607,100851
20130218:0707,164007
20130218:0807,208245
20130218:0907,232455
20130218:1007,243747
20130218:1107,236424
20130218:1207,212541
20130218:1307,170880
20130218:1407,113928
20130218:1507,44388
20130218:1607,0
20130218:1707,0
20130218:1807,0
20130218:1907,0
20130218:2007,0
20130218:2107,0
20130218:2207,0
20130218:2307,0
20130219:0007,0
20130219:0107,0
20130219:0207,0
20130219:0307,0
20130219:0407,0
20130219:0507,24831
20130219:0607,96078
20130219:0707,96243
20130219:0807,91008
20130219:0907,231051
20130219:1007,255594
20130219:1107,249450
20130219:1207,216765
20130219:1307,175974
20130219:1407,120564
20130219:1507,55041
20130219:1607,0
20130219:1707,0
20130219:1807,0
20130219:1907,0
20130219:2007,0
20130219:2107,0
20130219:2207,0
20130219:2307,0
20130220:0007,0
20130220:0107,0
20130220:0207,0
20130220:0307,0
20130220:0407,0
20130220:0507,25212
20130220:0607,102381
20130220:0707,165390
20130220:0807,212892
20130220:0907,238470
20130220:1007,248409
20130220:1107,240888
20130220:1207,215019
20130220:1307,174348
20130220:1407,127350
20130220:1507,49191
20130220:1607,0
20130220:1707,0
20130220:1807,0
20130220:1907,0
20130220:2007,0
20130220:2107,0
20130220:2207,0
20130220:2307,0
20130221:0007,0
20130221:0107,0
20130221:0207,0
20130221:0307,0
20130221:0407,0
20130221:0507,29241
20130221:0607,100848
20130221:0707,164454
20130221:0807,208584
20130221:0907,232542
20130221:1007,241431
20130221:1107,232041
20130221:1207,206526
20130221:1307,169374
20130221:1407,115059
20130221:1507,47091
20130221:1607,0
20130221:1707,0
20130221:1807,0
20130221:1907,0
20130221:2007,0
20130221:2107,0
20130221:2207,0
20130221:2307,0
20130222:0007,0
20130222:0107,0
20130222:0207,0
20130222:0307,0
20130222:0407,0
20130222:0507,29703
20130222:0607,102081
20130222:0707,160923
20130222:0807,203877
20130222:0907,225207
20130222:1007,234852
20130222:1107,226848
20130222:1207,201996
20130222:1307,164778
20130222:1407,110064
20130222:1507,42387
20130222:1607,0
20130222:1707,0
20130222:1807,0
20130222:1907,0
20130222:2007,0
20130222:2107,0
20130222:2207,0
20130222:2307,0
20130223:0007,0
20130223:0107,0
20130223:0207,0
20130223:0307,0
20130223:0407,0
20130223:0507,29094
20130223:0607,101820
20130223:0707,164916
20130223:0807,208794
20130223:0907,235206
20130223:1007,246093
20130223:1107,239244
20130223:1207,215241
20130223:1307,175593
20130223:1407,120360
20130223:1507,50805
20130223:1607,0
20130223:1707,0
20130223:1807,0
20130223:1907,0
20130223:2007,0
20130223:2107,0
20130223:2207,0
20130223:2307,0
20130224:0007,0
20130224:0107,0
20130224:0207,0
20130224:0307,0
20130224:0407,0
20130224:0507,25371
20130224:0607,98016
20130224:0707,162399
20130224:0807,209058
20130224:0907,236835
20130224:1007,248580
20130224:1107,242640
20130224:1207,219348
20130224:1307,180228
20130224:1407,119772
20130224:1507,50163
20130224:1607,0
20130224:1707,0
20130224:1807,0
20130224:1907,0
20130224:2007,0
20130224:2107,0
20130224:2207,0
20130224:2307,0
20130225:0007,0
20130225:0107,0
20130225:0207,0
20130225:0307,0
20130225:0407,0
20130225:0507,22722
20130225:0607,91668
20130225:0707,157935
20130225:0807,204345
20130225:0907,232386
20130225:1007,245253
20130225:1107,238125
20130225:1207,215616
20130225:1307,175980
20130225:1407,120801
20130225:1507,51162
20130225:1607,0
20130225:1707,0
20130225:1807,0
20130225:1907,0
20130225:2007,0
20130225:2107,0
20130225:2207,0
20130225:2307,0
20130226:0007,0
20130226:0107,0
20130226:0207,0
20130226:0307,0
20130226:0407,0
20130226:0507,28413
20130226:0607,101805
20130226:0707,164424
20130226:0807,208512
20130226:0907,233352
20130226:1007,240189
20130226:1107,230139
20130226:1207,203481
20130226:1307,163863
20130226:1407,115452
20130226:1507,50109
20130226:1607,0
20130226:1707,0
20130226:1807,0
20130226:1907,0
20130226:2007,0
20130226:2107,0
20130226:2207,0
20130226:2307,0
20130227:0007,0
20130227:0107,0
20130227:0207,0
20130227:0307,0
20130227:0407,0
20130227:0507,26751
20130227:0607,97119
20130227:0707,158790
20130227:0807,204201
20130227:0907,230985
20130227:1007,241524
20130227:1107,234330
20130227:1207,211809
20130227:1307,172917
20130227:1407,117912
20130227:1507,51078
20130227:1607,0
20130227:1707,0
20130227:1807,0
20130227:1907,0
20130227:2007,0
20130227:2107,0
20130227:2207,0
20130227:2307,0
20130228:0007,0
20130228:0107,0
20130228:0207,0
20130228:0307,0
20130228:0407,0
20130228:0507,27981
20130228:0607,99918
20130228:0707,162762
20130228:0807,206142
20130228:0907,234063
20130228:1007,243963
20130228:1107,237930
20130228:1207,215067
20130228:1307,175131
20130228:1407,118248
20130228:1507,50361
20130228:1607,0
20130228:1707,0
20130228:1807,0
20130228:1907,0
20130228:2007,0
20130228:2107,0
20130228:2207,0
20130228:2307,0
20130301:0007,0
20130301:0107,0
20130301:0207,0
20130301:0307,0
20130301:0407,0
20130301:0507,29223
20130301:0607,101469
20130301:0707,164508
20130301:0807,209607
20130301:0907,236643
20130301:1007,247707
20130301:1107,240144
20130301:1207,215613
20130301:1307,177132
20130301:1407,120723
20130301:1507,52584
20130301:1607,0
20130301:1707,0
20130301:1807,0
20130301:1907,0
20130301:2007,0
20130301:2107,0
20130301:2207,0
20130301:2307,0
20130302:0007,0
20130302:0107,0
20130302:0207,0
20130302:0307,0
20130302:0407,0
20130302:0507,29094
20130302:0607,101346
20130302:0707,163863
20130302:0807,209577
20130302:0907,234690
20130302:1007,245541
20130302:1107,239430
20130302:1207,214878
20130302:1307,173631
20130302:1407,119523
20130302:1507,51009
20130302:1607,0
20130302:1707,0
20130302:1807,0
20130302:1907,0
20130302:2007,0
20130302:2107,0
20130302:2207,0
20130302:2307,0
20130303:0007,0
20130303:0107,0
20130303:0207,0
20130303:0307,0
20130303:0407,0
20130303:0507,30765
20130303:0607,102435
20130303:0707,163005
20130303:0807,206406
20130303:0907,234165
20130303:1007,242781
20130303:1107,235335
20130303:1207,209844
20130303:1307,168426
20130303:1407,116193
20130303:1507,49314
20130303:1607,0
20130303:1707,0
20130303:1807,0
20130303:1907,0
20130303:2007,0
20130303:2107,0
20130303:2207,0
20130303:2307,0
20130304:0007,0
20130304:0107,0
20130304:0207,0
20130304:0307,0
20130304:0407,0
20130304:0507,26979
20130304:0607,96966
20130304:0707,159561
20130304:0807,205359
20130304:0907,232767
20130304:1007,243165
20130304:1107,237480
20130304:1207,213423
20130304:1307,174459
20130304:1407,118194
20130304:1507,50952
20130304:1607,0
20130304:1707,0
20130304:1807,0
20130304:1907,0
20130304:2007,0
20130304:2107,0
20130304:2207,0
20130304:2307,0
20130305:0007,0
20130305:0107,0
20130305:0207,0
20130305:0307,0
20130305:0407,0
20130305:0507,25041
20130305:0607,98640
20130305:0707,154416
20130305:0807,202470
20130305:0907,245793
20130305:1007,241788
20130305:1107,240537
20130305:1207,222075
20130305:1307,177474
20130305:1407,118551
20130305:1507,46953
20130305:1607,0
20130305:1707,0
20130305:1807,0
20130305:1907,0
20130305:2007,0
20130305:2107,0
20130305:2207,0
20130305:2307,0
20130306:0007,0
20130306:0107,0
20130306:0207,0
20130306:0307,0
20130306:0407,0
20130306:0507,30489
20130306:0607,100350
20130306:0707,164409
20130306:0807,210237
20130306:0907,236604
20130306:1007,241332
