TimeStamp,wSpeed.100
84.2501,10.3
84.5,10.52
84.501,10.32
84.75,10.68
84.7501,11.15
85,10.85
85.01,9.54
85.25,8.63
85.2501,8.01
85.5,7.27
85.501,6.83
85.75,6.45
85.7501,6.7
86,6.79
86.01,6.93
86.25,7.33
86.2501,7.35
86.5,7.26
86.501,7.45
86.75,7.42
86.7501,7.62
87,7.98
87.01,8.36
87.25,8.52
87.2501,8.85
87.5,9.18
87.501,8.73
87.75,7.93
87.7501,6.55
88,7.14
88.01,6.63
88.25,6.23
88.2501,5.73
88.5,5.81
88.501,5.91
88.75,5.99
88.7501,5.9
89,5.75
89.01,6.14
89.25,7.56
89.2501,8.29
89.5,8.84
89.501,9.68
89.75,10.91
89.7501,10.9
90,10.65
90.01,10.04
90.25,10.1
90.2501,10.45
90.5,10.75
90.501,10.77
90.75,10.72
90.7501,9.73
91,10.13
91.01,10.15
91.25,10.25
91.2501,10.04
91.5,10.07
91.501,9.75
91.75,9.35
91.7501,9.4
92,9.15
92.01,8.22
92.25,8.4
92.2501,9.03
92.5,9.87
92.501,10.11
92.75,10.18
92.7501,10.14
93,10.26
93.01,10.26
93.25,10.31
93.2501,9.97
93.5,9.79
93.501,9.63
93.75,9.36
93.7501,8.99
94,9.86
94.01,9.99
94.25,9.73
94.2501,9.73
94.5,9.67
94.501,9.57
94.75,9.47
94.7501,9.5
95,9.59
95.01,9.31
95.25,9.42
95.2501,9.18
95.5,9.18
95.501,9.05
95.75,9.34
95.7501,9.39
96,9.18
96.01,9.31
96.25,9.77
96.2501,9.79
96.5,9.64
96.501,9.34
96.75,9.16
96.7501,8.86
97,9.84
97.01,9.71
97.25,9.25
97.2501,8.4
97.5,7.92
97.501,7.84
97.75,7.79
97.7501,7.99
98,8.16
98.01,8.42
98.25,8.93
98.2501,9.09
98.5,9.35
98.501,9.59
98.75,9.7
98.7501,9.69
99,9.36
99.01,9.07
99.25,9.02
99.2501,10.49
99.5,10.19
99.501,9.98
99.75,9.61
99.7501,7.27
100,7.65
100.01,8.08
100.25,7.8
100.2501,7.28
100.5,6.68
100.501,6.2
100.75,6.07
100.7501,6.37
101,6.68
101.01,6.99
101.25,8.11
101.2501,8.79
101.5,9.14
101.501,9.33
101.75,9.09
101.7501,8.91
102,8.88
102.01,8.84
102.25,8.91
102.2501,9.12
102.5,8.76
102.501,8.24
102.75,8.43
102.7501,6.57
103,6.33
103.01,5.86
103.25,5.52
103.2501,5.41
103.5,5.55
103.501,5.5
103.75,5.4
103.7501,5.49
104,5.6
104.01,6.15
104.25,7.13
104.2501,7.58
104.5,7.69
104.501,7.99
104.75,8.24
104.7501,8.18
105,7.77
105.01,7.36
105.25,7.09
105.2501,7
105.5,6.68
105.501,6.56
105.75,6.57
105.7501,5.77
106,4.26
106.01,4.74
106.25,4.78
106.2501,4.8
106.5,4.96
106.501,5.43
106.75,5.82
106.7501,5.88
107,5.66
107.01,5.65
107.25,6.42
107.2501,6.66
107.5,7.06
107.501,7.64
107.75,7.81
107.7501,7.23
108,6.66
108.01,6.3
108.25,5.91
108.2501,5.54
108.5,5.83
108.501,7.08
108.75,9.35
108.7501,8.72
109,8.96
109.01,9.57
109.25,9.25
109.2501,9.23
109.5,9.32
109.501,9.56
109.75,9.45
109.7501,9.42
110,9.46
110.01,9.44
110.25,9.3
110.2501,9.25
110.5,9.42
110.501,9.57
110.75,9.33
110.7501,9.37
111,9.25
111.01,9.12
111.25,9.12
111.2501,9.72
111.5,9.47
111.501,9.62
111.75,9.34
111.7501,7.92
112,7.63
112.01,7.61
112.25,7.6
112.2501,7.68
112.5,7.76
112.501,7.47
112.75,7.23
112.7501,7.08
113,7.05
113.01,7.21
113.25,8.13
113.2501,8.41
113.5,8.15
113.501,8.27
113.75,8.42
113.7501,8.44
114,8.59
114.01,8.44
114.25,8.23
114.2501,8.05
114.5,8.4
114.501,8.27
114.75,7.92
114.7501,5.65
115,5.58
115.01,5.55
115.25,5.11
115.2501,4.88
115.5,4.99
115.501,4.97
115.75,5.24
115.7501,5.51
116,5.83
116.01,6.44
116.25,7.76
116.2501,8.75
116.5,9.39
116.501,9.61
116.75,9.13
116.7501,8.83
117,8.67
117.01,8.84
117.25,9.26
117.2501,10.84
117.5,11.04
117.501,10.92
117.75,10.56
117.7501,9.01
118,8.65
118.01,8.45
118.25,8.02
118.2501,7.69
118.5,7.53
118.501,7.52
118.75,7.24
118.7501,7.29
119,7.58
119.01,7.76
119.25,8.7
119.2501,9.17
119.5,8.9
119.501,9.04
119.75,9.73
119.7501,9.8
120,9.63
120.01,9.72
120.25,9.92
120.2501,9.66
120.5,9.34
120.501,9.03
120.75,8.69
120.7501,7.07
121,6.69
121.01,6.68
121.25,6.65
121.2501,6.31
121.5,6.14
121.501,6.13
121.75,6.28
