time,p:1,q :1,,,
26.6,1066098.714,-417705.5453,26.501,0.501,26
26.7,852766.5748,-384612.9002,26.75,0.75,26
26.8,436083.6869,-310929.7794,26.7501,0.7501,26
26.9,-81453.83637,-259127.6884, , , 
27,-478949.9377,-258180.7403,27,0,27
27.1,-531420.4228,-264997.9621, ,, 
27.2,-340659.3327,-256068.4168,27.25,0.25,27
27.3,-134523.6289,-246966.8621,27.2501,0.2501,27
27.4,-61605.96933,-240204.6122, , , 
27.5,-123942.6374,-233581.196,27.5,0.5,27
27.6,-220157.5303,-230847.9528,27.501,0.501,27
27.7,-232006.3356,-230420.2509,27.75,0.75,27
27.8,-147299.8864,-229238.0924,27.7501,0.7501,27
27.9,-76102.53772,-228020.2219, , , 
28,-101318.3611,-225802.5999,28,0,28
28.1,-201727.809,-224994.9238, ,, 
28.2,-284036.3252,-227721.3458,28.25,0.25,28
28.3,-260445.114,-229466.3015,28.2501,0.2501,28
28.4,-104211.2312,-228633.8113, , , 
28.5,81625.34904,-231180.3489,28.5,0.5,28
28.6,162387.2729,-232952.4741,28.501,0.501,28
28.7,153444.7876,-230334.4979,28.75,0.75,28
28.8,133891.4051,-227572.0972,28.7501,0.7501,28
28.9,141007.5141,-226788.05, , , 
29,162312.7592,-227410.6517,29,0,29
29.1,165771.3021,-227312.7245, ,, 
29.2,147874.12,-225961.6011,29.25,0.25,29
29.3,118984.1814,-224102.9288,29.2501,0.2501,29
29.4,65803.76417,-221497.3445, , , 
29.5,3183.924532,-219170.9537,29.5,0.5,29
29.6,-29369.41198,-218585.1528,29.501,0.501,29
29.7,25287.60116,-220282.9302,29.75,0.75,29
29.8,125920.8801,-224753.0801,29.7501,0.7501,29
29.9,102472.7599,-223974.6746, , , 
30,-67895.66975,-218273.4329,30,0,30
30.1,-250128.5114,-219879.0724, ,, 
30.2,-340096.5685,-226802.0433,30.25,0.25,30
30.3,-308384.2469,-230559.6425,30.2501,0.2501,30
30.4,-215541.3669,-230534.9061, , , 
30.5,-158634.6801,-229459.79,30.5,0.5,30
30.6,-173955.2574,-228183.7013,30.501,0.501,30
