time,p:1,timeStamp
0.304,1795174.873,38.01
0.305,1787791.363,38.25
0.306,1768281.466,38.251
0.307,1740087.11,38.5
0.308,1707706.884,38.501
0.309,1676077.167,38.75
0.31,1649910.51,38.751
0.311,1633079.566,39
0.312,1628126.705,39.01
0.313,1635960.954,39.25
0.314,1655777.671,39.251
0.315,1685206.18,39.5
0.316,1720660.349,39.501
0.317,1757840.973,39.75
0.318,1792320.035,39.751
0.319,1820127.795,40
0.32,1838265.224,40.01
0.321,1845076.005,40.25
0.322,1840432.45,40.251
0.323,1825715.308,40.5
0.324,1803595.137,40.501
0.325,1777648.872,40.75
0.326,1751866.143,40.751
0.327,1730113.139,41
0.328,1715625.725,41.01
0.329,1710597.985,41.25
0.33,1715918.106,41.251
0.331,1731082.897,41.5
0.332,1754297.866,41.501
0.333,1782745.174,41.75
0.334,1812980.054,41.751
0.335,1841400.311,42
0.336,1864725.205,42.01
0.337,1880420.335,42.25
0.338,1887013.814,42.251
0.339,1884264.644,42.5
0.34,1873164.691,42.501
0.341,1855778.024,42.75
0.342,1834942.734,42.751
0.343,1813877.916,43
0.344,1795749.912,43.01
0.345,1783256.033,43.25
0.346,1778280.218,43.251
0.347,1781664.307,43.5
0.348,1793122.284,43.501
0.349,1811305.346,43.75
0.35,1834005.549,43.751
0.351,1858467.829,44
0.352,1881766.612,44.01
0.353,1901195.792,44.25
0.354,1914620.304,44.251
0.355,1920743.885,44.5
0.356,1919259.712,44.501
0.357,1910866.909,44.75
0.358,1897153.99,44.751
0.359,1880367.835,45
0.36,1863101.437,45.01
0.361,1847943.574,45.25
0.362,1837137.527,45.251
0.363,1832293.63,45.5
0.364,1834192.261,45.501
0.365,1842701.064,45.75
0.366,1856814.541,45.751
0.367,1874807.839,46
0.368,1894481.682,46.01
0.369,1913463.92,46.25
0.37,1929526.586,46.251
0.371,1940876.241,46.5
0.372,1946379.987,46.501
0.373,1945698.879,46.75
0.374,1939313.412,46.751
0.375,1928440.314,47
0.376,1914854.262,47.01
0.377,1900640.347,47.25
0.378,1887911.591,47.251
0.379,1878529.63,47.5
0.38,1873865.325,47.501
0.381,1874629.893,47.75
0.382,1880797.123,47.751
0.383,1891624.733,48
0.384,1905769.636,48.01
0.385,1921479.659,48.25
0.386,1936834.546,48.251
0.387,1950003.304,48.5
0.388,1959483.53,48.501
0.389,1964291.602,48.75
0.39,1964079.849,48.751
0.391,1959167.01,49
0.392,1950480.073,49.01
0.393,1939417.3,49.25
0.394,1927652.436,49.251
0.395,1916907.32,49.5
0.396,1908723.676,49.501
0.397,1904264.181,49.75
0.398,1904168.352,49.751
0.399,1908480.907,50
0.4,1916660.32,
0.401,1927664.633,
0.402,1940100.886,
0.403,1952417.198,
0.404,1963111.458,
0.405,1970928.242,
0.406,1975018.415,
0.407,1975041.288,
0.408,1971197.248,
0.409,1964188.235,
0.41,1955113.041,
0.411,1945312.806,
0.412,1936188.299,
0.413,1929013.771,
0.414,1924772.003,
0.415,1924031.785,
0.416,1926882.97,
0.417,1932936.258,
0.418,1941386.176,
0.419,1951127.415,
0.42,1960907.883,
0.421,1969497.416,
0.422,1975849.493,
0.423,1979234.818,
0.424,1979329.836,
0.425,1976249.581,
0.426,1970521.897,
0.427,1963007.845,
0.428,1954780.089,
0.429,1946976.333,
