time,p:1,q :1,timeStamp
0.245,1154250.954,-2342635.196,30.75
0.246,1208217.671,-2391569.453,30.751
0.247,1281138.276,-2420835.989,31
0.248,1363835.484,-2426994.088,31.01
0.249,1446060.112,-2409746.625,31.25
0.25,1517868.642,-2371903.134,31.251
0.251,1570927.111,-2318932.827,31.5
0.252,1599571.188,-2258176.657,31.501
0.253,1601488.508,-2197830.943,31.75
0.254,1577942.435,-2145842.547,31.751
0.255,1533518.845,-2108863.852,32
0.256,1475440.862,-2091404.312,32.01
0.257,1412552.4,-2095286,32.25
0.258,1354112.548,-2119467.763,32.251
0.259,1308564.408,-2160252.311,32.5
0.26,1282441.345,-2211839.561,32.501
0.261,1279551.57,-2267144.642,32.75
0.262,1300541.862,-2318765.971,32.751
0.263,1342888.775,-2359971.691,33
0.264,1401308.154,-2385573.577,33.01
0.265,1468518.81,-2392575.543,33.25
0.266,1536251.083,-2380516.488,33.251
0.267,1596361.352,-2351469.554,33.5
0.268,1641902.928,-2309706.309,33.501
0.269,1668013.184,-2261078.404,33.75
0.27,1672504.347,-2212205.373,33.751
0.271,1656087.23,-2169580.696,34
0.272,1622207.283,-2138716.289,34.01
0.273,1576523.965,-2123437.614,34.25
0.274,1526110.743,-2125418.894,34.251
0.275,1478487.985,-2144014.058,34.5
0.276,1440620.329,-2176398.557,34.501
0.277,1418011.63,-2217995.724,34.75
0.278,1414014.46,-2263124.405,34.751
0.279,1429440.049,-2305776.839,35
0.28,1462512.819,-2340420.758,35.01
0.281,1509167.169,-2362719.096,35.25
0.282,1563639.076,-2370074.127,35.251
0.283,1619267.377,-2361928.418,35.5
0.284,1669393.955,-2339788.721,35.501
0.285,1708241.727,-2306976.42,35.75
0.286,1731655.181,-2268144.223,35.751
0.287,1737609.122,-2228628.674,36
0.288,1726424.158,-2193728.096,36.01
0.289,1700667.592,-2168003.206,36.25
0.29,1664760.432,-2154692.282,36.251
0.291,1624349.436,-2155315.375,36.5
0.292,1585532.73,-2169515.255,36.501
0.293,1554044.643,-2195150.328,36.75
0.294,1534508.27,-2228621.116,36.751
0.295,1529852.679,-2265381.434,37
0.296,1540967.655,-2300562.217,37.01
0.297,1566635.731,-2329622.787,37.25
0.298,1603743.789,-2348942.833,37.251
0.299,1647739.523,-2356278.306,37.5
0.3,1693266.652,-2351024.303,37.501
0.301,1734893.739,-2334256.779,37.75
0.302,1767829.843,-2308547.519,37.751
0.303,1788538.154,-2277586.269,38
0.304,1795174.873,-2245667.784,38.01
0.305,1787791.363,-2217109.561,38.25
0.306,1768281.466,-2195680.787,38.251
0.307,1740087.11,-2184117.684,38.5
0.308,1707706.884,-2183787.157,38.501
0.309,1676077.167,-2194539.562,38.75
0.31,1649910.51,-2214765.434,38.751
0.311,1633079.566,-2241643.691,39
0.312,1628126.705,-2271543.853,39.01
0.313,1635960.954,-2300525.381,39.25
0.314,1655777.671,-2324865.776,39.251
0.315,1685206.18,-2341546.979,39.5
0.316,1720660.349,-2348636.828,39.501
0.317,1757840.973,-2345517.736,39.75
0.318,1792320.035,-2332936.119,39.751
0.319,1820127.795,-2312870.444,40
0.32,1838265.224,-2288239.751,40.01
0.321,1845076.005,-2262495.064,40.25
