time,p:1,q :1,,,
25.6,-240481.4541,-230680.8394,25.501,0.501,25
25.7,-275880.4405,-231698.1128,25.75,0.75,25
25.8,-246450.3235,-231840.5026,25.7501,0.7501,25
25.9,-53215.18293,-230380.0885, , , 
26,335818.1461,-248278.4075,26,0,26
26.1,778377.3959,-311106.0335, ,, 
26.2,1059112.421,-390292.0109,26.25,0.25,26
26.3,866480.8819,-372741.1392,26.2501,0.2501,26
26.4,217355.4361,-279446.7947, , , 
26.5,-417092.0059,-256191.54,26.5,0.5,26
26.6,-665417.3559,-277465.3622,26.501,0.501,26
26.7,-538079.3989,-275168.9315,26.75,0.75,26
26.8,-255855.968,-259534.1864,26.7501,0.7501,26
26.9,23063.96357,-251324.4468, , , 
27,209283.0433,-251366.5521,27,0,27
27.1,269192.9398,-249552.3166, ,, 
27.2,310718.2015,-248548.1152,27.25,0.25,27
27.3,403069.5438,-255432.1435,27.2501,0.2501,27
27.4,282917.1272,-245159.1567, , , 
27.5,-78250.14357,-224178.8155,27.5,0.5,27
27.6,-353303.4397,-227328.0764,27.501,0.501,27
27.7,-365792.9117,-233362.1782,27.75,0.75,27
27.8,-172275.5912,-231550.6699,27.7501,0.7501,27
27.9,45563.26588,-232659.5745, , , 
28,138962.4037,-233759.4135,28,0,28
28.1,80198.27901,-228218.8317, ,, 
28.2,-65368.36778,-221848.8059,28.25,0.25,28
28.3,-201150.5821,-221347.5853,28.2501,0.2501,28
28.4,-274504.6128,-224964.2365, , , 
28.5,-282988.9012,-228308.9947,28.5,0.5,28
28.6,-249102.8043,-229676.874,28.501,0.501,28
28.7,-216680.3223,-229770.2888,28.75,0.75,28
28.8,-207795.0545,-229423.3603,28.7501,0.7501,28
28.9,-182689.8433,-228644.3082, , , 
29,-105591.0216,-227581.9987,29,0,29
29.1,12262.94972,-227772.9226, ,, 
29.2,265930.2108,-238676.7776,29.25,0.25,29
29.3,644140.6525,-283614.5895,29.2501,0.2501,29
29.4,1057619.433,-379104.8315, , , 
29.5,1353687.798,-497863.3082,29.5,0.5,29
29.6,1435476.376,-573071.6739,29.501,0.501,29
29.7,1353727.915,-583224.4776,29.75,0.75,29
29.8,1208041.705,-552389.8975,29.7501,0.7501,29
29.9,1118096.563,-522962.6824, , , 
30,1143447.566,-521768.4104,30,0,30
30.1,1238481.984,-547787.0709, ,, 
30.2,1327684.37,-584198.4783,30.25,0.25,30
30.3,1366854.627,-611315.5436,30.2501,0.2501,30
30.4,1389834.984,-631965.097, , , 
30.5,1417776.188,-654537.4424,30.5,0.5,30
30.6,1404688.374,-661230.7299,30.501,0.501,30
30.7,886818.9871,-519024.5482,30.75,0.75,30
30.8,-67487.26424,-356976.1437,30.7501,0.7501,30
30.9,-749116.3046,-351284.0777, , , 
31,-846727.0793,-362353.4571,31,0,31
31.1,-447251.6806,-318630.6648, ,, 
31.2,74565.99273,-291878.1786,31.25,0.25,31
31.3,342039.0666,-289775.4146,31.2501,0.2501,31
31.4,248981.538,-268365.0777, , , 
31.5,-31128.79016,-242505.6435,31.5,0.5,31
31.6,-253263.6375,-235189.7335,31.501,0.501,31
31.7,-299004.7118,-235505.66,31.75,0.75,31
31.8,-210535.129,-233679.4729,31.7501,0.7501,31
31.9,-123166.2324,-231454.8497, , , 
32,-126697.9765,-228874.0157,32,0,32
32.1,-200386.3992,-227525.5862, ,, 
32.2,-130043.5028,-226555.1339,32.25,0.25,32
32.3,183835.9779,-234857.4568,32.2501,0.2501,32
32.4,606295.9304,-278701.2084, , , 
32.5,911919.0643,-345378.7665,32.5,0.5,32
32.6,976255.8431,-379962.1021,32.501,0.501,32
32.7,939692.8653,-386014.3255,32.75,0.75,32
32.8,946108.2628,-394982.8039,32.7501,0.7501,32
32.9,1034362.932,-422517.076, , , 
33,1152890.319,-465697.9948,33,0,33
33.1,1217056.548,-501638.9163, ,, 
33.2,1225413.676,-520662.6561,33.25,0.25,33
33.3,1225144.808,-532160.2001,33.2501,0.2501,33
33.4,1326988.5,-571991.2465, , , 
33.5,1458739.19,-637414.8256,33.5,0.5,33
33.6,1434587.215,-656230.8433,33.501,0.501,33
33.7,857957.4909,-503190.0911,33.75,0.75,33
33.8,-156566.6134,-348397.8185,33.7501,0.7501,33
33.9,-822859.6536,-358258.6427, , , 
34,-833306.8804,-362395.2857,34,0,34
34.1,-429414.9055,-317767.04, ,, 
34.2,-24923.25909,-288927.1259,34.25,0.25,34
34.3,104761.1396,-272347.7006,34.2501,0.2501,34
34.4,-37029.97503,-251777.5198, , , 
34.5,-267326.1667,-242220.141,34.5,0.5,34
34.6,-401106.4883,-245077.0009,34.501,0.501,34
34.7,-374826.7963,-245768.8652,34.75,0.75,34
34.8,-251259.5647,-241493.3446,34.7501,0.7501,34
34.9,-141579.9317,-237017.6653, , , 
35,-116898.1291,-232946.9391,35,0,35
35.1,-170609.8443,-229819.0627, ,, 
35.2,-241030.839,-229488.3219,35.25,0.25,35
35.3,-268450.3491,-230697.0191,35.2501,0.2501,35
35.4,-234247.0458,-230827.1864, , , 
35.5,-171812.6787,-229791.3475,35.5,0.5,35
35.6,-130387.4976,-228342.0861,35.501,0.501,35
35.7,-113689.3236,-226742.9081,35.75,0.75,35
35.8,-104586.4352,-225408.5917,35.7501,0.7501,35
35.9,-135361.1315,-224396.2253, , , 
36,-212324.2988,-224794.1711,36,0,36
36.1,-281360.4756,-227667.6351, ,, 
36.2,-258858.5078,-229369.0459,36.25,0.25,36
36.3,-117898.1838,-228578.2895,36.2501,0.2501,36
36.4,318859.9613,-245437.2218, , , 
36.5,918513.2955,-339500.9716,36.5,0.5,36
36.6,1248619.976,-452473.763,36.501,0.501,36
36.7,970898.7408,-418050.6164,36.75,0.75,36
36.8,186704.6516,-295614.9026,36.7501,0.7501,36
36.9,-544187.5909,-277182.1574, , , 
37,-771411.6683,-304501.8225,37,0,37
