time,p:1,q :1, ,,
19,166992.4743,-235023.4644,19,0,19
19.1,137274.161,-229895.3039, ,, 
19.2,268994.9312,-236715.2236,19.25,0.25,19
19.3,473889.2787,-258115.5729,19.2501,0.2501,19
19.4,590012.0096,-278622.9002, , , 
19.5,543536.9865,-277674.658,19.5,0.5,19
19.6,384887.7167,-259336.0545,19.501,0.501,19
19.7,221654.5248,-241413.478,19.75,0.75,19
19.8,145665.4144,-232447.0999,19.7501,0.7501,19
19.9,194665.5014,-232676.1019, , , 
20,316371.1916,-241128.0164,20,0,20
20.1,417320.3993,-252233.8959, ,, 
20.2,474224.2618,-261001.8485,20.25,0.25,20
20.3,516485.1393,-268902.833,20.2501,0.2501,20
20.4,596230.9959,-282735.7065, , , 
20.5,700952.6382,-304552.0237,20.5,0.5,20
20.6,766108.8848,-323730.4772,20.501,0.501,20
20.7,737183.5537,-326114.4958,20.75,0.75,20
20.8,623493.3674,-309601.9723,20.7501,0.7501,20
20.9,502443.0029,-289028.4336, , , 
21,451185.1139,-276853.0547,21,0,21
21.1,492275.7183,-277384.9707, ,, 
21.2,567944.161,-286307.4573,21.25,0.25,21
21.3,611590.2713,-294195.9337,21.2501,0.2501,21
21.4,639889.0785,-300469.8305, , , 
21.5,675819.0913,-308800.9293,21.5,0.5,21
21.6,704557.9885,-316795.3434,21.501,0.501,21
21.7,639915.9991,-309631.2201,21.75,0.75,21
21.8,476563.8511,-284690.4113,21.7501,0.7501,21
21.9,187160.0339,-251237.3813, , , 
22,-115350.4212,-231921.9146,22,0,22
22.1,-192393.0565,-228707.9881, ,, 
22.2,-70165.44039,-227883.8245,22.25,0.25,22
22.3,78408.22847,-229928.8227,22.2501,0.2501,22
22.4,123837.1158,-229977.6956, , , 
22.5,54453.10151,-224975.747,22.5,0.5,22
22.6,-52043.69194,-220602.5256,22.501,0.501,22
22.7,-108621.2632,-219777.1621,22.75,0.75,22
22.8,-83279.96969,-220607.2146,22.7501,0.7501,22
22.9,-2463.98442,-222239.4955, , , 
23,67333.87897,-224124.4492,23,0,23
23.1,72482.01286,-223686.8668, ,, 
23.2,77201.68368,-222984.9007,23.25,0.25,23
23.3,150825.3549,-226107.3219,23.2501,0.2501,23
23.4,312162.7146,-237676.2275, , , 
23.5,495486.7332,-259692.5628,23.5,0.5,23
23.6,596919.3831,-279097.7023,23.501,0.501,23
23.7,578770.3782,-282486.5326,23.75,0.75,23
23.8,492091.0689,-272984.6763,23.7501,0.7501,23
23.9,440572.9053,-265484.9248, , , 
24,468799.8188,-267296.6726,24,0,24
24.1,545564.0115,-277494.0151, ,, 
24.2,622012.2126,-291242.6974,24.25,0.25,24
24.3,647103.7381,-299508.0427,24.2501,0.2501,24
24.4,538933.9684,-286855.3791, , , 
24.5,342201.4275,-260941.609,24.5,0.5,24
24.6,203754.4696,-243333.7967,24.501,0.501,24
24.7,209500.4139,-238546.5265,24.75,0.75,24
24.8,323954.5929,-245069.2033,24.7501,0.7501,24
24.9,387548.7042,-251578.4288, , , 
25,371774.2168,-250183.6738,25,0,25
25.1,386642.5899,-251249.892, ,, 
25.2,456114.6012,-259485.23,25.25,0.25,25
25.3,526167.1654,-270529.8044,25.2501,0.2501,25
25.4,544467.942,-276293.954, , , 
25.5,505939.7093,-273324.7571,25.5,0.5,25
25.6,448621.3855,-266214.648,25.501,0.501,25
25.7,382527.2229,-257531.1794,25.75,0.75,25
25.8,324735.8188,-249406.1152,25.7501,0.7501,25
25.9,297280.7679,-244554.8197, , , 
26,290354.107,-242141.3262,26,0,26
26.1,286832.9578,-240627.7727, ,, 
26.2,309394.1951,-241566.3469,26.25,0.25,26
26.3,381360.3411,-248342.4145,26.2501,0.2501,26
26.4,514583.6859,-265205.4958, , , 
26.5,650098.9905,-289835.6169,26.5,0.5,26
26.6,699986.0174,-305755.921,26.501,0.501,26
26.7,666701.0298,-306349.2191,26.75,0.75,26
26.8,618272.4654,-300773.9888,26.7501,0.7501,26
26.9,584623.9689,-295645.0929, , , 
27,560359.4618,-290982.8113,27,0,27
27.1,547235.9277,-287683.6015, ,, 
27.2,537691.017,-285070.185,27.25,0.25,27
27.3,521131.3511,-281678.5555,27.2501,0.2501,27
27.4,603702.3508,-291523.6931, , , 
27.5,799234.2467,-328239.8372,27.5,0.5,27
27.6,968619.853,-375719.4208,27.501,0.501,27
27.7,1002818.378,-401272.3061,27.75,0.75,27
27.8,894091.8237,-387936.9333,27.7501,0.7501,27
27.9,600076.9163,-334188.4469, , , 
28,260010.2662,-279434.1651,28,0,28
28.1,173977.0255,-257202.6182, ,, 
28.2,367882.7911,-262817.2776,28.25,0.25,28
28.3,636994.4905,-294801.7275,28.2501,0.2501,28
28.4,734076.0855,-317658.2055, , , 
28.5,583723.5522,-298904.9272,28.5,0.5,28
28.6,315373.4909,-263188.7282,28.501,0.501,28
28.7,102905.5115,-239942.7077,28.75,0.75,28
28.8,69555.24341,-232138.5557,28.7501,0.7501,28
28.9,238370.362,-237990.6278, , , 
29,485828.8896,-261932.1055,29,0,29
29.1,641793.6186,-288675.7474, ,, 
29.2,663848.7064,-299350.8394,29.25,0.25,29
29.3,620258.1083,-296870.8378,29.2501,0.2501,29
29.4,581892.6499,-292276.6724, , , 
29.5,565063.7107,-289571.836,29.5,0.5,29
29.6,556532.2725,-287807.9512,29.501,0.501,29
29.7,561658.1704,-287832.1714,29.75,0.75,29
29.8,587492.0224,-291452.1979,29.7501,0.7501,29
29.9,625561.9803,-298120.8326, , , 
30,668221.9495,-306982.073,30,0,30
30.1,709467.5153,-317001.0761, ,, 
30.2,742915.9527,-326708.0214,30.25,0.25,30
30.3,762285.4506,-334231.8383,30.2501,0.2501,30
30.4,781665.4601,-341248.6019, , , 
30.5,814721.5707,-351036.3963,30.5,0.5,30
30.6,855942.3692,-363508.5688,30.501,0.501,30
30.7,801829.2629,-358166.8827,30.75,0.75,30
30.8,627425.0656,-326218.1658,30.7501,0.7501,30
30.9,453322.1586,-293255.5417, , , 
31,382625.9798,-274700.8436,31,0,31
31.1,432197.038,-272364.273, ,, 
31.2,485927.4453,-275592.2176,31.25,0.25,31
31.3,444472.0379,-269214.3956,31.2501,0.2501,31
31.4,281051.0989,-250229.9456, , , 
31.5,82812.26634,-232390.2609,31.5,0.5,31
31.6,-13836.51464,-225109.8094,31.501,0.501,31
31.7,1339.14318,-223701.9524,31.75,0.75,31
31.8,59248.04415,-224514.4304,31.7501,0.7501,31
31.9,101750.1552,-225422.9735, , , 
32,108790.8462,-224998.033,32,0,32
32.1,92721.90092,-223593.9913, ,, 
32.2,121401.3759,-224291.1527,32.25,0.25,32
32.3,227669.8664,-230642.9287,32.2501,0.2501,32
32.4,399669.1882,-246661.1048, , , 
32.5,568925.2156,-271524.1122,32.5,0.5,32
32.6,651142.5132,-290869.9091,32.501,0.501,32
32.7,641362.6541,-296016.3158,32.75,0.75,32
32.8,579483.6025,-290020.0284,32.7501,0.7501,32
32.9,511401.8204,-280490.1882, , , 
33,476993.3989,-274045.7906,33,0,33
33.1,489438.468,-273669.0029, ,, 
33.2,500652.2635,-274574.358,33.25,0.25,33
33.3,469415.132,-270338.012,33.2501,0.2501,33
33.4,468748.4038,-268643.8886, , , 
33.5,529593.8626,-276091.5382,33.5,0.5,33
33.6,587379.7183,-286015.0886,33.501,0.501,33
33.7,637153.9806,-296288.5083,33.75,0.75,33
33.8,680889.5056,-307198.2627,33.7501,0.7501,33
33.9,482701.2152,-283041.5084, , , 
34,72241.63713,-241910.3347,34,0,34
34.1,-196501.6161,-230239.0735, ,, 
34.2,-187312.2354,-228804.2942,34.25,0.25,34
34.3,-8674.481305,-229046.092,34.2501,0.2501,34
34.4,132610.6851,-232271.3575, , , 
34.5,128297.2681,-229962.4339,34.5,0.5,34
34.6,20797.8084,-223455.7475,34.501,0.501,34
34.7,-100528.371,-219943.9424,34.75,0.75,34
34.8,-163285.6883,-220407.3036,34.7501,0.7501,34
34.9,-140574.623,-221680.8385, , , 
35,-60274.07879,-222781.0112,35,0,35
35.1,24223.83647,-224167.3602, ,, 
35.2,142137.8116,-227955.7341,35.25,0.25,35
35.3,316149.5333,-239889.5911,35.2501,0.2501,35
35.4,535744.9669,-265916.3739, , , 
35.5,716855.4412,-300903.5917,35.5,0.5,35
35.6,759028.7987,-319190.7154,35.501,0.501,35
35.7,709499.8341,-317835.4636,35.75,0.75,35
35.8,656087.7972,-311315.7645,35.7501,0.7501,35
35.9,631180.1331,-307103.4363, , , 
36,621717.5794,-304862.4726,36,0,36
36.1,603646.1541,-301299.182, ,, 
36.2,540397.5227,-290961.7281,36.25,0.25,36
36.3,454457.1514,-276403.674,36.2501,0.2501,36
36.4,460235.0658,-272311.4812, , , 
36.5,577444.6073,-285862.1804,36.5,0.5,36
36.6,711181.1004,-310021.5409,36.501,0.501,36
36.7,732978.1984,-321176.1537,36.75,0.75,36
36.8,609841.3561,-304822.3783,36.7501,0.7501,36
36.9,319644.0617,-266530.8084, , , 
37,16418.85899,-238121.3969,37,0,37
37.1,-41101.68337,-230064.6815, ,, 
37.2,110260.4964,-231786.8249,37.25,0.25,37
37.3,274787.6958,-240371.3907,37.2501,0.2501,37
37.4,297646.1077,-242045.7137, , , 
37.5,175141.6481,-231905.0821,37.5,0.5,37
37.6,25352.00851,-222722.5708,37.501,0.501,37
37.7,-47957.28765,-219788.3922,37.75,0.75,37
37.8,-19448.16774,-220386.8481,37.7501,0.7501,37
37.9,82332.96929,-223616.3855, , , 
38,186336.5817,-228988.3123,38,0,38
38.1,224942.8759,-231708.7825, ,, 
38.2,272902.039,-235032.2887,38.25,0.25,38
38.3,396160.2428,-247236.0424,38.2501,0.2501,38
38.4,571540.8032,-271887.7197, , , 
38.5,708473.1606,-300914.9678,38.5,0.5,38
38.6,723141.6226,-312986.7944,38.501,0.501,38
38.7,662659.4846,-308322.7619,38.75,0.75,38
38.8,605713.362,-300410.4271,38.7501,0.7501,38
38.9,589502.4534,-296818.9487, , , 
39,613181.2146,-299491.3722,39,0,39
39.1,647602.7072,-305404.7255, ,, 
39.2,664284.4487,-309750.4501,39.25,0.25,39
39.3,650187.9798,-308991.6026,39.2501,0.2501,39
39.4,700573.1705,-317142.2379, , , 
39.5,826425.0139,-343999.6478,39.5,0.5,39
39.6,912507.1118,-370934.6534,39.501,0.501,39
39.7,901363.3643,-378636.5794,39.75,0.75,39
39.8,812536.9911,-365081.292,39.7501,0.7501,39
39.9,552730.5972,-319436.2939, , , 
40,198187.856,-268619.5915,40,0,40
40.1,13097.56421,-245320.7186, ,, 
40.2,51721.65039,-237987.7609,40.25,0.25,40
40.3,196582.0982,-240061.9561,40.2501,0.2501,40
40.4,255226.2876,-241597.0356, , , 
40.5,161347.5715,-232907.79,40.5,0.5,40
40.6,14081.69394,-223693.2884,40.501,0.501,40
40.7,-80034.52703,-220340.3169,40.75,0.75,40
40.8,-73349.57197,-220481.3787,40.7501,0.7501,40
40.9,19817.27403,-222509.675, , , 
41,132449.5211,-226756.6202,41,0,41
41.1,196439.75,-230175.356, ,, 
41.2,268579.4446,-234913.7093,41.25,0.25,41
41.3,397700.3158,-247635.4904,41.2501,0.2501,41
41.4,578401.7477,-272987.6962, , , 
41.5,732001.7733,-305437.4576,41.5,0.5,41
41.6,762319.7797,-321570.0746,41.501,0.501,41
41.7,707197.3516,-318738.9277,41.75,0.75,41
41.8,653101.8282,-311554.2077,41.7501,0.7501,41
41.9,658278.2821,-311722.1493, , , 
42,718492.8413,-322435.7395,42,0,42
42.1,783298.7761,-337587.4498, ,, 
42.2,780123.5876,-342305.7171,42.25,0.25,42
42.3,700524.3091,-330116.8955,42.2501,0.2501,42
42.4,605381.0259,-312110.7948, , , 
42.5,539086.0136,-297269.3288,42.5,0.5,42
42.6,511676.6121,-288263.7633,42.501,0.501,42
42.7,520451.5741,-285270.4453,42.75,0.75,42
42.8,564037.5787,-288952.8196,42.7501,0.7501,42
42.9,475935.8463,-277877.0738, , , 
43,249388.3476,-250652.6775,43,0,43
43.1,103954.6504,-234886.0357, ,, 
43.2,70046.80311,-229177.4913,43.25,0.25,43
43.3,68502.63786,-226582.0061,43.2501,0.2501,43
43.4,25417.07541,-223516.2796, , , 
43.5,-61190.98633,-220408.519,43.5,0.5,43
43.6,-125900.7368,-219878.5116,43.501,0.501,43
43.7,-149263.435,-220860.7874,43.75,0.75,43
43.8,-141900.5936,-221893.1142,43.7501,0.7501,43
43.9,-125057.0098,-222530.5529, , , 
44,-114398.4359,-222718.9663,44,0,44
44.1,-108310.577,-222680.9669, ,, 
44.2,-42843.70228,-223036.2324,44.25,0.25,44
44.3,110529.4475,-227225.6199,44.2501,0.2501,44
44.4,391013.42,-247343.7683, , , 
44.5,708860.5227,-295428.4104,44.5,0.5,44
44.6,874155.0825,-340273.7799,44.501,0.501,44
44.7,845848.3929,-349721.7161,44.75,0.75,44
44.8,703928.3666,-329545.6986,44.7501,0.7501,44
44.9,581135.3562,-307146.6154, , , 
